EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.started,start2.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,11.08480770001188,None,LRM,images/OBJ_120.png,images/OBJ_105.png,images/OBJ_177.png,12.399067100021057,13.906049799988978,14.389240200049244,15.888809100026265,16.38867380004376,None,12.407027340028435,None,14.389630010002293,None,16.38866620999761,None,17.888221599976532,None,same,None,1,19.516535800066777,21.020658600027673,21.503866799990647,23.003418300068006,23.519958900054917,None,19.52107669005636,None,21.503878209972754,None,23.519942810060456,None,25.019533599959686,None,1,['leftCL'],26.019194700056687,None,26.019194700056687,None,26.019194700056687,None,26.019194700056687,None,26.019194700056687,None,-0.193359375,-0.2705078125,1,0,0,0.5135971999261528,leftCL,0.013353710062801838,None,26.53576850995887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,2022-11-02_16h36.05.073,exp,2021.1.4,60.03449581838591,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.467902509961277,None,old,images/OBJ_177.png,27.29452770005446,None,27.302210169960745,None,28.80177680007182,None,1,29.80144740000833,None,29.80144740000833,None,29.80144740000833,None,29.80144740000833,None,29.80144740000833,None,29.80144740000833,None,29.80144740000833,None,-0.029296875,-0.1396484375,1,0,0,second_middle,0.01638460997492075,None,,,,,,,,1212,2022-11-02_16h36.05.073,exp,2021.1.4,60.03449581838591,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.96776560007129,None,None,None,None,None,None,1212,2022-11-02_16h36.05.073,exp,2021.1.4,60.03449581838591,
