EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,579.4553875000001,None,None,None,space,443.4589683000004,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.4669482800005,None,,,,,,,,,,old,581.8229994000003,None,581.8350645199998,None,583.3343541000004,None,1,584.3340303000004,None,585.3003573000005,None,585.3003573000005,None,585.3003573000005,None,585.3003573000005,None,585.3003573000005,None,585.3003573000005,None,0.0078125,-0.1142578125,1,0,0,second_middle,0.9990195800000947,None,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593.58134328,None,,,,,,,,,,old,588.1518176,None,588.1498164599998,None,589.6657839,None,2,590.6655011000003,None,591.6323849,None,591.6323849,None,591.6323849,None,591.6323849,None,591.6323849,None,591.6323849,None,-0.0712890625,-0.26953125,1,0,0,third_right,0.9997379799997361,None,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.4801127800006,None,,,,,,,,,,old,594.2813056000005,None,594.2814450399997,None,595.7806887000006,None,3,596.7803825000001,None,597.7467409000001,None,597.7467409000001,None,597.7467409000001,None,597.7467409000001,None,597.7467409000001,None,597.7467409000001,None,0.0322265625,0.0751953125,1,0,0,first_left,0.9992011800004548,None,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.2446185800004,None,,,,,,,,,,old,600.1749279000005,None,600.1796942400001,None,601.678962,None,4,602.6791536000001,None,603.6617262,None,603.6617262,None,603.6617262,None,603.6617262,None,603.6617262,None,603.6617262,None,0.0341796875,0.076171875,1,0,0,first_left,1.015456180000001,None,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.7424484799999,None,,,,,,,,,,old,605.9865432000006,None,605.9947163799998,None,607.4939304,None,5,608.4936341000002,None,609.4600058000005,None,609.4600058000005,None,609.4600058000005,None,609.4600058000005,None,609.4600058000005,None,609.4600058000005,None,-0.00390625,-0.154296875,1,0,0,second_middle,0.9991749799992249,None,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.6743438799999,None,,,,,,,,,,old,613.4710228000004,None,613.4758999000001,None,614.9750861000002,None,6,615.9747892000005,None,616.9412038,None,616.9412038,None,616.9412038,None,616.9412038,None,616.9412038,None,616.9412038,None,0.0068359375,-0.2509765625,1,0,0,third_right,0.9994529799996599,None,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.80618998,None,,,,,,,,,,old,618.3952044000007,None,618.4077830000001,None,619.9074792000001,None,7,620.9066988000004,None,621.8897476000002,None,621.8897476000002,None,621.8897476000002,None,621.8897476000002,None,621.8897476000002,None,621.8897476000002,None,0.0537109375,0.0908203125,1,0,0,first_left,0.9991949799996291,None,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.3878566799999,None,,,,,,,,,,old,623.5301702000006,None,623.5401080999995,None,625.0393141000004,None,8,626.0390719000006,None,627.0049309000005,None,627.0049309000005,None,627.0049309000005,None,627.0049309000005,None,627.0049309000005,None,627.0049309000005,None,-0.0361328125,-0.0966796875,1,0,0,second_middle,0.9992171799995049,None,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.1864515800003,None,,,,,,,,,,old,629.1089673000006,None,629.1213136000001,None,630.6210528000001,None,9,631.6202806000001,None,632.5871111000006,None,632.5871111000006,None,632.5871111000006,None,632.5871111000006,None,632.5871111000006,None,632.5871111000006,None,-0.0234375,-0.2421875,1,0,0,third_right,0.9996271800000613,None,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.6520322800002,None,,,,,,,,,,old,633.9084069,None,633.9199745999999,None,635.4190940000008,None,10,636.4188991000001,None,637.3857154000007,None,637.3857154000007,None,637.3857154000007,None,637.3857154000007,None,637.3857154000007,None,637.3857154000007,None,-0.0224609375,0.1181640625,1,0,0,first_left,0.9996523800009527,None,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.03335328,None,,,,,,,,,,old,639.3726072,None,639.3849995999994,None,640.8842308000003,None,11,641.88393,None,642.8508086000002,None,642.8508086000002,None,642.8508086000002,None,642.8508086000002,None,642.8508086000002,None,642.8508086000002,None,0.0068359375,-0.02734375,1,0,0,second_middle,0.9992472800013275,None,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.4814625800004,None,,,,,,,,,,old,644.7663046000007,None,644.7667614999996,None,646.2659917999999,None,12,647.2657127000002,None,648.2320669999999,None,648.2320669999999,None,648.2320669999999,None,648.2320669999999,None,648.2320669999999,None,648.2320669999999,None,0.0166015625,0.0458984375,1,0,0,first_left,0.9992011799995453,None,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
