EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,7.03170908300126,None,RML,images/OBJ_140.png,images/OBJ_11.png,images/OBJ_89.png,8.83929687500131,10.34580616600033,10.812054166000962,12.319007333000627,12.812541749999582,None,8.83879159099888,None,10.812625366001157,None,12.812659908000569,None,14.320131083000888,None,same,None,1,15.973730749999959,17.481238207999922,17.974699415999567,19.48169604100076,19.975695832999918,None,15.975099982999382,None,17.975340824999876,None,19.975556616000176,None,21.482658375000028,None,1,['leftCL'],22.492442000000665,None,22.492442000000665,None,22.492442000000665,None,22.492442000000665,None,22.492442000000665,None,-0.125,-0.26851851851851855,1,0,0,5.275702625000122,leftCL,0.005873366000741953,None,27.764627200000177,None,,,,,,,,,,,2022_Feb_08_1731,exp,2021.1.4,74.97628874890711,
1,0,1,0,,,,,,,RML,images/OBJ_54.png,images/OBJ_26.png,images/OBJ_12.png,28.41973074999987,29.925695166000878,30.41931579100128,31.926719791001233,32.4206248749997,None,28.419557774997884,None,30.419699783000397,None,32.4207730750004,None,33.92731937499957,None,diff,LMR,2,35.5669617500007,37.07498304100045,37.56901795799968,39.07638754100117,39.56982391600104,None,35.568679449997944,None,37.56891836599971,None,39.56963715799975,None,41.0763118750001,None,1,['rightCL'],42.076674125000864,None,42.076674125000864,None,42.076674125000864,None,42.076674125000864,None,42.076674125000864,None,0.19166666666666668,-0.3194444444444444,1,0,0,0.6403620840010262,rightCL,0.012546490999739035,None,42.71711245000006,None,,,,,,,,,,,2022_Feb_08_1731,exp,2021.1.4,74.97628874890711,
2,0,2,0,,,,,,,LRM,images/OBJ_59.png,images/OBJ_123.png,images/OBJ_33.png,43.38006041600056,44.89130158300031,45.371842750000724,46.87923412500095,47.37275366600079,None,43.385088057997564,None,45.37194678299966,None,47.372891241000616,None,48.879586500001096,None,same,LMR,3,50.53227633300048,52.04098416600027,52.53421029099991,54.04178108300039,54.534989290999874,None,50.53460881599858,None,52.534227825000926,None,54.53512257500006,None,56.04050716600068,None,0,['rightCL'],57.042217625001285,None,57.042217625001285,None,57.042217625001285,None,57.042217625001285,None,57.042217625001285,None,0.18425925925925926,-0.3,1,0,0,0.9990825830009271,rightCL,0.012511909000750165,None,58.042617074999725,None,,,,,,,,,,,2022_Feb_08_1731,exp,2021.1.4,74.97628874890711,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,images/OBJ_33.png,58.60831945800055,None,58.61677257500014,None,60.11042429100053,None,1,,,,,,
