EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,participant,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,199.4909117000061,None,LMR,images/OBJ_81.png,images/OBJ_198.png,images/OBJ_85.png,201.04939499998,202.55400429997826,203.03715629997896,204.53675009997096,205.03661020001164,None,201.05490273998586,None,203.03721041000682,None,205.0371230099816,None,206.5362076999736,None,diff,MLR,208.0806309999898,209.58524970000144,210.06843919999665,211.56805010000244,212.0678780999733,None,208.08608233997367,None,210.06899440999842,None,212.0678770099883,None,213.56743399996776,None,0,['leftCL'],214.567148800008,None,214.567148800008,None,214.567148800008,None,214.567148800008,None,214.567148800008,None,-0.1025390625,-0.267578125,1,0,0,7.1312868000241,leftCL,0.016292210028041154,None,221.6984870099812,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
11,0,11,0,,,,,,,222.34240339999087,None,RLM,images/OBJ_91.png,images/OBJ_111.png,images/OBJ_59.png,223.89326879999135,225.39731919998303,225.88053500000387,227.38008789997548,227.8799589999835,None,223.8982733400073,None,225.88105110999896,None,227.87997300999706,None,229.3795334000024,None,same,MLR,230.92229159997078,232.42913030000636,232.91231549996883,234.41140599997016,234.91124220000347,None,230.92907583997587,None,232.91181321000914,None,234.9112684099935,None,236.41081560001476,None,0,['leftCL'],237.41104669997003,None,237.41104669997003,None,237.41104669997003,None,237.41104669997003,None,237.41104669997003,None,-0.1796875,-0.2724609375,1,0,0,0.5831638000090607,leftCL,0.016330009966623038,None,237.9937072100118,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
12,0,12,0,,,,,,,238.64391980000073,None,RML,images/OBJ_72.png,images/OBJ_184.png,images/OBJ_45.png,240.18838130001677,241.69261769996956,242.17630089999875,243.67539950000355,244.1757007999695,None,240.19303593998777,None,242.17628790998134,None,244.1757356099668,None,245.67480149999028,None,same,MLR,247.21982250001747,248.72393749997718,249.2071719999658,250.70666889997665,251.20695949997753,None,247.2246762399911,None,249.2070793099818,None,251.2065401100088,None,252.7060754999984,None,0,['leftCL'],253.70579570002155,None,253.70579570002155,None,253.70579570002155,None,253.70579570002155,None,253.70579570002155,None,-0.1796875,-0.2724609375,1,0,0,0.4499125999864191,leftCL,0.016348209988791496,None,254.1561467099935,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
13,0,13,0,,,,,,,254.8050967999734,None,LRM,images/OBJ_145.png,images/OBJ_203.png,images/OBJ_30.png,256.3456355999806,257.8551260000095,258.33778489998076,259.83782760001486,260.3376849999768,None,256.35501123998546,None,258.3377690099995,None,260.33715490998003,None,261.8367840999854,None,same,MLR,263.37606530002085,264.88589149998734,265.36959020001814,266.86912779998966,267.3685111000086,None,263.38618754000635,None,265.36957221002086,None,267.368452609994,None,268.8680626999703,None,0,['leftCL'],269.8677812999813,None,269.8677812999813,None,269.8677812999813,None,269.8677812999813,None,269.8677812999813,None,-0.1787109375,-0.2734375,1,0,0,0.299997300026007,leftCL,0.01631350995739922,None,270.1677345099859,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
14,0,14,0,,,,,,,270.81386519997614,None,RLM,images/OBJ_186.png,images/OBJ_100.png,images/OBJ_209.png,272.3625688999891,273.8671155999764,274.3501354000182,275.8498307999689,276.3658638999914,None,272.3670527399983,None,274.34976800997975,None,276.3658438099781,None,277.8654263999779,None,same,MLR,279.40848189999815,280.9150543999858,281.3977841999731,282.897285700019,283.3971523999935,None,279.41537723997607,None,281.3982165099704,None,283.39710740996526,None,284.89708710002014,None,0,['leftCL'],285.8963988000178,None,285.8963988000178,None,285.8963988000178,None,285.8963988000178,None,285.8963988000178,None,-0.1845703125,-0.31640625,1,0,0,0.24950049998005852,leftCL,0.016354309977032244,None,286.14643090999454,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
15,0,15,0,,,,,,,286.79361910000443,None,MRL,images/OBJ_175.png,images/OBJ_125.png,images/OBJ_147.png,288.33977510000113,289.84577879996505,290.3289640999865,291.8285355999833,292.3283983999863,None,288.3457634399994,None,290.328975609981,None,292.32839260996553,None,293.8275055999984,None,same,MLR,295.37002739997115,296.877067799971,297.359741399996,298.85983279999346,299.3596888000029,None,295.3774460399756,None,297.36013101001737,None,299.35916811001954,None,300.85878239996964,None,0,['leftCL'],301.85881970002083,None,301.85881970002083,None,301.85881970002083,None,301.85881970002083,None,301.85881970002083,None,-0.3076171875,-0.3203125,1,0,0,0.6499878000468016,leftCL,0.016351710015442222,None,302.8919811099884,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
16,0,16,0,,,,,,,303.533051699982,None,LMR,images/OBJ_38.png,images/OBJ_155.png,images/OBJ_136.png,305.0868404000066,306.5903651000117,307.09020609996514,308.5903290999704,309.0901929999818,None,305.0913602399989,None,307.0902470100089,None,309.0901795100188,None,310.5892833999824,None,diff,RLM,312.13476809998974,313.6383863000083,314.12157590000425,315.62111150001874,316.137677599967,None,312.13918693996965,None,314.1219190100208,None,316.13767971000635,None,317.6373104999657,None,1,['rightCL'],318.6374308000086,None,318.6374308000086,None,318.6374308000086,None,318.6374308000086,None,318.6374308000086,None,0.171875,-0.3203125,1,0,0,0.24950859998352826,rightCL,0.01632660999894142,None,318.88689580997453,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
17,0,17,0,,,,,,,319.5339777999907,None,LMR,images/OBJ_113.png,images/OBJ_2.png,images/OBJ_210.png,321.07843529997626,322.5857559000142,323.0689880999853,324.56857190001756,325.06836699997075,None,321.0865763400099,None,323.0689502100111,None,325.0683525100001,None,326.5679589000065,None,same,RLM,328.11071759997867,329.61709339998197,330.10023769998224,331.5998428000021,332.09970229998,None,328.11744693997315,None,330.10023450998125,None,332.09966660996434,None,333.59923749999143,None,0,['leftCL'],334.5989389999886,None,334.5989389999886,None,334.5989389999886,None,334.5989389999886,None,334.5989389999886,None,-0.1962890625,-0.2646484375,1,0,0,0.28330670000286773,leftCL,0.01631490996805951,None,334.8827669099672,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
18,0,18,0,,,,,,,335.52759349998087,None,MLR,images/OBJ_134.png,images/OBJ_79.png,images/OBJ_98.png,337.0782645000145,338.5811955999816,339.0643107999931,340.56392749998486,341.0804014999885,None,337.08209323998307,None,339.0646901099943,None,341.0804112099693,None,342.5799847000162,None,same,RLM,344.12286150001455,345.62911340000574,346.11268859996926,347.6119855999714,348.11172879999503,None,344.1298796399962,None,346.1127803099924,None,348.11222180998885,None,349.61176499997964,None,0,['leftCL'],350.6114760999917,None,350.6114760999917,None,350.6114760999917,None,350.6114760999917,None,350.6114760999917,None,-0.1884765625,-0.2421875,1,0,0,0.51611490000505,leftCL,0.016355809988453984,None,351.12749650999905,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
19,0,19,0,,,,,,,351.77853840001626,None,RML,images/OBJ_177.png,images/OBJ_142.png,images/OBJ_199.png,353.3353509000153,354.8431223999942,355.32629930000985,356.8263575999881,357.3262173999683,None,353.34400814002146,None,355.32627750998364,None,357.3261907100212,None,358.82524370000465,None,same,RLM,360.3662558000069,361.8743637999869,362.3575622999924,363.85751800000435,364.35745880001923,None,360.37472184001234,None,362.3580505100079,None,364.3569845099817,None,365.8570500999922,None,0,['leftCL'],366.8567481999635,None,366.8567481999635,None,366.8567481999635,None,366.8567481999635,None,366.8567481999635,None,-0.185546875,-0.2421875,1,0,0,0.24966160004260018,leftCL,0.016361509973648936,None,367.1062177100219,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
20,0,20,0,,,,,,,367.7470661000116,None,RML,images/OBJ_56.png,images/OBJ_144.png,images/OBJ_65.png,369.292359700019,370.80563349998556,371.28832859999966,372.7878533999901,373.28770119999535,None,369.2888819299755,None,371.28822841001676,None,373.28769000999165,None,374.78724089998286,None,same,RLM,376.3229213000159,377.8363997999695,378.3195743999677,379.819095999992,380.3189870999777,None,376.3205544299912,None,378.319547110016,None,380.31898841001095,None,381.818550499971,None,0,['leftCL'],382.818773099978,None,382.818773099978,None,382.818773099978,None,382.818773099978,None,382.818773099978,None,-0.185546875,-0.2421875,1,0,0,0.25005969998892397,leftCL,0.016361410031095147,None,383.0682656099787,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
21,0,21,0,,,,,,,383.71659959998215,None,MLR,images/OBJ_23.png,images/OBJ_109.png,images/OBJ_49.png,385.2586072999984,386.7676166999736,387.250814399973,388.7503856999683,389.2501966999844,None,385.26807093997485,None,387.2506718100165,None,389.2502410099958,None,390.7493267999962,None,diff,LRM,392.28742000000784,393.79842960002134,394.281620499969,395.78166430001147,396.2810829000082,None,392.2987997400225,None,394.28209400998895,None,396.2810432100203,None,397.7809811999905,None,1,['rightCL'],398.7803537999862,None,398.7803537999862,None,398.7803537999862,None,398.7803537999862,None,398.7803537999862,None,0.111328125,-0.2958984375,1,0,0,0.44991200004005805,rightCL,0.01633120997576043,None,399.2302529100096,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
22,0,22,0,,,,,,,399.87714140000753,None,RLM,images/OBJ_89.png,images/OBJ_139.png,images/OBJ_148.png,401.4277918000007,402.929074899992,403.4289733999758,404.9285100999987,405.4283723999979,None,401.43008013999787,None,403.428909209976,None,405.4283607099904,None,406.9279206999927,None,same,LRM,408.47237209999,409.9771116999909,410.4602161999792,411.9603139999672,412.4596777000115,None,408.4778771399753,None,410.46026301000967,None,412.45963900997305,None,413.9592503000167,None,0,['leftCL'],414.9589644999942,None,414.9589644999942,None,414.9589644999942,None,414.9589644999942,None,414.9589644999942,None,-0.2265625,-0.3330078125,1,0,0,0.26712070003850386,leftCL,0.016306709963828325,None,415.22604510998354,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
23,0,23,0,,,,,,,415.86820650001755,None,RML,images/OBJ_115.png,images/OBJ_39.png,images/OBJ_102.png,417.4221096999827,418.92494799999986,419.4248158999835,420.92434959998354,421.4242590999929,None,417.42538373997667,None,419.42480051000604,None,421.4242145099677,None,422.9233370000147,None,same,LRM,424.46685939998133,425.97289440000895,426.45559979998507,427.955651199969,428.4554196000099,None,424.47320214000064,None,426.4555587099865,None,428.4555112099741,None,429.95508009998593,None,0,['leftCL'],430.95468710002024,None,430.95468710002024,None,430.95468710002024,None,430.95468710002024,None,430.95468710002024,None,-0.2236328125,-0.3330078125,1,0,0,0.23276659997645766,leftCL,0.016337610024493188,None,431.18763250998455,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
24,0,24,0,,,,,,,431.84329240000807,None,LMR,images/OBJ_193.png,images/OBJ_123.png,images/OBJ_172.png,433.40111829998204,434.9036574999918,435.40347630000906,436.9030893999734,437.4029446999775,None,433.40406194002134,None,435.40347110999284,None,437.4024309099885,None,438.9024689999642,None,same,LRM,440.4453299000161,441.95157739997376,442.4347961000167,443.93383190000895,444.4342022999772,None,440.45152003997936,None,442.4347642099718,None,444.43419200998034,None,445.933229999966,None,0,['leftCL'],446.93303289997857,None,446.93303289997857,None,446.93303289997857,None,446.93303289997857,None,446.93303289997857,None,-0.2080078125,-0.365234375,1,0,0,0.3165529999532737,leftCL,0.016324709984473884,None,447.2495800099685,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,447.74940069997683,None,None,None,q,416.79639000003226,None,None,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,,,,,,
