EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Trial_Order,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,119.36568849999458,None,120.39414659980685,None,MLR,images/OBJ_141.png,images/OBJ_115.png,images/OBJ_178.png,MLR,122.08989659976214,123.5928210997954,124.09321830002591,125.59229200007394,126.0921382997185,None,122.09254480008967,None,124.0931694001425,None,126.092588999914,None,127.59173039998859,None,diff,LMR,129.22303269989789,130.72420889977366,131.22401699982584,132.72353269997984,133.2234424999915,None,129.22394060003572,None,131.22395699997432,None,133.2237569998484,None,134.7234833999537,None,1,['rightCL'],135.7226907000877,None,135.7226907000877,None,135.7226907000877,None,135.7226907000877,None,135.7226907000877,None,0.193359375,-0.2900390625,1,0,0,0.43067670008167624,rightCL,0.013177999760955572,None,136.15633580009452,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_6009,2024-01-11_12h58.13.482,exp,2021.1.4,59.977280628604895,
1,0,1,0,,,,,,,,,,,,,,,136.83335480000824,None,LRM,images/OBJ_186.png,images/OBJ_179.png,images/OBJ_199.png,LRM,138.42999200010672,139.93810469983146,140.42129530012608,141.92085970006883,142.4207035000436,None,138.4386383002158,None,140.42121429988183,None,142.420665899897,None,143.92022649990395,None,same,LMR,145.4555695001036,146.96937400009483,147.4525748998858,148.95216599991545,149.45197909977287,None,145.45286360005846,None,147.45252090007997,None,149.4519514997024,None,150.9515657001175,None,0,['leftCL'],151.95131619973108,None,151.95131619973108,None,151.95131619973108,None,151.95131619973108,None,151.95131619973108,None,-0.23046875,-0.2841796875,1,0,0,0.3499545999802649,leftCL,0.01633589994162321,None,152.3011442000512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_6009,2024-01-11_12h58.13.482,exp,2021.1.4,59.977280628604895,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,152.80135469976813,None,None,None,space,34.69972149981186,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_6009,2024-01-11_12h58.13.482,exp,2021.1.4,59.977280628604895,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.08279369971714,None,,,,,,,,,,old,154.0584712997079,None,154.06699790023268,None,155.56692169979215,None,1,156.56705660000443,None,157.5496688997373,None,157.5496688997373,None,157.5496688997373,None,157.5496688997373,None,157.5496688997373,None,157.5496688997373,None,-0.001953125,0.048828125,1,0,0,first_left,1.0152183999307454,None,,,BS_6009,2024-01-11_12h58.13.482,exp,2021.1.4,59.977280628604895,
,,,,,,,,0,0,0,0,,,,,158.58300959970802,None,159.60162749979645,None,,images/OBJ_66.png,images/OBJ_85.png,images/OBJ_131.png,LMR,161.1602797000669,162.66484190011397,163.1484265998006,164.64799720002338,165.1474758000113,None,161.16501999981702,None,163.1479809998069,None,165.14784779972396,None,166.64700989983976,None,diff,RML,168.18668629974127,169.69662219984457,170.17937840009108,171.67887239996344,172.17914070002735,None,168.1967134001665,None,170.17971909991465,None,172.17865340006537,None,173.67830929998308,None,1,['rightCL'],174.67848009988666,None,174.67848009988666,None,174.67848009988666,None,174.67848009988666,None,174.67848009988666,None,0.1416015625,-0.2958984375,1,0,0,0.49945490015670657,rightCL,0.01628590002655983,None,175.1777621997986,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,images/OBJ_186.png,BS_6009,2024-01-11_12h58.13.482,exp,2021.1.4,59.977280628604895,
,,,,,,,,1,0,1,0,,,,,,,175.85260469978675,None,,images/OBJ_30.png,images/OBJ_182.png,images/OBJ_47.png,RML,177.40709850005805,178.91056709969416,179.40997530007735,180.90999409975484,181.4093876001425,None,177.41029139989988,None,179.41030180002562,None,181.40938879982568,None,182.90893149981275,None,same,RML,184.4507124000229,185.95805769972503,186.44122789986432,187.9408069998026,188.4406674997881,None,184.45860939994455,None,186.44154870011843,None,188.44060849971137,None,189.94075000006706,None,0,['leftCL'],190.9399178000167,None,190.9399178000167,None,190.9399178000167,None,190.9399178000167,None,190.9399178000167,None,-0.1806640625,-0.26171875,1,0,0,0.3333446001634002,leftCL,0.01634400011971593,None,191.2731394000817,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_6009,2024-01-11_12h58.13.482,exp,2021.1.4,59.977280628604895,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,191.7740373997949,None,None,None,space,73.43565959995613,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_6009,2024-01-11_12h58.13.482,exp,2021.1.4,59.977280628604895,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.93810609974898,None,,,,,,,,,,old,192.96107299998403,None,192.97128790020943,None,194.4722354998812,None,1,195.47199149988592,None,196.4388115000911,None,196.4388115000911,None,196.4388115000911,None,196.4388115000911,None,196.4388115000911,None,196.4388115000911,None,-0.0205078125,0.04296875,1,0,0,first_left,0.9996722000651062,None,,,BS_6009,2024-01-11_12h58.13.482,exp,2021.1.4,59.977280628604895,
