EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,24.070057000033557,None,25.635485300095752,None,MLR,images/OBJ_12.png,images/OBJ_70.png,images/OBJ_22.png,27.2868596999906,28.792958399979398,29.276149400044233,30.77567659993656,31.275534400017932,None,27.293113199993968,None,29.276085800025612,None,31.275540000060573,None,32.77509190002456,None,same,None,34.41037880000658,35.92430009995587,36.40760469995439,37.906842400087044,38.406928499927744,None,34.407634400064126,None,36.40723449992947,None,38.406569299986586,None,39.90634729992598,None,1,['leftCL'],40.90625120000914,None,40.90625120000914,None,40.90625120000914,None,40.90625120000914,None,40.90625120000914,None,-0.2421875,-0.34765625,1,0,0,0.7298924999777228,leftCL,0.01290620001964271,None,41.63922110013664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1002,2023-09-25_09h33.17.283,exp,2021.1.4,60.27727541693299,
1,0,1,0,,,,,,,,,,,,,,,42.369847499998286,None,RML,images/OBJ_102.png,images/OBJ_178.png,images/OBJ_191.png,43.91587970010005,45.42130409996025,45.904740300029516,47.40425179991871,47.904196799965575,None,43.92164740012959,None,45.9044705000706,None,47.90388430003077,None,49.40370179992169,None,same,None,50.9421161999926,52.452556000091136,52.93585150013678,54.43533080001362,54.935385199962184,None,50.953034800011665,None,52.935758700128645,None,54.93539489991963,None,56.43501919996925,None,1,['leftCL'],57.43466480006464,None,57.43466480006464,None,57.43466480006464,None,57.43466480006464,None,57.43466480006464,None,-0.259765625,-0.3134765625,1,0,0,0.3666016000788659,leftCL,0.016256299801170826,None,57.80114670004696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1002,2023-09-25_09h33.17.283,exp,2021.1.4,60.27727541693299,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.28272980009206,None,2,old,58.58953780005686,None,58.600499800173566,None,60.100616300012916,None,1,61.10029869992286,None,62.0833465999458,None,62.0833465999458,None,62.0833465999458,None,62.0833465999458,None,62.0833465999458,None,62.0833465999458,None,0.0654296875,-0.2646484375,1,0,0,third_right,1.0155445002019405,None,,,,,,,,,,,,BS_1002,2023-09-25_09h33.17.283,exp,2021.1.4,60.27727541693299,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.99800139991567,None,,old,65.04150160006247,None,65.04851340013556,None,66.54881409998052,None,2,67.54846199997701,None,68.51479950011708,None,68.51479950011708,None,68.51479950011708,None,68.51479950011708,None,68.51479950011708,None,68.51479950011708,None,-0.01953125,0.0517578125,1,0,0,first_left,0.9993769000284374,None,,,,,,,,,,,,BS_1002,2023-09-25_09h33.17.283,exp,2021.1.4,60.27727541693299,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,images/OBJ_12.png,69.51432320009917,None,None,None,space,1.8376988999079913,None,None,,BS_1002,2023-09-25_09h33.17.283,exp,2021.1.4,60.27727541693299,
,,,,,,,,0,0,0,0,,,,,,,69.73231089999899,None,,images/OBJ_81.png,images/OBJ_29.png,images/OBJ_147.png,71.29362170002423,72.7969087001402,73.29675660002977,74.79610950010829,75.29620039998554,None,71.29717310005799,None,73.29647570010275,None,75.2961369000841,None,76.79573190002702,None,same,None,78.3497570999898,79.86020800005645,80.3447746001184,81.84439800004475,82.34407450002618,None,78.36052200011909,None,80.34440529998392,None,82.34404430002905,None,83.84372140001506,None,1,['leftCL'],84.8434019999113,None,84.8434019999113,None,84.8434019999113,None,84.8434019999113,None,84.8434019999113,None,-0.224609375,-0.2841796875,1,0,0,0.4831883998122066,leftCL,0.01620320021174848,None,85.32656350010075,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRL,BS_1002,2023-09-25_09h33.17.283,exp,2021.1.4,60.27727541693299,
,,,,,,,,1,0,1,0,,,,,,,86.06908409995958,None,,images/OBJ_96.png,images/OBJ_172.png,images/OBJ_1.png,87.620426800102,89.1254440001212,89.60864629992284,91.10820370004512,91.60822140006348,None,87.62579319998622,None,89.6086458999198,None,91.60795839992352,None,93.10759830009192,None,same,None,94.64784300001338,96.15686709992588,96.63982710009441,98.13925860007294,98.6393389001023,None,94.6565491000656,None,96.64000350004062,None,98.6394553000573,None,100.1389482000377,None,1,['leftCL'],101.13864280004054,None,101.13864280004054,None,101.13864280004054,None,101.13864280004054,None,101.13864280004054,None,-0.2509765625,-0.2373046875,1,0,0,0.9331605001352727,leftCL,0.016310600098222494,None,102.07173059997149,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RML,BS_1002,2023-09-25_09h33.17.283,exp,2021.1.4,60.27727541693299,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.27014130004682,None,4,old,103.32629700005054,None,103.3364856003318,None,104.83755229995586,None,3,105.83721809997223,None,106.80371220014058,None,106.80371220014058,None,106.80371220014058,None,106.80371220014058,None,106.80371220014058,None,106.80371220014058,None,-0.0341796875,-0.1748046875,1,0,0,second_middle,0.9990386001300067,None,,images/OBJ_147.png,,,,,,,,,,BS_1002,2023-09-25_09h33.17.283,exp,2021.1.4,60.27727541693299,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.88548219995573,None,,old,108.04009589995258,None,108.03595220018178,None,109.55287909996696,None,4,110.55255799996667,None,111.51895159995183,None,111.51895159995183,None,111.51895159995183,None,111.51895159995183,None,111.51895159995183,None,111.51895159995183,None,-0.0087890625,0.05078125,1,0,0,first_left,0.9991328998003155,None,,images/OBJ_81.png,,,,,,,,,,BS_1002,2023-09-25_09h33.17.283,exp,2021.1.4,60.27727541693299,
