EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.started,start2.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,15.615763300098479,None,LMR,images/OBJ_16.png,images/OBJ_133.png,images/OBJ_130.png,20.614080400089733,22.122920300113037,22.606090600020252,24.105738700018264,24.60552110010758,None,20.622683419915848,None,22.60610014004633,None,24.60499874004163,None,26.104586200090125,None,same,None,1,27.73027450009249,29.23708950006403,29.720258100074716,31.220298600033857,31.719731600023806,None,27.73724376000464,None,29.720247840066442,None,31.719666240061635,None,33.21921840007417,None,1,['leftCL'],34.21896680002101,None,34.21896680002101,None,34.21896680002101,None,34.21896680002101,None,34.21896680002101,None,-0.181640625,-0.30078125,1,0,0,21.00736719998531,leftCL,0.013150939950719476,None,55.22997994001489,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12121,2022-10-27_18h52.42.984,exp,2021.1.4,59.904775383189936,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.84371154000983,None,old,images/OBJ_16.png,56.0022137000924,None,56.012474319967446,None,57.51215260010213,None,1,58.51185550005175,None,58.51185550005175,None,58.51185550005175,None,58.51185550005175,None,58.51185550005175,None,58.51185550005175,None,58.51185550005175,None,0.001953125,-0.1220703125,1,0,0,second_middle,0.01638893992640078,None,,,,,,,,12121,2022-10-27_18h52.42.984,exp,2021.1.4,59.904775383189936,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.34348620008677,None,None,None,None,None,None,12121,2022-10-27_18h52.42.984,exp,2021.1.4,59.904775383189936,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.67502264005597,None,old,images/OBJ_133.png,66.89827460004017,None,66.89318362001795,None,68.40901670011226,None,2,69.40870700008236,None,69.40870700008236,None,69.40870700008236,None,69.40870700008236,None,69.40870700008236,None,69.40870700008236,None,69.40870700008236,None,-0.0224609375,-0.1279296875,1,0,0,second_middle,0.016300939954817295,None,,,,,,,,12121,2022-10-27_18h52.42.984,exp,2021.1.4,59.904775383189936,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6243507400155,None,old,images/OBJ_130.png,71.40298130002338,None,71.40851839992683,None,72.90773460001219,None,3,73.90739290008787,None,73.90739290008787,None,73.90739290008787,None,73.90739290008787,None,73.90739290008787,None,73.90739290008787,None,73.90739290008787,None,-0.0400390625,-0.09765625,1,0,0,second_middle,0.01637154002673924,None,,,,,,,,12121,2022-10-27_18h52.42.984,exp,2021.1.4,59.904775383189936,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
