EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,14.833193099941127,None,15.664574899943545,None,LRM,images/OBJ_21.png,images/OBJ_79.png,images/OBJ_60.png,17.53857189998962,19.053369599976577,19.537023399956524,21.03611710004043,21.5359935000306,None,17.537114240054507,None,19.537075980042573,None,21.535981979977805,None,23.035552700050175,None,same,None,24.67484490002971,26.18463339994196,26.667857500026003,28.167450599954464,28.667239999980666,None,24.684941500076093,None,26.66784337995341,None,28.66725297999801,None,30.167199700023048,None,1,['leftCL'],31.16688419994898,None,31.16688419994898,None,31.16688419994898,None,31.16688419994898,None,31.16688419994898,None,-0.1953125,-0.3115234375,1,0,0,0.29707269999198616,leftCL,0.013050380162894726,None,31.466828379954677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1002,2023-09-20_14h13.10.009,exp,2021.1.4,60.00762097000655,
1,0,1,0,,,,,,,,,,,,,,,32.19229040003847,None,MRL,images/OBJ_171.png,images/OBJ_56.png,images/OBJ_77.png,34.01203949993942,35.51526440004818,36.015047600027174,37.51466340001207,38.01502769999206,None,34.01564400002826,None,36.015089380030986,None,38.01449438004056,None,39.514081400004216,None,same,None,41.1027573000174,42.613177499966696,43.096378899994306,44.59593870001845,45.09579659998417,None,41.11399236001307,None,43.09632907999912,None,45.09578817995498,None,46.5958193000406,None,1,['leftCL'],47.59505929995794,None,47.59505929995794,None,47.59505929995794,None,47.59505929995794,None,47.59505929995794,None,-0.109375,-0.2744140625,1,0,0,0.7837315000360832,leftCL,0.016391380107961595,None,48.37862368003698,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1002,2023-09-20_14h13.10.009,exp,2021.1.4,60.00762097000655,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.97744417999638,None,2,old,49.17530929995701,None,49.17795062001096,None,50.67752050003037,None,1,51.677262900047936,None,52.6607269999804,None,52.6607269999804,None,52.6607269999804,None,52.6607269999804,None,52.6607269999804,None,52.6607269999804,None,-0.0048828125,-0.12109375,1,0,0,second_middle,0.9990115801338106,None,,,,,,,,,,,,BS_1002,2023-09-20_14h13.10.009,exp,2021.1.4,60.00762097000655,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.65922918001888,None,,old,53.70460970001295,None,53.709908900025766,None,55.209610800025985,None,2,56.20923160004895,None,57.1756127999397,None,57.1756127999397,None,57.1756127999397,None,57.1756127999397,None,57.1756127999397,None,57.1756127999397,None,0.00390625,0.048828125,1,0,0,first_left,0.9991157799959183,None,,,,,,,,,,,,BS_1002,2023-09-20_14h13.10.009,exp,2021.1.4,60.00762097000655,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,images/OBJ_21.png,58.1675922999857,None,None,None,space,44.1072166999802,None,None,,BS_1002,2023-09-20_14h13.10.009,exp,2021.1.4,60.00762097000655,
,,,,,,,,0,0,0,0,,,,,,,58.937756999977864,None,,images/OBJ_202.png,images/OBJ_94.png,images/OBJ_157.png,60.51550390000921,62.024238700047135,62.50744079996366,64.00697550002951,64.50684669998009,None,60.52461777999997,None,62.50739407999208,None,64.50685158005217,None,66.00637670001015,None,same,None,67.57765120000113,69.08887059998233,69.57203170005232,71.07160050002858,71.57148319995031,None,67.58915488002822,None,69.5720551800332,None,71.57155188004253,None,73.07103440002538,None,1,['leftCL'],74.0707851999905,None,74.0707851999905,None,74.0707851999905,None,74.0707851999905,None,74.0707851999905,None,-0.177734375,-0.21875,1,0,0,0.5502623999491334,leftCL,0.016318880021572113,None,74.62096777994884,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMR,BS_1002,2023-09-20_14h13.10.009,exp,2021.1.4,60.00762097000655,
,,,,,,,,1,0,1,0,,,,,,,75.35525100002997,None,,images/OBJ_93.png,images/OBJ_206.png,images/OBJ_125.png,76.94678600004409,78.4527804000536,78.93598790001124,80.43555719999131,80.93583960004617,None,76.95324128004722,None,78.93605247995583,None,80.93543248000788,None,82.43496139999479,None,same,None,84.00888930005021,85.51737340004183,86.00057220004965,87.50013760000002,87.99999319994822,None,84.01773727999534,None,86.00056718004635,None,88.00000138004543,None,89.49996359995566,None,1,['leftCL'],90.49977460002992,None,90.49977460002992,None,90.49977460002992,None,90.49977460002992,None,90.49977460002992,None,-0.1640625,-0.208984375,1,0,0,0.23317270004190505,leftCL,0.016310679959133267,None,90.73294547997648,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRM,BS_1002,2023-09-20_14h13.10.009,exp,2021.1.4,60.00762097000655,
,,,,,,,,2,0,2,0,,,,,,,91.46895110001788,None,,images/OBJ_26.png,images/OBJ_47.png,images/OBJ_155.png,93.06169300002512,94.56474669999443,95.04796630004421,96.54749849997461,97.06404389999807,None,93.06556428002659,None,95.04795928002568,None,97.0640276800259,None,98.56362999998964,None,same,None,100.13882580003701,101.64605680003297,102.12922200001776,103.62878659996204,104.12865610001609,None,100.14637938002124,None,102.12922947999323,None,104.12870128004579,None,105.6286042999709,None,1,['leftCL'],106.62791669997387,None,106.62791669997387,None,106.62791669997387,None,106.62791669997387,None,106.62791669997387,None,-0.1494140625,-0.2080078125,1,0,0,0.5169997999910265,leftCL,0.016388080082833767,None,107.14482177997706,None,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RLM,BS_1002,2023-09-20_14h13.10.009,exp,2021.1.4,60.00762097000655,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.77649078000104,None,5,old,107.72311210003681,None,107.72763177996967,None,109.22722570004407,None,3,110.2269215999404,None,111.20991940004751,None,111.20991940004751,None,111.20991940004751,None,111.20991940004751,None,111.20991940004751,None,111.20991940004751,None,-0.009765625,0.05859375,1,0,0,first_left,1.0156823800643906,None,,images/OBJ_171.png,,,,,,,,,,BS_1002,2023-09-20_14h13.10.009,exp,2021.1.4,60.00762097000655,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.17555728001753,None,,old,112.342869300046,None,112.34302750002826,None,113.84292069997173,None,4,114.8422035999829,None,115.80860009999014,None,115.80860009999014,None,115.80860009999014,None,115.80860009999014,None,115.80860009999014,None,115.80860009999014,None,-0.0283203125,-0.1162109375,1,0,0,second_middle,0.9992197800893337,None,,images/OBJ_60.png,,,,,,,,,,BS_1002,2023-09-20_14h13.10.009,exp,2021.1.4,60.00762097000655,
