EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,participant,date,expName,psychopyVersion,frameRate,
22,0,22,0,,,,,,,,,,,388.3194568999461,None,RML,images/OBJ_74.png,images/OBJ_88.png,images/OBJ_48.png,389.86482779996004,391.36897669994505,391.8517381999991,393.351234999951,393.8678018999635,None,389.86883485995935,None,391.8521360899846,None,393.8677309899882,None,395.3678772999556,None,same,MLR,396.9255545999622,398.43358999997145,398.9163441999699,400.41592539998237,400.9162266999483,None,396.9333548599738,None,398.91676548995895,None,400.91566748998014,None,402.4153227999923,None,1,['leftCL'],403.41506309999386,None,403.41506309999386,None,403.41506309999386,None,403.41506309999386,None,403.41506309999386,None,-0.1015625,-0.306640625,1,0,0,0.3828114999923855,leftCL,0.01629498996771872,None,403.7982777899539,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
23,0,23,0,,,,,,,,,,,404.44820029998664,None,LMR,images/OBJ_100.png,images/OBJ_57.png,images/OBJ_157.png,405.9933173999889,407.4975603999919,407.98082769999746,409.4803191999672,409.99650829995517,None,405.9975029600086,None,407.9803180899995,None,409.99687599000174,None,411.4960036999546,None,same,MLR,413.03937099996256,414.54514269996434,415.0283094999613,416.52790190000087,417.0277638999978,None,413.045418059954,None,415.0282929899928,None,417.02774998999087,None,418.52728329994716,None,1,['leftCL'],419.52699639997445,None,419.52699639997445,None,419.52699639997445,None,419.52699639997445,None,419.52699639997445,None,-0.1201171875,-0.3115234375,1,0,0,0.3827269999892451,leftCL,0.016324390016961843,None,419.9102016899793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
24,0,24,0,,,,,,,,,,,420.55699630000163,None,LMR,images/OBJ_15.png,images/OBJ_67.png,images/OBJ_99.png,422.1101811999688,423.6262695999467,424.10900879994733,425.6085725000012,426.1084163999767,None,422.1099788599881,None,424.10895699000105,None,426.10840428998347,None,427.60799449996557,None,same,MLR,429.1559355999925,430.6571065999451,431.15694869996514,432.6569958999753,433.1564038999495,None,429.15782855995934,None,431.1568832899735,None,433.15686348999736,None,434.6563180999947,None,1,['leftCL'],435.6556776999496,None,435.6556776999496,None,435.6556776999496,None,435.6556776999496,None,435.6556776999496,None,-0.1533203125,-0.2578125,1,0,0,0.5665178000344895,leftCL,0.01627309003379196,None,436.22214148996284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,436.7279380999971,None,None,None,q,429.53990139998496,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.6974164899963,None,,,,,,,,,,old,456.7227769999881,None,456.73295587998587,None,458.23248439998133,None,1,459.23253579996526,None,460.21520759997657,None,460.21520759997657,None,460.21520759997657,None,460.21520759997657,None,460.21520759997657,None,460.21520759997657,None,0.025390625,0.1015625,1,0,0,first_left,0.9990478900144808,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.84370198996623,None,,,,,,,,,,old,466.36008659994695,None,466.3630892899761,None,467.8629701999598,None,2,468.8627246999531,None,469.82957299996633,None,469.82957299996633,None,469.82957299996633,None,469.82957299996633,None,469.82957299996633,None,469.82957299996633,None,-0.0087890625,0.0380859375,1,0,0,first_left,0.9992543899570592,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.559003189957,None,,,,,,,,,,old,477.5107564999489,None,477.5103619900125,None,479.00968729995657,None,3,480.0094589999644,None,480.99297929997556,None,480.99297929997556,None,480.99297929997556,None,480.99297929997556,None,480.99297929997556,None,480.99297929997556,None,0.0009765625,-0.1064453125,1,0,0,second_middle,1.0157220900291577,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.99092598998106,None,,,,,,,,,,old,482.219691199949,None,482.22556828997915,None,483.7250786999939,None,4,484.72477380000055,None,485.6916038999916,None,485.6916038999916,None,485.6916038999916,None,485.6916038999916,None,485.6916038999916,None,485.6916038999916,None,0.02734375,-0.2763671875,1,0,0,third_right,0.9995964900590479,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.639140089968,None,,,,,,,,,,old,488.657414199959,None,488.65666818996544,None,490.15654999995604,None,5,491.1562119000009,None,492.1230660000001,None,492.1230660000001,None,492.1230660000001,None,492.1230660000001,None,492.1230660000001,None,492.1230660000001,None,0.0107421875,0.0927734375,1,0,0,first_left,0.9995934899779968,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.9213972899539,None,,,,,,,,,,old,493.29719459998887,None,493.30531218996623,None,494.80513189994963,None,6,495.8048325999989,None,496.7878849999979,None,496.7878849999979,None,496.7878849999979,None,496.7878849999979,None,496.7878849999979,None,496.7878849999979,None,0.0146484375,0.0400390625,1,0,0,first_left,0.9991290899924934,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.6195232899569,None,,,,,,,,,,old,498.58606909995433,None,498.58715539000116,None,500.086947499949,None,7,501.08667449996574,None,502.0697083999985,None,502.0697083999985,None,502.0697083999985,None,502.0697083999985,None,502.0697083999985,None,502.0697083999985,None,-0.0029296875,-0.267578125,1,0,0,third_right,0.9995524900150485,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.151578189974,None,,,,,,,,,,old,503.28576439997414,None,503.2857528899855,None,504.7855531999958,None,8,505.78575659997296,None,506.76886179996654,None,506.76886179996654,None,506.76886179996654,None,506.76886179996654,None,506.76886179996654,None,506.76886179996654,None,0.013671875,-0.1015625,1,0,0,second_middle,1.0158411900047213,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.6836022899894,None,,,,,,,,,,old,507.8246700000018,None,507.83445637997943,None,509.3342435999657,None,9,510.33393839997007,None,511.30040649999864,None,511.30040649999864,None,511.30040649999864,None,511.30040649999864,None,511.30040649999864,None,511.30040649999864,None,0.0263671875,0.0751953125,1,0,0,first_left,0.9991854900144972,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.1327946899634,None,,,,,,,,,,old,512.3405839999905,None,512.3498277899868,None,513.8496451999526,None,10,514.8493036999716,None,515.8157295999699,None,515.8157295999699,None,515.8157295999699,None,515.8157295999699,None,515.8157295999699,None,515.8157295999699,None,0.013671875,-0.0703125,1,0,0,second_middle,0.9991376899997704,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.714271789993,None,,,,,,,,,,old,516.8011640999466,None,516.7984387900157,None,518.3150121999788,None,11,519.3151047999854,None,520.2810622999677,None,520.2810622999677,None,520.2810622999677,None,520.2810622999677,None,520.2810622999677,None,520.2810622999677,None,0.0380859375,0.1201171875,1,0,0,first_left,0.9990583900362253,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.3300608899968,None,,,,,,,,,,old,521.3812359999865,None,521.3809518900176,None,522.8808209999697,None,12,523.8805175999878,None,524.8464627999929,None,524.8464627999929,None,524.8464627999929,None,524.8464627999929,None,524.8464627999929,None,524.8464627999929,None,0.0244140625,-0.0927734375,1,0,0,second_middle,0.9992693900130689,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.9621116899594,None,,,,,,,,,,old,525.9864332999568,None,525.9958992900152,None,527.495709699986,None,13,528.4953663999913,None,529.4622412999743,None,529.4622412999743,None,529.4622412999743,None,529.4622412999743,None,529.4622412999743,None,529.4622412999743,None,-0.056640625,-0.3154296875,1,0,0,third_right,0.9996097899856977,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.6774120900023,None,,,,,,,,,,old,530.6209019999951,None,530.6277878899651,None,532.128136699961,None,14,533.1278654999915,None,534.0941508999676,None,534.0941508999676,None,534.0941508999676,None,534.0941508999676,None,534.0941508999676,None,534.0941508999676,None,0.0068359375,-0.2587890625,1,0,0,third_right,0.9995322899776511,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.1922626899847,None,,,,,,,,,,old,535.3538172999979,None,535.360204379994,None,536.8595989999594,None,15,537.8593269999838,None,538.8423227999592,None,538.8423227999592,None,538.8423227999592,None,538.8423227999592,None,538.8423227999592,None,538.8423227999592,None,-0.01953125,0.0322265625,1,0,0,first_left,1.0155572899384424,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.7076399899612,None,,,,,,,,,,old,539.8607008999679,None,539.8584523900005,None,541.3749856999493,None,16,542.3752155999537,None,543.3415714000002,None,543.3415714000002,None,543.3415714000002,None,543.3415714000002,None,543.3415714000002,None,543.3415714000002,None,-0.0146484375,-0.08984375,1,0,0,second_middle,0.9996123900054954,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.3062248899893,None,,,,,,,,,,old,544.3830401999876,None,544.3908658799949,None,545.8903616999742,None,17,546.8900326999719,None,547.873100799974,None,547.873100799974,None,547.873100799974,None,547.873100799974,None,547.873100799974,None,547.873100799974,None,0.0107421875,0.0693359375,1,0,0,first_left,0.9994999900809489,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.8383132899704,None,,,,,,,,,,old,548.9759561999817,None,548.9724415899778,None,550.4889716999605,None,18,551.4887502999627,None,552.455051500001,None,552.455051500001,None,552.455051500001,None,552.455051500001,None,552.455051500001,None,552.455051500001,None,0.0029296875,-0.0693359375,1,0,0,second_middle,0.999064389965497,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.4203268899524,None,,,,,,,,,,old,553.5004953999887,None,553.5045066900144,None,555.0043368999613,None,19,556.0045107999467,None,556.9709029999794,None,556.9709029999794,None,556.9709029999794,None,556.9709029999794,None,556.9709029999794,None,556.9709029999794,None,0.0361328125,0.0498046875,1,0,0,first_left,0.9992009900161065,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.0189481899666,None,,,,,,,,,,old,558.0821799999685,None,558.0865379900148,None,559.5863309999695,None,20,560.5860235999571,None,561.552906500001,None,561.552906500001,None,561.552906500001,None,561.552906500001,None,561.552906500001,None,561.552906500001,None,-0.0048828125,0.0595703125,1,0,0,first_left,0.9995870899874717,None,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
,,,,,,,,,,,,562.5313181999954,None,570.1999891999876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,images/OBJ_160.png,,,,,,
