EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,participant,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,,192.36224190000212,None,RML,images/OBJ_68.png,images/OBJ_114.png,images/OBJ_199.png,193.92316829995252,195.42543259996455,195.92527139995946,197.4253167999559,197.92465169995558,None,193.92573285996914,None,195.92571858997107,None,197.92514688998344,None,199.42477199999848,None,diff,LRM,200.98567419999745,202.48999409994576,202.97360299999127,204.47324389999267,204.97264569997787,None,200.9907237599604,None,202.97369708999176,None,204.9730899899674,None,206.47220949997427,None,1,['rightCL'],207.47192989999894,None,207.47192989999894,None,207.47192989999894,None,207.47192989999894,None,207.47192989999894,None,0.2275390625,-0.2822265625,1,0,0,0.6331623999867588,rightCL,0.016284190001897514,None,208.10508398996316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
11,0,11,0,,,,,,,,,,,208.75033939996501,None,RML,images/OBJ_93.png,images/OBJ_6.png,images/OBJ_36.png,210.3007131999475,211.804587599996,212.30383999994956,213.80334639997454,214.30322729999898,None,210.30470685996116,None,212.30384688998456,None,214.30323248996282,None,215.80287389998557,None,diff,MLR,217.34579139994457,218.85191689996282,219.3356057999772,220.8347131999908,221.33450719999382,None,217.35264475996374,None,219.33559308997937,None,221.33453518995665,None,222.834127399954,None,1,['rightCL'],223.83385869994527,None,223.83385869994527,None,223.83385869994527,None,223.83385869994527,None,223.83385869994527,None,0.2275390625,-0.2822265625,1,0,0,0.5826744000078179,rightCL,0.01632209005765617,None,224.41699058998492,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
12,0,12,0,,,,,,,,,,,225.07349209999666,None,LRM,images/OBJ_179.png,images/OBJ_97.png,images/OBJ_163.png,226.62211679999018,228.13255329994718,228.61571809998713,230.11534139997093,230.61520790000213,None,226.63294935998275,None,228.6162119899469,None,230.61523468995583,None,232.1148136999691,None,same,MLR,233.65144809999038,235.16384870000184,235.64702449995093,237.14660939999158,237.64644899999257,None,233.64795476999714,None,235.64743839000002,None,237.64686519000097,None,239.1460887999856,None,1,['leftCL'],240.14576970000053,None,240.14576970000053,None,240.14576970000053,None,240.14576970000053,None,240.14576970000053,None,-0.140625,-0.3232421875,1,0,0,0.5327221999759786,leftCL,0.016313589934725314,None,240.67893309000064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
13,0,13,0,,,,,,,,,,,241.31964879995212,None,LMR,images/OBJ_84.png,images/OBJ_25.png,images/OBJ_126.png,242.87689029995818,244.3783897999674,244.8777341999812,246.37778059998527,246.8771978999721,None,242.87823325998616,None,244.877718289959,None,246.87750038998783,None,248.3772425999632,None,same,MLR,249.9362955999677,251.44248319999315,251.92567139997846,253.4257227999624,253.92556059994968,None,249.94277225997067,None,251.92568578995414,None,253.92509168997057,None,255.42467579996446,None,1,['leftCL'],256.42474699998274,None,256.42474699998274,None,256.42474699998274,None,256.42474699998274,None,256.42474699998274,None,-0.154296875,-0.30078125,1,0,0,1.59959150000941,leftCL,0.016327989986166358,None,258.023908089957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
14,0,14,0,,,,,,,,,,,258.67378219997045,None,RLM,images/OBJ_160.png,images/OBJ_69.png,images/OBJ_195.png,260.21982229995774,261.723296399985,262.22306279995246,263.7227387999883,264.22210269997595,None,260.2231713599526,None,262.2231405900035,None,264.22210578998204,None,265.72165299998596,None,same,MLR,267.26977849996183,268.7712576999911,269.2706246000016,270.77018799999496,271.2700499999919,None,267.27157035997374,None,269.27106148999303,None,271.27005518995577,None,272.7696432999801,None,1,['leftCL'],273.7693462999887,None,273.7693462999887,None,273.7693462999887,None,273.7693462999887,None,273.7693462999887,None,-0.154296875,-0.30078125,1,0,0,0.8664560000179335,leftCL,0.016331790015101433,None,274.6357606899634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
15,0,15,0,,,,,,,,,,,275.2820853999583,None,MLR,images/OBJ_10.png,images/OBJ_78.png,images/OBJ_158.png,276.82992119999835,278.3346448999946,278.81790909997653,280.3174118999741,280.8173151999945,None,276.8350269599818,None,278.8183109899925,None,280.8172532899713,None,282.31733989994973,None,same,MLR,283.8586528999731,285.3659424999496,285.8491081999964,287.34876449999865,287.84906439995393,None,283.8662670599646,None,285.8491215899645,None,287.84853498997984,None,289.34812729997793,None,1,['leftCL'],290.34786079998594,None,290.34786079998594,None,290.34786079998594,None,290.34786079998594,None,290.34786079998594,None,-0.154296875,-0.30078125,1,0,0,0.28340619994560257,leftCL,0.01632898999378085,None,290.631562989956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
16,0,16,0,,,,,,,,,,,291.2807493999717,None,RML,images/OBJ_61.png,images/OBJ_64.png,images/OBJ_16.png,292.8211603999953,294.3305051999632,294.8132060999633,296.3131617999752,296.81300099997316,None,292.83075555999534,None,294.8131850899605,None,296.8129718899669,None,298.31219249998685,None,same,MLR,299.85346429998754,301.36180689994944,301.8449872999918,303.3445848999545,303.844395699969,None,299.8616113599623,None,301.84446748997436,None,303.8442948899989,None,305.34397909999825,None,1,['leftCL'],306.34321459999774,None,306.34321459999774,None,306.34321459999774,None,306.34321459999774,None,306.34321459999774,None,-0.154296875,-0.30078125,1,0,0,0.36669789999723434,leftCL,0.01633219001814723,None,306.71029618998875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
17,0,17,0,,,,,,,,,,,307.3532426999882,None,RML,images/OBJ_121.png,images/OBJ_209.png,images/OBJ_116.png,308.9097848999663,310.4258727999986,310.9085600999533,312.4081044999766,312.90800039999885,None,308.90943605997603,None,310.908507890004,None,312.9083267899638,None,314.40752049995353,None,same,MLR,315.95577239996055,317.45712889998686,317.9565183999948,319.4564213999547,319.95597079995787,None,315.95693456000885,None,317.9567672899517,None,319.9559061899723,None,321.45547439996153,None,1,['leftCL'],322.45520469994517,None,322.45520469994517,None,322.45520469994517,None,322.45520469994517,None,322.45520469994517,None,-0.154296875,-0.30078125,1,0,0,0.5665755000081845,leftCL,0.016320689988788217,None,323.0221530899813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
18,0,18,0,,,,,,,,,,,323.66286159999436,None,MLR,images/OBJ_150.png,images/OBJ_202.png,images/OBJ_53.png,325.2080311999889,326.72108950000256,327.20428089995403,328.703360399988,329.2032899999758,None,325.2046767700056,None,327.2037637899572,None,329.20316618994696,None,330.7028173999861,None,same,MLR,332.2366191999754,333.7357360999449,334.23509639996337,335.73466209997423,336.23453859996516,None,332.23551016997664,None,334.2351042899478,None,336.23448608995534,None,337.7340962999733,None,1,['leftCL'],338.73380519996863,None,338.73380519996863,None,338.73380519996863,None,338.73380519996863,None,338.73380519996863,None,-0.154296875,-0.30078125,1,0,0,0.7998240000451915,leftCL,0.016330990009009838,None,339.5335608900001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
19,0,19,0,,,,,,,,,,,340.17331929999636,None,LRM,images/OBJ_96.png,images/OBJ_110.png,images/OBJ_95.png,341.72591839998495,343.23297749995254,343.7157125999802,345.21561979997205,345.71545159997186,None,341.7333024599706,None,343.7161681899976,None,345.71557578996874,None,347.2146426999825,None,same,MLR,348.75536999996984,350.2637641999754,350.74698389996774,352.2470396999852,352.74636859999737,None,348.7640211599996,None,350.74693128995716,None,352.7463761899795,None,354.24597639997955,None,1,['leftCL'],355.2460840999847,None,355.2460840999847,None,355.2460840999847,None,355.2460840999847,None,355.2460840999847,None,-0.154296875,-0.30078125,1,0,0,0.3328987000277266,leftCL,0.016291190055198967,None,355.57892378995314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
20,0,20,0,,,,,,,,,,,356.2253243000014,None,MLR,images/OBJ_142.png,images/OBJ_23.png,images/OBJ_137.png,357.76796709996415,359.2778174999985,359.76138379995245,361.2610793999629,361.76044329995057,None,357.77814126000743,None,359.761480389972,None,361.7604032899777,None,363.26003969996236,None,same,MLR,364.7989318999462,366.309498299961,366.7923516999581,368.29225919995224,368.79223359999014,None,364.80932216000514,None,366.7922778899607,None,368.79216698998937,None,370.29178549995413,None,1,['leftCL'],371.2910060999566,None,371.2910060999566,None,371.2910060999566,None,371.2910060999566,None,371.2910060999566,None,-0.154296875,-0.30078125,1,0,0,0.2667502000113018,leftCL,0.016334390034899116,None,371.5576415899501,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
21,0,21,0,,,,,,,,,,,372.1961902999901,None,RML,images/OBJ_33.png,images/OBJ_177.png,images/OBJ_82.png,373.7537858999567,375.2570026999456,375.7568641999969,377.2559482999495,377.75575009995373,None,373.7573215599754,None,375.7563197899668,None,377.756277889997,None,379.25533189997077,None,diff,MLR,380.80318669998087,382.3044908999582,382.80480899999384,384.3038768999977,384.8042362999986,None,380.80472736000087,None,382.8042843899981,None,384.8037185899972,None,386.3033156999736,None,1,['rightCL'],387.3035122999572,None,387.3035122999572,None,387.3035122999572,None,387.3035122999572,None,387.3035122999572,None,0.2236328125,-0.359375,1,0,0,0.3665442999918014,rightCL,0.016315290064085275,None,387.6700584900042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
