EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,58.89116130000912,None,62.563571300008334,None,RML,images/OBJ_199.png,images/OBJ_172.png,images/OBJ_209.png,64.21291240002029,65.71824100002414,66.20136160001857,67.70141370000783,68.20128360000672,None,64.21834730001865,None,66.2013622100174,None,68.20124661001027,None,69.70037570002023,None,same,None,71.33642140001757,72.84945100004552,73.33265110000502,74.83217030001106,75.33207330002915,None,71.33334859002498,None,73.3326376100129,None,75.33206641002907,None,76.83162960002664,None,1,['leftCL'],77.8318411000073,None,77.8318411000073,None,77.8318411000073,None,77.8318411000073,None,77.8318411000073,None,-0.14453125,-0.328125,1,0,0,0.42969339998671785,leftCL,0.013192610000260174,None,78.26452121002949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1101,2023-10-02_16h01.19.865,exp,2021.1.4,60.03190095047251,
1,0,1,0,,,,,,,,,,,,,,,79.01164820004487,None,MLR,images/OBJ_45.png,images/OBJ_47.png,images/OBJ_123.png,80.57114040001761,82.08059750002576,82.56375850003678,84.06338190002134,84.56321020005271,None,80.58088834999944,None,82.56377341002808,None,84.56316501005203,None,86.06230240000878,None,diff,RML,87.61367260001134,89.1284667000291,89.61121230002027,91.11130090005463,91.61067720002029,None,87.61210583999055,None,89.61169601003057,None,91.61061331005185,None,93.11025940004038,None,1,['rightCL'],94.10997920000227,None,94.10997920000227,None,94.10997920000227,None,94.10997920000227,None,94.10997920000227,None,0.2607421875,-0.3720703125,1,0,0,0.38318730000173673,rightCL,0.016323409974575043,None,94.4931959100475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1101,2023-10-02_16h01.19.865,exp,2021.1.4,60.03190095047251,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09188181002973,None,2,old,95.27760780003155,None,95.27630847998661,None,96.79253710003104,None,1,97.7922438000096,None,98.7752892000135,None,98.7752892000135,None,98.7752892000135,None,98.7752892000135,None,98.7752892000135,None,98.7752892000135,None,0.0126953125,-0.1376953125,1,0,0,second_middle,1.0156368099851534,None,,,,,,,,,,,,BS_1101,2023-10-02_16h01.19.865,exp,2021.1.4,60.03190095047251,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.69097961000516,None,,old,99.85317529999884,None,99.85786916996003,None,101.35784450004576,None,2,102.35759960004361,None,103.34062400000403,None,103.34062400000403,None,103.34062400000403,None,103.34062400000403,None,103.34062400000403,None,103.34062400000403,None,0.0234375,0.025390625,1,0,0,first_left,0.9990144099574536,None,,,,,,,,,,,,BS_1101,2023-10-02_16h01.19.865,exp,2021.1.4,60.03190095047251,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,images/OBJ_199.png,104.20711050002137,None,None,None,space,47.855805500003044,None,None,,BS_1101,2023-10-02_16h01.19.865,exp,2021.1.4,60.03190095047251,
,,,,,,,,0,0,0,0,,,,,,,106.74912150000455,None,,images/OBJ_22.png,images/OBJ_91.png,images/OBJ_102.png,108.30243690003408,109.80584540002747,110.30522450001445,111.80519810004625,112.3051527000498,None,108.30571044002427,None,110.30520471003256,None,112.30464751003892,None,113.80422290001297,None,same,RML,115.34546830004547,116.853847600054,117.33701660000952,118.83657080004923,119.33641610003542,None,115.35350244002184,None,117.33647751003154,None,119.33642811000463,None,120.83559120004065,None,1,['leftCL'],121.8352299000253,None,121.8352299000253,None,121.8352299000253,None,121.8352299000253,None,121.8352299000253,None,-0.1474609375,-0.3193359375,1,0,0,0.8497311999672092,leftCL,0.016256609989795834,None,122.68493781004217,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMR,BS_1101,2023-10-02_16h01.19.865,exp,2021.1.4,60.03190095047251,
,,,,,,,,1,0,1,0,,,,,,,123.43179590004729,None,,images/OBJ_85.png,images/OBJ_183.png,images/OBJ_16.png,124.98046750004869,126.48434560000896,126.96705279999878,128.4670944000245,128.96697110001696,None,124.98419234004105,None,126.96700041000149,None,128.96686791004032,None,130.46603630000027,None,diff,RML,132.00456270005088,133.51562920003198,133.998355000047,135.49839160003467,135.99776160001056,None,132.01582324003104,None,133.9988349100284,None,135.99824721003534,None,137.49735100002727,None,1,['rightCL'],138.4970309000346,None,138.4970309000346,None,138.4970309000346,None,138.4970309000346,None,138.4970309000346,None,0.1796875,-0.3193359375,1,0,0,0.5331903999904171,rightCL,0.016317510046064854,None,139.03019761001343,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLR,BS_1101,2023-10-02_16h01.19.865,exp,2021.1.4,60.03190095047251,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.02874300999684,None,4,old,140.20627650001552,None,140.21213281995153,None,141.7128231000388,None,3,142.71250160003547,None,143.69553210004233,None,143.69553210004233,None,143.69553210004233,None,143.69553210004233,None,143.69553210004233,None,143.69553210004233,None,-0.015625,-0.125,1,0,0,second_middle,1.0156849100021645,None,,,,,,,,,,,,BS_1101,2023-10-02_16h01.19.865,exp,2021.1.4,60.03190095047251,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.66076060999768,None,,old,144.7839770000428,None,144.7952205699927,None,146.29477330000373,None,4,147.29449170001317,None,148.26089460001094,None,148.26089460001094,None,148.26089460001094,None,148.26089460001094,None,148.26089460001094,None,148.26089460001094,None,0.0205078125,0.0302734375,1,0,0,first_left,1.0157821100438014,None,,,,,,,,,,,,BS_1101,2023-10-02_16h01.19.865,exp,2021.1.4,60.03190095047251,
