EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Trial_Order,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,16.976888199802488,None,17.15011249994859,None,RLM,images/OBJ_74.png,images/OBJ_14.png,images/OBJ_67.png,RLM,18.848281199578196,20.355255499947816,20.838309799786657,22.337967499624938,22.837625399697572,None,18.85550940996036,None,20.838466769643126,None,22.83784266989678,None,24.337310899980366,None,same,None,25.974016499705613,27.486190399620682,27.969300999771804,29.468651599716395,29.9686908996664,None,25.986270899884403,None,27.969069169927387,None,29.968812769837676,None,31.468278099782765,None,0,['leftCL'],32.4678745996207,None,32.4678745996207,None,32.4678745996207,None,32.4678745996207,None,32.4678745996207,None,-0.162109375,-0.3486328125,1,0,0,2.829398499801755,leftCL,0.013144769705832005,None,35.30049746958539,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0113,2024-01-10_17h44.13.827,exp,2021.1.4,60.00254407135899,
1,0,1,0,,,,,,,,,,,,,,,35.96230969997123,None,RML,images/OBJ_30.png,images/OBJ_95.png,images/OBJ_5.png,RML,37.56170729966834,39.066160399932414,39.54952679993585,41.04858799977228,41.54864379996434,None,37.56656418992206,None,39.549028869811444,None,41.54843596983701,None,43.048195799812675,None,same,None,44.590472099836916,46.09749889979139,46.580837099812925,48.0799251999706,48.577689699828625,None,44.59771258002147,None,46.580372269824146,None,48.58004626967013,None,50.079547399654984,None,0,['leftCL'],51.07919109985232,None,51.07919109985232,None,51.07919109985232,None,51.07919109985232,None,51.07919109985232,None,-0.1640625,-0.189453125,1,0,0,30.341290100011975,leftCL,0.016352769918739796,None,82.00356836998836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0113,2024-01-10_17h44.13.827,exp,2021.1.4,60.00254407135899,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,82.5119882998988,None,None,None,space,133.3718038997613,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0113,2024-01-10_17h44.13.827,exp,2021.1.4,60.00254407135899,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.165620470047,None,,,,,,,,,,old,150.34148539975286,None,150.35014008022844,None,151.84986429987475,None,1,152.8494539000094,None,153.83264149958268,None,153.83264149958268,None,153.83264149958268,None,153.83264149958268,None,153.83264149958268,None,153.83264149958268,None,-0.0458984375,-0.1484375,1,0,0,second_middle,1.0153394700028002,None,,,0113,2024-01-10_17h44.13.827,exp,2021.1.4,60.00254407135899,
,,,,,,,,0,0,0,0,,,,,155.67432959983125,None,156.85502110002562,None,,images/OBJ_173.png,images/OBJ_80.png,images/OBJ_6.png,RLM,158.40796829992905,159.914270399604,160.39761629980057,161.8967100996524,162.39702939987183,None,158.4146166796796,None,160.39744636984543,None,162.39686856986955,None,163.89637439977378,None,diff,RML,165.43506619986147,166.94553829962388,167.42891100002453,168.9283613995649,169.4283365998417,None,165.4458056799136,None,167.42874946966768,None,169.42783986972645,None,170.92767579993233,None,0,['leftCL'],171.92736359965056,None,171.92736359965056,None,171.92736359965056,None,171.92736359965056,None,171.92736359965056,None,-0.14453125,-0.275390625,1,0,0,1.033201899845153,leftCL,0.016267569735646248,None,172.96038826983423,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,images/OBJ_67.png,0113,2024-01-10_17h44.13.827,exp,2021.1.4,60.00254407135899,
,,,,,,,,1,0,1,0,,,,,,,173.64641639962792,None,,images/OBJ_93.png,images/OBJ_98.png,images/OBJ_45.png,RML,175.2119464999996,176.72573499986902,177.2094153999351,178.70862829964608,179.20886419992894,None,175.21004407983273,None,177.20924056982622,None,179.20839166976512,None,180.70815449999645,None,same,RML,182.25466619990766,183.7574723996222,184.25707129994407,185.75673489971086,186.25674889981747,None,182.25754878008738,None,184.25714376997203,None,186.25658086976037,None,187.75633769994602,None,0,['leftCL'],188.75587989995256,None,188.75587989995256,None,188.75587989995256,None,188.75587989995256,None,188.75587989995256,None,-0.1220703125,-0.3564453125,1,0,0,18.161159000359476,leftCL,0.01623857021331787,None,206.9171627700329,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0113,2024-01-10_17h44.13.827,exp,2021.1.4,60.00254407135899,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,207.42647730000317,None,None,None,space,192.61969670001417,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0113,2024-01-10_17h44.13.827,exp,2021.1.4,60.00254407135899,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
