EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,15.844319099996937,None,16.304384599992773,LMR,images/OBJ_149.png,images/OBJ_106.png,images/OBJ_63.png,18.671199299991713,20.16984620000585,20.669703099993058,22.16975299999467,22.669145399995614,None,18.67010011999373,None,20.67018883999699,None,22.669133140005577,None,24.16875670000445,None,same,None,1,25.807395499999984,27.31774199999927,27.801458100002492,29.300500600002124,29.80087170000479,None,25.818040300000575,None,27.801471939992915,None,29.80088814000046,None,31.299938199997996,None,1,['leftCL'],32.29971459999797,None,32.29971459999797,None,32.29971459999797,None,32.29971459999797,None,32.29971459999797,None,-0.1875,-0.3603515625,1,0,0,1.279383199987933,leftCL,0.013174539999454282,None,33.58265274000441,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1003,2023-06-29_15h41.22.077,exp,2021.1.4,59.99761209431756,
1,0,1,0,,,,,,,34.08899049999309,RLM,images/OBJ_82.png,images/OBJ_17.png,images/OBJ_9.png,36.36891950000427,37.88135399999737,38.36455929999647,39.864097600002424,40.36396099999547,None,36.365553179993,None,38.36504914000252,None,40.36448863999831,None,41.86359549999179,None,same,None,2,43.40719709999394,44.91268409999611,45.39585289999377,46.89592349999293,47.39578459999757,None,43.413467760002824,None,45.39584393999976,None,47.395248440005524,None,48.894879300001776,None,1,['leftCL'],49.89457960000436,None,49.89457960000436,None,49.89457960000436,None,49.89457960000436,None,49.89457960000436,None,-0.2265625,-0.349609375,1,0,0,0.5665735999937169,leftCL,0.01637384000059683,None,50.46160503999126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1003,2023-06-29_15h41.22.077,exp,2021.1.4,59.99761209431756,
2,0,2,0,,,,,,,50.96872699999949,LMR,images/OBJ_80.png,images/OBJ_164.png,images/OBJ_55.png,53.2588051000057,54.76034359999176,55.260167700005695,56.759222699998645,57.25909560000582,None,53.26065091998607,None,55.25964073999639,None,57.259085740004956,None,58.758749100001296,None,same,None,3,60.295772700003,61.80824169999687,62.27479039999889,63.77438750000147,64.29040189999796,None,60.30809315999213,None,62.274792940005135,None,64.29087254000333,None,65.79045749999932,None,1,['leftCL'],66.78969459999644,None,66.78969459999644,None,66.78969459999644,None,66.78969459999644,None,66.78969459999644,None,-0.2060546875,-0.328125,1,0,0,0.4312506999995094,leftCL,0.014910840007360093,None,67.22288473999507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1003,2023-06-29_15h41.22.077,exp,2021.1.4,59.99761209431756,
3,0,3,0,,,,,,,67.7304729000025,MLR,images/OBJ_177.png,images/OBJ_7.png,images/OBJ_95.png,70.00690520000353,71.52161830000114,72.00479479999922,73.5048289999977,74.00475069999811,None,70.0053317799946,None,72.00529673999554,None,74.00473313999683,None,75.50433080000221,None,diff,RML,4,77.04841649999435,78.55291099999158,79.03663550000056,80.53569229999266,81.03561399999307,None,77.05370666000236,None,79.03651573999232,None,81.03602443999117,None,82.53512929999852,None,1,['rightCL'],83.53486479999265,None,83.53486479999265,None,83.53486479999265,None,83.53486479999265,None,83.53486479999265,None,0.11328125,-0.31640625,1,0,0,0.3155938999989303,rightCL,0.014841540003544651,None,83.8519152399953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1003,2023-06-29_15h41.22.077,exp,2021.1.4,59.99761209431756,
4,0,4,0,,,,,,,84.3516607999918,RML,images/OBJ_39.png,images/OBJ_100.png,images/OBJ_154.png,86.62672400000156,88.13403129999642,88.61718639999162,90.11622329999227,90.61614100000588,None,86.63429271999048,None,88.6166402399962,None,90.61608894000383,None,92.1161917999998,None,diff,LMR,5,93.67807219999668,95.18145629999344,95.68177650000143,97.18089750000217,97.68072750000283,None,93.68172675999232,None,95.68126563999832,None,97.6807284399969,None,99.18034110000008,None,1,['rightCL'],100.1801043000014,None,100.1801043000014,None,100.1801043000014,None,100.1801043000014,None,100.1801043000014,None,0.1015625,-0.3193359375,1,0,0,0.4166492000076687,rightCL,0.016394140009651892,None,100.59653943999584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1003,2023-06-29_15h41.22.077,exp,2021.1.4,59.99761209431756,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.42900934000355,None,old,images/OBJ_17.png,101.39588260000164,None,101.39664535998746,None,102.89587579999352,None,1,103.89611210000294,None,104.86246570000367,None,104.86246570000367,None,104.86246570000367,None,104.86246570000367,None,104.86246570000367,None,104.86246570000367,None,0.00390625,-0.087890625,1,0,0,second_middle,0.9994840399886016,None,BS1003,2023-06-29_15h41.22.077,exp,2021.1.4,59.99761209431756,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.29377223999327,None,old,images/OBJ_80.png,106.17020029999549,None,106.17869243999885,None,107.67782919999445,None,2,108.67752219999966,None,109.64444699999876,None,109.64444699999876,None,109.64444699999876,None,109.64444699999876,None,109.64444699999876,None,109.64444699999876,None,0.03125,0.0556640625,1,0,0,first_left,0.9996761399961542,None,BS1003,2023-06-29_15h41.22.077,exp,2021.1.4,59.99761209431756,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.84295874000091,None,old,images/OBJ_149.png,111.01846079999814,None,111.02681659999507,None,112.52647820000129,None,3,113.5262786999956,None,114.49305760000425,None,114.49305760000425,None,114.49305760000425,None,114.49305760000425,None,114.49305760000425,None,114.49305760000425,None,-0.0087890625,0.0478515625,1,0,0,first_left,0.9996512399957282,None,BS1003,2023-06-29_15h41.22.077,exp,2021.1.4,59.99761209431756,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.77432713999443,None,old,images/OBJ_106.png,115.59659590000228,None,115.5921262399992,None,117.10843469999963,None,4,118.10814240000036,None,119.07505060000403,None,119.07505060000403,None,119.07505060000403,None,119.07505060000403,None,119.07505060000403,None,119.07505060000403,None,-0.0263671875,-0.154296875,1,0,0,second_middle,0.9992491400043946,None,BS1003,2023-06-29_15h41.22.077,exp,2021.1.4,59.99761209431756,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.29019883999572,None,old,images/OBJ_82.png,120.49759559999802,None,120.50782989999425,None,122.00701040000422,None,5,123.00668930000393,None,123.9736155999999,None,123.9736155999999,None,123.9736155999999,None,123.9736155999999,None,123.9736155999999,None,123.9736155999999,None,0.0224609375,0.0458984375,1,0,0,first_left,0.9997557399910875,None,BS1003,2023-06-29_15h41.22.077,exp,2021.1.4,59.99761209431756,
