EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,491.9024061000091,None,None,None,q,431.0122344000265,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.1351658599975,None,,,,,,,,,,old,515.5288155000308,None,515.5370911200182,None,517.036399100034,None,1,518.0360999000259,None,519.002895200043,None,519.002895200043,None,519.002895200043,None,519.002895200043,None,519.002895200043,None,519.002895200043,None,0.02734375,-0.26953125,1,0,0,third_right,0.9990606600185856,None,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.0836119599932,None,,,,,,,,,,old,523.8022569000022,None,523.801360659994,None,525.3173247000086,None,2,526.317519400036,None,527.2839261000045,None,527.2839261000045,None,527.2839261000045,None,527.2839261000045,None,527.2839261000045,None,527.2839261000045,None,-0.0361328125,0.0732421875,1,0,0,first_left,0.9992207600153051,None,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.5652953599871,None,,,,,,,,,,old,528.7462006999995,None,528.7499449599942,None,530.2497577000177,None,3,531.2494664000114,None,532.215811800037,None,532.215811800037,None,532.215811800037,None,532.215811800037,None,532.215811800037,None,532.215811800037,None,-0.029296875,0.0751953125,1,0,0,first_left,0.9995976600330323,None,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.0311490599939,None,,,,,,,,,,old,533.2312530000345,None,533.2319833600137,None,534.7312945000012,None,4,535.7314459999907,None,536.6973463000031,None,536.6973463000031,None,536.6973463000031,None,536.6973463000031,None,536.6973463000031,None,536.6973463000031,None,-0.013671875,0.0712890625,1,0,0,first_left,0.9991354599478655,None,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.7792764599959,None,,,,,,,,,,old,537.6982119000168,None,537.6977929599758,None,539.2137985000154,None,5,540.212995000009,None,541.1793969999999,None,541.1793969999999,None,541.1793969999999,None,541.1793969999999,None,541.1793969999999,None,541.1793969999999,None,0.0283203125,-0.2265625,1,0,0,third_right,0.999150860006921,None,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.3445836600091,None,,,,,,,,,,old,542.4434188000159,None,542.4464300600172,None,543.945705900027,None,6,544.9454493999947,None,545.911367600027,None,545.911367600027,None,545.911367600027,None,545.911367600027,None,545.911367600027,None,545.911367600027,None,0.0244140625,-0.3037109375,1,0,0,third_right,0.999201959988568,None,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.209254059993,None,,,,,,,,,,old,547.007762400026,None,547.0117615599826,None,548.510603600007,None,7,549.5102758000139,None,550.4771777000278,None,550.4771777000278,None,550.4771777000278,None,550.4771777000278,None,550.4771777000278,None,550.4771777000278,None,-0.0068359375,-0.1328125,1,0,0,second_middle,0.9996578599675559,None,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.9079273600306,None,,,,,,,,,,old,553.8789671999984,None,553.876428860001,None,555.3919659000239,None,8,556.391684900038,None,557.3747040000162,None,557.3747040000162,None,557.3747040000162,None,557.3747040000162,None,557.3747040000162,None,557.3747040000162,None,0.005859375,-0.2431640625,1,0,0,third_right,1.015661559998989,None,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.5903795600112,None,,,,,,,,,,old,558.5785393000115,None,558.5746503599745,None,560.090582600038,None,9,561.090761600004,None,562.0566614000127,None,562.0566614000127,None,562.0566614000127,None,562.0566614000127,None,562.0566614000127,None,562.0566614000127,None,0.013671875,-0.2734375,1,0,0,third_right,0.9991235599736683,None,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
