EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,52.04294729999992,None,RML,images/OBJ_97.png,images/OBJ_106.png,images/OBJ_116.png,53.3594435,54.87498360000018,55.358106300000145,56.857242099999894,57.35749619999979,None,53.35821421000014,None,55.35818476999998,None,57.35759707000011,None,58.85667479999984,None,same,None,1,60.49289689999978,62.00574229999984,62.488947800000005,63.98856819999992,64.48837980000008,None,60.48947182999996,None,62.488938969999936,None,64.48836237,None,65.98793190000015,None,1,['leftCL'],66.98814850000008,None,66.98814850000008,None,66.98814850000008,None,66.98814850000008,None,66.98814850000008,None,-0.169921875,-0.3720703125,1,0,0,2.2127464000000145,leftCL,0.013423470000361704,None,69.20366916999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000001,2022-10-20_15h16.14.276,exp,2021.1.4,59.92477044321339,
1,0,1,0,,,,,,,,,,,LMR,images/OBJ_35.png,images/OBJ_145.png,images/OBJ_156.png,69.9678558999999,71.47006620000002,71.96992050000017,73.46959359999983,73.96941000000015,None,69.97056998999983,None,71.97003216999997,None,73.96935937000012,None,75.4689328999998,None,same,None,2,77.00547509999979,78.5177036,79.00123170000006,80.50041460000011,81.00065899999981,None,77.00143150999997,None,79.0008215700002,None,81.00074847000019,None,82.49984839999979,None,1,['leftCL'],83.49957600000016,None,83.49957600000016,None,83.49957600000016,None,83.49957600000016,None,83.49957600000016,None,-0.154296875,-0.2861328125,1,0,0,0.6165899999996327,leftCL,0.016438369999832503,None,84.11602566999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000001,2022-10-20_15h16.14.276,exp,2021.1.4,59.92477044321339,
2,0,2,0,,,,,,,,,,,MRL,images/OBJ_166.png,images/OBJ_179.png,images/OBJ_87.png,84.88688090000005,86.3986961999999,86.88192029999982,88.38145570000006,88.88131239999984,None,84.89905795999994,None,86.88190026999996,None,88.88132956999993,None,90.38086250000015,None,same,None,3,91.91527670000005,93.43001589999994,93.9136838999998,95.4132512000001,95.9131140999998,None,91.91364331,None,93.91318277000005,None,95.9126085700002,None,97.41222599999992,None,1,['leftCL'],98.41190039999992,None,98.41190039999992,None,98.41190039999992,None,98.41190039999992,None,98.41190039999992,None,-0.171875,-0.2705078125,1,0,0,0.3000307000002067,leftCL,0.016433869999673334,None,98.71180996999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000001,2022-10-20_15h16.14.276,exp,2021.1.4,59.92477044321339,
3,0,3,0,,,,,,,,,,,MLR,images/OBJ_83.png,images/OBJ_172.png,images/OBJ_141.png,99.50350230000004,101.01115660000005,101.49484100000018,102.99396200000001,103.49377240000013,None,99.51204793000011,None,101.49436166999999,None,103.49374276999993,None,104.99333669999987,None,same,None,4,106.53865420000011,108.04296119999981,108.52600709999979,110.02558249999993,110.52503560000014,None,106.54275697999992,None,108.52612866999993,None,110.52553577000003,None,112.02466279999999,None,0,['rightCL'],113.02435209999976,None,113.02435209999976,None,113.02435209999976,None,113.02435209999976,None,113.02435209999976,None,0.123046875,-0.3076171875,1,0,0,0.8165659000001142,rightCL,0.01643497000031857,None,113.84079976999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000001,2022-10-20_15h16.14.276,exp,2021.1.4,59.92477044321339,
4,0,4,0,,,,,,,,,,,RLM,images/OBJ_19.png,images/OBJ_20.png,images/OBJ_26.png,114.6326653000001,116.1401194,116.62332370000013,118.12335140000005,118.62321169999996,None,114.6407974299998,None,116.62329057000011,None,118.62318207000021,None,120.12228779999987,None,same,None,5,121.6624568000002,123.17145279999977,123.65458579999995,125.15413919999992,125.65398049999976,None,121.67177047999985,None,123.65458646999991,None,125.65398207000021,None,127.15357619999986,None,1,['leftCL'],128.1532757,None,128.1532757,None,128.1532757,None,128.1532757,None,128.1532757,None,-0.1220703125,-0.302734375,1,0,0,0.7499926000000414,leftCL,0.016434070000286738,None,128.90307216999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000001,2022-10-20_15h16.14.276,exp,2021.1.4,59.92477044321339,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.73530246999985,None,old,images/OBJ_166.png,129.66406499999994,None,129.6698995899999,None,131.1690641,None,1,132.16884130000017,None,132.16884130000017,None,132.16884130000017,None,132.16884130000017,None,132.16884130000017,None,132.16884130000017,None,132.16884130000017,None,0.013671875,-0.08203125,1,0,0,second_middle,0.016325269999924785,None,,,,,,,,,00000001,2022-10-20_15h16.14.276,exp,2021.1.4,59.92477044321339,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.25095217000012,None,old,images/OBJ_145.png,133.46231219999981,None,133.46887635000007,None,134.96839910000017,None,2,135.9676943999998,None,135.9676943999998,None,135.9676943999998,None,135.9676943999998,None,135.9676943999998,None,135.9676943999998,None,135.9676943999998,None,0.0107421875,-0.0810546875,1,0,0,second_middle,0.016433369999958813,None,,,,,,,,,00000001,2022-10-20_15h16.14.276,exp,2021.1.4,59.92477044321339,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.9832097699998,None,old,images/OBJ_87.png,136.98275969999986,None,136.9844893500001,None,138.48367849999977,None,3,139.48340430000007,None,139.48340430000007,None,139.48340430000007,None,139.48340430000007,None,139.48340430000007,None,139.48340430000007,None,139.48340430000007,None,0.001953125,-0.29296875,1,0,0,third_right,0.01642926999966221,None,,,,,,,,,00000001,2022-10-20_15h16.14.276,exp,2021.1.4,59.92477044321339,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.98206777000019,None,old,images/OBJ_26.png,140.71695180000006,None,140.7162758500001,None,142.23296709999977,None,4,143.23228999999992,None,143.23228999999992,None,143.23228999999992,None,143.23228999999992,None,143.23228999999992,None,143.23228999999992,None,143.23228999999992,None,-0.04296875,0.0322265625,1,0,0,first_left,0.0164011699994262,None,,,,,,,,,00000001,2022-10-20_15h16.14.276,exp,2021.1.4,59.92477044321339,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.58153147000007,None,old,images/OBJ_141.png,144.7388108,None,144.74851298999988,None,146.2481057,None,5,147.24777129999984,None,147.24777129999984,None,147.24777129999984,None,147.24777129999984,None,147.24777129999984,None,147.24777129999984,None,147.24777129999984,None,0.0419921875,-0.1552734375,1,0,0,second_middle,0.016433969999980036,None,,,,,,,,,00000001,2022-10-20_15h16.14.276,exp,2021.1.4,59.92477044321339,
