EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,25.794320099999823,None,26.183069700000488,None,LMR,images/OBJ_81.png,images/OBJ_163.png,images/OBJ_102.png,28.03924890000053,29.552753900001335,30.03544460000012,31.535004999999728,32.03487049999967,None,28.036484140001264,None,30.035450669999953,None,32.03488937000056,None,33.53441460000067,None,same,None,1,35.15724990000126,36.666838299999654,37.150044199999684,38.6496060999998,39.14946070000042,None,35.16739533000018,None,37.15051127000097,None,39.14998787000095,None,40.64899789999981,None,1,['leftCL'],41.648755100000926,None,41.648755100000926,None,41.648755100000926,None,41.648755100000926,None,41.648755100000926,None,-0.1396484375,-0.30078125,1,0,0,0.8305852000012237,leftCL,0.013283670001328574,None,42.48238667000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,2023-07-18_16h36.54.415,exp,2021.1.4,60.013166889299434,
1,0,1,0,,,,,,,,,,,43.213673800000834,None,LMR,images/OBJ_154.png,images/OBJ_104.png,images/OBJ_109.png,44.97441880000042,46.48064909999994,46.96381509999992,48.463417500001015,48.96375369999987,None,44.98143479000082,None,46.964374470000074,None,48.963761370000974,None,50.46282799999972,None,same,None,2,51.99922010000046,53.51190130000032,53.995133800000986,55.49507430000085,55.99458940000113,None,51.995704610000935,None,53.99513847000107,None,55.9945566700002,None,57.49412290000146,None,1,['leftCL'],58.49382409999998,None,58.49382409999998,None,58.49382409999998,None,58.49382409999998,None,58.49382409999998,None,-0.1923828125,-0.29296875,1,0,0,0.5165620000007038,leftCL,0.016423269998995238,None,59.01035146999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,2023-07-18_16h36.54.415,exp,2021.1.4,60.013166889299434,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.30881886999978,None,old,images/OBJ_102.png,59.790301300001374,None,59.793818160001315,None,61.29300760000115,None,1,62.29269860000022,None,63.275757900000826,None,63.275757900000826,None,63.275757900000826,None,63.275757900000826,None,63.275757900000826,None,63.275757900000826,None,0.0146484375,-0.1162109375,1,0,0,second_middle,1.01539387000048,None,,,,,,,,,111111,2023-07-18_16h36.54.415,exp,2021.1.4,60.013166889299434,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.02410336999984,None,old,images/OBJ_163.png,65.06269770000108,None,65.05889132000121,None,66.57527880000089,None,2,67.57450160000008,None,68.54135860000133,None,68.54135860000133,None,68.54135860000133,None,68.54135860000133,None,68.54135860000133,None,68.54135860000133,None,0.0146484375,-0.1162109375,1,0,0,second_middle,0.9996969700005138,None,,,,,,,,,111111,2023-07-18_16h36.54.415,exp,2021.1.4,60.013166889299434,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5307001000001,None,None,None,space,46.21896369999922,None,None,111111,2023-07-18_16h36.54.415,exp,2021.1.4,60.013166889299434,
,,,,,,,,,,,,,,72.03994700000112,None,LMR,images/OBJ_106.png,images/OBJ_209.png,images/OBJ_15.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
