EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,22.888243900000816,None,22.892747699996107,RML,images/OBJ_204.png,images/OBJ_51.png,images/OBJ_191.png,25.25334009999642,26.758134700008668,27.241291900005308,28.741381300002104,29.240755699996953,None,25.25921190000372,None,27.241346399998292,None,29.240749899996445,None,30.740812000003643,None,same,None,1,32.3698996000021,33.872691399999894,34.372548400002415,35.87212850000651,36.37201829999685,None,32.37382560000697,None,34.37259709999489,None,36.37199780000083,None,37.871586399996886,None,1,['leftCL'],38.87181860000419,None,38.87181860000419,None,38.87181860000419,None,38.87181860000419,None,38.87181860000419,None,-0.1455078125,-0.220703125,1,0,0,1.6460338999895612,leftCL,0.01316190000216011,None,40.520875400005025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1001,2023-06-29_15h28.01.253,exp,2021.1.4,59.88486535609963,
1,0,1,0,,,,,,,41.028969599996344,LMR,images/OBJ_155.png,images/OBJ_198.png,images/OBJ_142.png,43.32106689999637,44.81994480000867,45.31978530000197,46.81896740000229,47.318823000008706,None,43.32050940000045,None,45.319956399995135,None,47.31888180000533,None,48.818404999998165,None,same,None,2,50.35887759999605,51.8675293999986,52.35072090000904,53.850287900000694,54.35011310000846,None,50.368032900005346,None,52.351215200003935,None,54.350150700003724,None,55.84968739999749,None,1,['leftCL'],56.84939350000059,None,56.84939350000059,None,56.84939350000059,None,56.84939350000059,None,56.84939350000059,None,-0.1416015625,-0.2216796875,1,0,0,0.4332680999941658,leftCL,0.016421000007539988,None,57.28265029999602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1001,2023-06-29_15h28.01.253,exp,2021.1.4,59.88486535609963,
2,0,2,0,,,,,,,57.78862340000342,MRL,images/OBJ_172.png,images/OBJ_112.png,images/OBJ_41.png,60.09151600000041,61.59801660000812,62.081208999996306,63.581232500000624,64.0811093999946,None,60.09902980001061,None,62.08127160000731,None,64.08117350000248,None,65.58018269999593,None,same,None,3,67.12535719999869,68.62934490000771,69.1130320999946,70.61209999999846,71.11232840000594,None,67.13026390000596,None,69.11292790000152,None,71.1119466000091,None,72.61152360000415,None,1,['leftCL'],73.61123180000868,None,73.61123180000868,None,73.61123180000868,None,73.61123180000868,None,73.61123180000868,None,-0.1591796875,-0.22265625,1,0,0,0.3498932000075001,leftCL,0.016390100005082786,None,73.96117150000646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1001,2023-06-29_15h28.01.253,exp,2021.1.4,59.88486535609963,
3,0,3,0,,,,,,,74.47069869999541,MLR,images/OBJ_208.png,images/OBJ_102.png,images/OBJ_104.png,76.74686739999743,78.25985280000896,78.74355780000042,80.24303769999824,80.74298219999764,None,76.74414390001039,None,78.74309099999664,None,80.74303169999621,None,82.24203140000463,None,same,None,4,83.78315220000513,85.29113680000592,85.77433820000442,87.27443610000773,87.77379190000647,None,83.79168049999862,None,85.77435750000586,None,87.77427829999942,None,89.27333740000904,None,1,['leftCL'],90.27307730000757,None,90.27307730000757,None,90.27307730000757,None,90.27307730000757,None,90.27307730000757,None,-0.1337890625,-0.23828125,1,0,0,1.2663069999980507,leftCL,0.01641149999340996,None,91.53939289999835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1001,2023-06-29_15h28.01.253,exp,2021.1.4,59.88486535609963,
4,0,4,0,,,,,,,92.04144359999918,RML,images/OBJ_58.png,images/OBJ_119.png,images/OBJ_181.png,94.31563349999487,95.82187460000569,96.30513480000081,97.80468400000245,98.30454810000083,None,94.32239380000101,None,96.30517619999591,None,98.30410850000044,None,99.80361440000706,None,same,None,5,101.33555630000774,102.83656060000067,103.33641750000243,104.83598659999552,105.33577900000091,None,101.33703789999709,None,103.33644470000581,None,105.33587320000515,None,106.83495030000631,None,1,['leftCL'],107.83465770000475,None,107.83465770000475,None,107.83465770000475,None,107.83465770000475,None,107.83465770000475,None,-0.1337890625,-0.23828125,1,0,0,0.29944390000309795,leftCL,0.016412200013292022,None,108.13459030000377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1001,2023-06-29_15h28.01.253,exp,2021.1.4,59.88486535609963,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.99985360000574,None,old,images/OBJ_181.png,108.91384690000268,None,108.91822570000659,None,110.41720759999589,None,1,111.416933600005,None,112.3833425000048,None,112.3833425000048,None,112.3833425000048,None,112.3833425000048,None,112.3833425000048,None,112.3833425000048,None,-0.0498046875,-0.2607421875,1,0,0,third_right,1.0157702999858884,None,BS1001,2023-06-29_15h28.01.253,exp,2021.1.4,59.88486535609963,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.79845679999562,None,old,images/OBJ_104.png,113.74314479999884,None,113.75054090000049,None,115.24914780000108,None,2,116.24935080000432,None,117.21525180000754,None,117.21525180000754,None,117.21525180000754,None,117.21525180000754,None,117.21525180000754,None,117.21525180000754,None,-0.04296875,-0.2412109375,1,0,0,third_right,0.9992123999836622,None,BS1001,2023-06-29_15h28.01.253,exp,2021.1.4,59.88486535609963,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.43045680000796,None,old,images/OBJ_119.png,118.56088550000277,None,118.56590830000641,None,120.06448810000438,None,3,121.06418000000122,None,122.03100909999921,None,122.03100909999921,None,122.03100909999921,None,122.03100909999921,None,122.03100909999921,None,122.03100909999921,None,-0.0048828125,-0.1494140625,1,0,0,second_middle,0.9991985999949975,None,BS1001,2023-06-29_15h28.01.253,exp,2021.1.4,59.88486535609963,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.49563180000405,None,old,images/OBJ_41.png,123.18005910000647,None,123.18113880000601,None,124.6798434999946,None,4,125.67949969999609,None,126.6463897000067,None,126.6463897000067,None,126.6463897000067,None,126.6463897000067,None,126.6463897000067,None,126.6463897000067,None,-0.0205078125,0.056640625,1,0,0,first_left,0.9997904000047129,None,BS1001,2023-06-29_15h28.01.253,exp,2021.1.4,59.88486535609963,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.06148279999616,None,old,images/OBJ_142.png,128.24426429999585,None,128.24637670000084,None,129.74500249999983,None,5,130.74462369999674,None,131.72820579999825,None,131.72820579999825,None,131.72820579999825,None,131.72820579999825,None,131.72820579999825,None,131.72820579999825,None,0.0107421875,-0.15234375,1,0,0,second_middle,0.9992348000087077,None,BS1001,2023-06-29_15h28.01.253,exp,2021.1.4,59.88486535609963,
