EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,67.46034590003546,None,RML,images/OBJ_29.png,images/OBJ_50.png,images/OBJ_158.png,69.04458540002815,70.54603690002114,71.04538770002546,72.54543550004018,73.04482820001431,None,69.0458391000866,None,71.04584110004362,None,73.04529960005311,None,74.54486410005484,None,same,None,1,76.1697294000187,77.67678790003993,78.15997330000391,79.65957080002408,80.15939600003185,None,76.17735830007587,None,78.16043970000464,None,80.15983800002141,None,81.65946420002729,None,1,['leftCL'],82.658743100008,None,82.658743100008,None,82.658743100008,None,82.658743100008,None,82.658743100008,None,-0.2041015625,-0.29296875,1,0,0,1.0126852999674156,leftCL,0.013065999955870211,None,83.6750276000239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010101,2022-10-25_11h11.54.136,exp,2021.1.4,60.03200906636442,
1,0,1,0,,,,,,,,,,,LRM,images/OBJ_186.png,images/OBJ_41.png,images/OBJ_67.png,84.44553050003015,85.95772220002254,86.44142730004387,87.94046610000078,88.44081460003508,None,84.44151300011436,None,86.44087280001258,None,88.440778600052,None,89.94037030002801,None,same,None,2,91.4769043000415,92.98899700003676,93.47220050002215,94.97177180001745,95.47210460004862,None,91.47305130003951,None,93.47266720002517,None,95.47208510001656,None,96.97118250001222,None,1,['leftCL'],97.97140730003593,None,97.97140730003593,None,97.97140730003593,None,97.97140730003593,None,97.97140730003593,None,-0.1689453125,-0.298828125,1,0,0,0.5003989999531768,leftCL,0.016410599986556917,None,98.47121010004776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010101,2022-10-25_11h11.54.136,exp,2021.1.4,60.03200906636442,
2,0,2,0,,,,,,,,,,,RML,images/OBJ_97.png,images/OBJ_64.png,images/OBJ_178.png,99.25489560002461,100.77007440000307,101.25330270000268,102.75335040001664,103.25275320000947,None,99.2538623000728,None,101.25368310004706,None,103.25315490004141,None,104.75227970001288,None,diff,RLM,3,106.28825920005329,107.8013647000189,108.28456720005488,109.78414410003461,110.28400810004678,None,106.28541820001556,None,108.28454750002129,None,110.28399160003755,None,111.78356970002642,None,1,['rightCL'],112.78324240003712,None,112.78324240003712,None,112.78324240003712,None,112.78324240003712,None,112.78324240003712,None,0.1474609375,-0.341796875,1,0,0,0.48329470003955066,rightCL,0.01638799998909235,None,113.26645720005035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010101,2022-10-25_11h11.54.136,exp,2021.1.4,60.03200906636442,
3,0,3,0,,,,,,,,,,,RLM,images/OBJ_114.png,images/OBJ_195.png,images/OBJ_92.png,114.05875240004389,115.56574990000809,116.04896280000685,117.54901420004899,118.04887360002613,None,114.06622020009672,None,116.04945220000809,None,118.04885870002909,None,119.548457900004,None,same,RLM,4,121.09178720001364,122.59705630003009,123.0807565000141,124.58031810005195,125.08016090001911,None,121.09774730005302,None,123.08027370000491,None,125.08013950003078,None,126.5792629000498,None,1,['leftCL'],127.57945070002461,None,127.57945070002461,None,127.57945070002461,None,127.57945070002461,None,127.57945070002461,None,-0.2080078125,-0.2822265625,1,0,0,1.2326498000184074,leftCL,0.016414000070653856,None,128.8119476000429,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010101,2022-10-25_11h11.54.136,exp,2021.1.4,60.03200906636442,
4,0,4,0,,,,,,,,,,,MRL,images/OBJ_84.png,images/OBJ_179.png,images/OBJ_115.png,129.60353910003323,131.11176130000968,131.59494540002197,133.0945179000264,133.59434020001208,None,129.61121700011427,None,131.59492520004278,None,133.59386140003335,None,135.0938289000187,None,same,RLM,5,136.63167530001374,138.14257510000607,138.6257612000336,140.125814500032,140.62517200002912,None,136.6431217000354,None,138.6257076000329,None,140.6251229000045,None,142.12475540000014,None,1,['leftCL'],143.12444470002083,None,143.12444470002083,None,143.12444470002083,None,143.12444470002083,None,143.12444470002083,None,-0.181640625,-0.2919921875,1,0,0,0.8832755999756046,leftCL,0.016412400000263005,None,144.00755570002366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010101,2022-10-25_11h11.54.136,exp,2021.1.4,60.03200906636442,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.17298580001807,None,old,images/OBJ_195.png,144.76466970000183,None,144.77400450006826,None,146.27357530000154,None,1,147.273298300046,None,147.273298300046,None,147.273298300046,None,147.273298300046,None,147.273298300046,None,147.273298300046,None,147.273298300046,None,-0.025390625,-0.068359375,1,0,0,second_middle,0.016332300030626357,None,,,,,,,,,0010101,2022-10-25_11h11.54.136,exp,2021.1.4,60.03200906636442,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.80530410003848,None,old,images/OBJ_50.png,148.90652210003464,None,148.90572150005028,None,150.40615310001886,None,2,151.40545920003206,None,151.40545920003206,None,151.40545920003206,None,151.40545920003206,None,151.40545920003206,None,151.40545920003206,None,151.40545920003206,None,0.0302734375,-0.328125,1,0,0,third_right,0.01639090001117438,None,,,,,,,,,0010101,2022-10-25_11h11.54.136,exp,2021.1.4,60.03200906636442,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.30420610005967,None,old,images/OBJ_179.png,152.52755580004305,None,152.53847100009443,None,154.0379901000415,None,3,155.03760760003934,None,155.03760760003934,None,155.03760760003934,None,155.03760760003934,None,155.03760760003934,None,155.03760760003934,None,155.03760760003934,None,0.0341796875,-0.3125,1,0,0,third_right,0.016417100036051124,None,,,,,,,,,0010101,2022-10-25_11h11.54.136,exp,2021.1.4,60.03200906636442,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.88653140002862,None,old,images/OBJ_114.png,156.05775620002532,None,156.05408020009054,None,157.57083250000142,None,4,158.57045150001068,None,158.57045150001068,None,158.57045150001068,None,158.57045150001068,None,158.57045150001068,None,158.57045150001068,None,158.57045150001068,None,-0.0146484375,-0.0322265625,1,0,0,second_middle,0.016420500061940402,None,,,,,,,,,0010101,2022-10-25_11h11.54.136,exp,2021.1.4,60.03200906636442,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.43548260000534,None,old,images/OBJ_41.png,159.63215260003926,None,159.63588780007558,None,161.1363886000472,None,5,162.13609560002806,None,162.13609560002806,None,162.13609560002806,None,162.13609560002806,None,162.13609560002806,None,162.13609560002806,None,162.13609560002806,None,-0.00390625,-0.0966796875,1,0,0,second_middle,0.016418799990788102,None,,,,,,,,,0010101,2022-10-25_11h11.54.136,exp,2021.1.4,60.03200906636442,
