EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,14.781463899998926,None,15.387302799994359,LMR,images/OBJ_179.png,images/OBJ_99.png,images/OBJ_114.png,17.75441409999621,19.269976399998995,19.753169999996317,21.252781999995932,21.75236589999986,None,17.75352124998608,None,19.75320544999704,None,21.75258584999392,None,23.251717099992675,None,same,None,1,24.881712899994454,26.38460340000165,26.88445139999385,28.383529600003385,28.883395500000915,None,24.884773049991054,None,26.884422449998965,None,28.883344649999344,None,30.38299869999173,None,1,['leftCL'],31.383170100001735,None,31.383170100001735,None,31.383170100001735,None,31.383170100001735,None,31.383170100001735,None,-0.244140625,-0.3095703125,1,0,0,1.8295249000075273,leftCL,0.013030550006078556,None,33.215445749992796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1002,2023-06-29_15h37.17.244,exp,2021.1.4,60.01784930979848,
1,0,1,0,,,,,,,33.72429230000125,LMR,images/OBJ_173.png,images/OBJ_63.png,images/OBJ_208.png,36.00266610000108,37.51475570000184,37.99743469999521,39.49745260000054,39.99730550000095,None,36.014588499980164,None,37.99742174999119,None,39.997319049994985,None,41.496368399995845,None,same,None,2,43.03324259999499,44.54590499999176,45.01206989999628,46.51173499999277,47.02855339999951,None,43.0458396999893,None,45.012038349996146,None,47.02860504999262,None,48.52818639999896,None,1,['leftCL'],49.52792339998996,None,49.52792339998996,None,49.52792339998996,None,49.52792339998996,None,49.52792339998996,None,-0.244140625,-0.3583984375,1,0,0,1.3497157999954652,leftCL,0.016376350016798824,None,50.87751644998934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1002,2023-06-29_15h37.17.244,exp,2021.1.4,60.01784930979848,
2,0,2,0,,,,,,,51.3846077999915,LMR,images/OBJ_19.png,images/OBJ_38.png,images/OBJ_138.png,53.66347909999604,55.176247900002636,55.65896349999821,57.159018499995,57.65887230000226,None,53.65990794997924,None,55.65945494999323,None,57.658856849993754,None,59.158460799997556,None,same,None,3,60.70304130000295,62.20755540000391,62.69023219999508,64.1902834999928,64.69010939999134,None,60.70746959999087,None,62.690254349996394,None,64.68972474999464,None,66.18972509999003,None,1,['leftCL'],67.18933839999954,None,67.18933839999954,None,67.18933839999954,None,67.18933839999954,None,67.18933839999954,None,-0.21875,-0.3759765625,1,0,0,0.7493885000003502,leftCL,0.016347349985153414,None,67.93873794998945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1002,2023-06-29_15h37.17.244,exp,2021.1.4,60.01784930979848,
3,0,3,0,,,,,,,68.43903259999934,LMR,images/OBJ_184.png,images/OBJ_202.png,images/OBJ_44.png,70.73217889999796,72.23748630000046,72.7210783999908,74.2202632999979,74.72012040000118,None,70.73788079997757,None,72.72114395000244,None,74.72057494999171,None,76.22016650000296,None,same,None,4,77.76115099999879,79.26927920000162,79.75241610000376,81.25206600000092,81.75189200000023,None,77.76958399999421,None,79.75238124999305,None,81.75140694999573,None,83.25098519999301,None,1,['leftCL'],84.25068569999712,None,84.25068569999712,None,84.25068569999712,None,84.25068569999712,None,84.25068569999712,None,-0.140625,-0.3046875,1,0,0,0.432779800001299,leftCL,0.016356249994714744,None,84.68393484999979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1002,2023-06-29_15h37.17.244,exp,2021.1.4,60.01784930979848,
4,0,4,0,,,,,,,85.19751549999637,LMR,images/OBJ_8.png,images/OBJ_98.png,images/OBJ_107.png,87.47304230000009,88.98313169999165,89.46632269999827,90.96536410000408,91.46525670000119,None,87.4835700999829,None,89.46632004999992,None,91.4652470499932,None,92.96483040000021,None,same,None,5,94.51532999999472,96.03056259998993,96.51428229999146,98.0138433999964,98.51362009999866,None,94.51429249999637,None,96.51380804999644,None,98.51369734999753,None,100.01326939999126,None,1,['leftCL'],101.01251119999506,None,101.01251119999506,None,101.01251119999506,None,101.01251119999506,None,101.01251119999506,None,-0.1240234375,-0.29296875,1,0,0,0.2666770999931032,leftCL,0.016386450006393716,None,101.27908084999217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1002,2023-06-29_15h37.17.244,exp,2021.1.4,60.01784930979848,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.22818274999008,None,old,images/OBJ_19.png,102.06403080000018,None,102.06215399998473,None,103.57844939999632,None,1,104.57813179999357,None,105.54488770000171,None,105.54488770000171,None,105.54488770000171,None,105.54488770000171,None,105.54488770000171,None,105.54488770000171,None,0.0068359375,0.0439453125,1,0,0,first_left,0.9993499500124017,None,BS1002,2023-06-29_15h37.17.244,exp,2021.1.4,60.01784930979848,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.94349524999416,None,old,images/OBJ_44.png,106.98439939999662,None,106.99403224998241,None,108.49373099999502,None,2,109.49390279999352,None,110.45974520000163,None,110.45974520000163,None,110.45974520000163,None,110.45974520000163,None,110.45974520000163,None,110.45974520000163,None,-0.017578125,-0.1103515625,1,0,0,second_middle,0.999191549999523,None,BS1002,2023-06-29_15h37.17.244,exp,2021.1.4,60.01784930979848,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.55808494998928,None,old,images/OBJ_173.png,111.68892749999941,None,111.69265969998378,None,113.18980039999587,None,3,114.18950110000151,None,115.15846239999519,None,115.15846239999519,None,115.15846239999519,None,115.15846239999519,None,115.15846239999519,None,115.15846239999519,None,0.0029296875,0.04296875,1,0,0,first_left,1.001307350001298,None,BS1002,2023-06-29_15h37.17.244,exp,2021.1.4,60.01784930979848,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.39003894999769,None,old,images/OBJ_179.png,116.29792389999784,None,116.30786919998354,None,117.80745559999195,None,4,118.80713839999225,None,119.77352699999756,None,119.77352699999756,None,119.77352699999756,None,119.77352699999756,None,119.77352699999756,None,119.77352699999756,None,0.0048828125,0.0419921875,1,0,0,first_left,0.9991581500071334,None,BS1002,2023-06-29_15h37.17.244,exp,2021.1.4,60.01784930979848,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.40526244999637,None,old,images/OBJ_99.png,121.13908860000083,None,121.13997169998765,None,122.63934139999037,None,5,123.63909299999068,None,124.60573060000024,None,124.60573060000024,None,124.60573060000024,None,124.60573060000024,None,124.60573060000024,None,124.60573060000024,None,-0.033203125,-0.12109375,1,0,0,second_middle,0.9994081500044558,None,BS1002,2023-06-29_15h37.17.244,exp,2021.1.4,60.01784930979848,
