EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,slider.response,slider.rt,slider.started,slider.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,142.8755574999377,None,RML,images/OBJ_31.png,images/OBJ_101.png,images/OBJ_40.png,146.59095939993858,148.0941162998788,148.5939776999876,150.09358149999753,150.59345079981722,None,146.59386749984697,None,148.5939898699522,None,150.59339146981947,None,152.09296989999712,None,same,None,1,153.72649239981547,155.24161189980805,155.72480779979378,157.22436919994652,157.72422219999135,None,153.72545022992418,None,155.724810669804,None,157.72419186998158,None,159.223776999861,None,1,['leftCL'],160.22349579981528,None,160.22349579981528,None,160.22349579981528,None,160.22349579981528,None,160.22349579981528,None,-0.1484375,-0.33007812,1,0,0,3.0963716998230666,leftCL,0.01361937029287219,None,163.3225222699344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h36.16.894,exp,2021.1.4,60.02775682248813,
1,0,1,0,,,,,,,LMR,images/OBJ_49.png,images/OBJ_105.png,images/OBJ_80.png,163.8732628999278,165.38862829981372,165.87187629984692,167.37136889994144,167.8712328998372,None,163.87234677989036,None,165.87181626996025,None,167.8712163699325,None,169.37082419986837,None,diff,RML,2,170.90986769995652,172.41994039993733,172.90311569999903,174.40268359985203,174.9025242999196,None,170.9201222798787,None,172.9030839699786,None,174.90248856986872,None,176.40206999983639,None,0,['leftCL'],177.40177599992603,None,177.40177599992603,None,177.40177599992603,None,177.40177599992603,None,177.40177599992603,None,-0.22363281,-0.28125,1,0,0,1.1664332000073045,leftCL,0.016415169928222895,None,178.56812206995673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h36.16.894,exp,2021.1.4,60.02775682248813,
2,0,2,0,,,,,,,LMR,images/OBJ_81.png,images/OBJ_72.png,images/OBJ_189.png,179.12497259979136,180.63420689990744,181.11737099988386,182.6169698999729,183.1168171998579,None,179.13454404985532,None,181.117367369961,None,183.11679317001253,None,184.61639149999246,None,diff,RML,3,186.15778219979256,187.66551149985753,188.14867919986136,189.64824769995175,190.14811629988253,None,186.16573608000763,None,188.14864326980896,None,190.14808887001126,None,191.64767219987698,None,0,['leftCL'],192.64738659979776,None,192.64738659979776,None,192.64738659979776,None,192.64738659979776,None,192.64738659979776,None,-0.21875,-0.28808594,1,0,0,0.5997802999336272,leftCL,0.016411070013418794,None,193.24719886984676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h36.16.894,exp,2021.1.4,60.02775682248813,
3,0,3,0,,,,,,,LMR,images/OBJ_106.png,images/OBJ_196.png,images/OBJ_83.png,193.809081699932,195.31333649996668,195.79649749980308,197.29606119985692,197.79587739985436,None,193.81357324984856,None,195.7964542698115,None,197.79586046994663,None,199.29550689994358,None,diff,RML,4,200.84647349989973,202.3612628998235,202.8444124998059,204.34400079981424,204.84387659979984,None,200.8447462798562,None,202.84441566993482,None,204.84382026982493,None,206.3434171997942,None,1,['rightCL'],207.34311299980618,None,207.34311299980618,None,207.34311299980618,None,207.34311299980618,None,207.34311299980618,None,0.21875,-0.34277344,1,0,0,1.149750400101766,rightCL,0.01641986984759569,None,208.4927739697974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h36.16.894,exp,2021.1.4,60.02775682248813,
4,0,4,0,,,,,,,LRM,images/OBJ_202.png,images/OBJ_174.png,images/OBJ_78.png,209.04574629990384,210.55886240000837,211.04209779994562,212.54159439983778,213.04151759995148,None,209.04257057989017,None,211.04201707001775,None,213.04152526999823,None,214.54106439999305,None,same,RML,5,216.08189789997414,217.5901763997972,218.0733713998925,219.57291699992493,220.07278389995918,None,216.09034958002158,None,218.07334906994365,None,220.0727351698093,None,221.572319699917,None,1,['leftCL'],222.57203289982863,None,222.57203289982863,None,222.57203289982863,None,222.57203289982863,None,222.57203289982863,None,-0.21484375,-0.3154297,1,0,0,0.5332286998163909,leftCL,0.016410070238634944,None,223.10518566998653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h36.16.894,exp,2021.1.4,60.02775682248813,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.98568706996738,None,old,images/OBJ_202.png,223.63742929999717,None,223.63832740993237,None,225.13798529980704,None,1,226.13765069982037,None,226.13765069982037,None,226.13765069982037,None,226.13765069982037,None,226.13765069982037,None,226.13765069982037,None,226.13765069982037,None,0.0048828125,0.0703125,1,0,0,first_left,0.012894670013338327,None,None,None,226.13765069982037,None,,2022-03-03_14h36.16.894,exp,2021.1.4,60.02775682248813,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.8845467699226,None,old,images/OBJ_174.png,233.49558210000396,None,233.5021642398089,None,235.00180059997365,None,2,236.00148079986684,None,236.00148079986684,None,236.00148079986684,None,236.00148079986684,None,236.00148079986684,None,236.00148079986684,None,236.00148079986684,None,0.0126953125,-0.09277344,1,0,0,second_middle,0.012949870200827718,None,None,None,236.00148079986684,None,,2022-03-03_14h36.16.894,exp,2021.1.4,60.02775682248813,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.9000426699873,None,old,images/OBJ_78.png,237.39079219987616,None,237.40102373999542,None,238.90061129978858,None,3,239.90034509985708,None,239.90034509985708,None,239.90034509985708,None,239.90034509985708,None,239.90034509985708,None,239.90034509985708,None,239.90034509985708,None,0.0234375,-0.30371094,1,0,0,third_right,0.012934870086610317,None,None,None,239.90034509985708,None,,2022-03-03_14h36.16.894,exp,2021.1.4,60.02775682248813,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.44903766983188,None,old,images/OBJ_101.png,241.41055949986912,None,241.41653793985023,None,242.91617169999518,None,4,243.9158145999536,None,243.9158145999536,None,243.9158145999536,None,243.9158145999536,None,243.9158145999536,None,243.9158145999536,None,243.9158145999536,None,-0.016601562,-0.0546875,1,0,0,second_middle,0.012880870141088963,None,None,None,243.9158145999536,None,,2022-03-03_14h36.16.894,exp,2021.1.4,60.02775682248813,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.09796896986663,None,old,images/OBJ_31.png,244.95393159985542,None,244.96551603991537,None,246.46513419994153,None,5,247.4648193998728,None,247.4648193998728,None,247.4648193998728,None,247.4648193998728,None,247.4648193998728,None,247.4648193998728,None,247.4648193998728,None,-0.0146484375,0.09765625,1,0,0,first_left,0.012937170220538974,None,None,None,247.4648193998728,None,,2022-03-03_14h36.16.894,exp,2021.1.4,60.02775682248813,
