EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,49.568759999994654,None,68.94797979999566,None,RML,images/OBJ_52.png,images/OBJ_193.png,images/OBJ_203.png,70.58143129997188,72.08508039999288,72.58492860000115,74.08449049998308,74.58434279996436,None,70.58641718994477,None,72.58502281000256,None,74.58439550999901,None,76.08393769996474,None,same,None,77.71368529996835,79.21636520000175,79.71623479999835,81.21630739996908,81.71560160000809,None,77.71758818996022,None,79.71626310996362,None,81.7161752099928,None,83.21522989997175,None,0,['leftCL'],84.21495910000522,None,84.21495910000522,None,84.21495910000522,None,84.21495910000522,None,84.21495910000522,None,-0.1689453125,-0.220703125,1,0,0,0.34654380002757534,leftCL,0.013052809983491898,None,84.56488190995879,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
1,0,1,0,,,,,,,85.20809819997521,None,LMR,images/OBJ_204.png,images/OBJ_179.png,images/OBJ_81.png,86.75272469996708,88.26372960000299,88.74746069998946,90.24698379996698,90.74635649996344,None,86.76486603997182,None,88.74745021000854,None,90.74643420995562,None,92.24642869998934,None,diff,MLR,93.781849699968,95.29550359997666,95.77870540000731,97.27776879997691,97.77767819998553,None,93.77934162996826,None,95.77873510998324,None,97.77770561000216,None,99.27725069998996,None,0,['leftCL'],100.2770034999703,None,100.2770034999703,None,100.2770034999703,None,100.2770034999703,None,100.2770034999703,None,-0.1572265625,-0.240234375,1,0,0,0.2331910000066273,leftCL,0.016364709998015314,None,100.51021720995777,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
2,0,2,0,,,,,,,101.16026099998271,None,MLR,images/OBJ_63.png,images/OBJ_14.png,images/OBJ_92.png,102.70518329995684,104.20911950001027,104.69278639997356,106.19208499998786,106.6916809999966,None,102.71017823996954,None,104.69231540997862,None,106.69216611000593,None,108.19128339999588,None,same,MLR,109.73525639995933,111.2403890999849,111.72356379998382,113.22315360000357,113.72300120000727,None,109.74142923997715,None,111.72400230998755,None,113.72305120996316,None,115.22258449997753,None,0,['leftCL'],116.22276939998847,None,116.22276939998847,None,116.22276939998847,None,116.22276939998847,None,116.22276939998847,None,-0.171875,-0.2646484375,1,0,0,0.38330490002408624,leftCL,0.01638451003236696,None,116.60559590996127,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
3,0,3,0,,,,,,,117.24836609995691,None,RML,images/OBJ_25.png,images/OBJ_75.png,images/OBJ_171.png,118.84581410000101,120.35441639996134,120.83762589999242,122.33765589998802,122.8374023999786,None,118.85554116996354,None,120.83767840996734,None,122.83743470997433,None,124.3365887000109,None,same,MLR,125.92465919995448,127.4357028999948,127.91887140000472,129.4184905999573,129.91831149999052,None,125.93682526997873,None,127.91945940998266,None,129.91832620996865,None,131.4178592999815,None,0,['leftCL'],132.41761439997936,None,132.41761439997936,None,132.41761439997936,None,132.41761439997936,None,132.41761439997936,None,-0.1865234375,-0.2880859375,1,0,0,0.41656540002441034,leftCL,0.01638321002246812,None,132.83418480996625,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
4,0,4,0,,,,,,,133.48153150000144,None,MLR,images/OBJ_181.png,images/OBJ_105.png,images/OBJ_178.png,135.0497514999588,136.55014750000555,137.0500526999822,138.54912989999866,139.0489900999819,None,135.05085024997243,None,137.05009250997682,None,139.0490385099838,None,140.54857029998675,None,diff,RML,142.1121492999955,143.61429319996387,144.11420209996868,145.6142472999636,146.1140788999619,None,142.11490564999986,None,144.1145682100032,None,146.1141105099523,None,147.61318389995722,None,1,['rightCL'],148.61335379997035,None,148.61335379997035,None,148.61335379997035,None,148.61335379997035,None,148.61335379997035,None,0.1376953125,-0.3525390625,1,0,0,0.31653409998398274,rightCL,0.016400510037783533,None,148.92998861000524,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
5,0,5,0,,,,,,,149.57257540000137,None,LMR,images/OBJ_147.png,images/OBJ_94.png,images/OBJ_135.png,151.15962439996656,152.66167249996215,153.16154800000368,154.66108369996073,155.16096099995775,None,151.1624069599784,None,153.16164181000204,None,155.16148290995625,None,156.66053609998198,None,same,RML,158.24171679996653,159.74345720000565,160.24329269997543,161.74289989995304,162.2422435999615,None,158.2435748599819,None,160.2433896099974,None,162.24227360999794,None,163.74183759995503,None,0,['leftCL'],164.7419952999917,None,164.7419952999917,None,164.7419952999917,None,164.7419952999917,None,164.7419952999917,None,-0.1845703125,-0.2890625,1,0,0,0.7002948999870569,leftCL,0.01640100998338312,None,165.44183691000217,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
6,0,6,0,,,,,,,166.09220579999965,None,RML,images/OBJ_149.png,images/OBJ_87.png,images/OBJ_42.png,167.66769659996498,169.17358199995942,169.6567596999812,171.15631379996194,171.65655700000934,None,167.6747375599807,None,169.6571685099916,None,171.65621670996188,None,173.15623699995922,None,diff,MLR,174.72994289995404,176.23865009995643,176.72135369997704,178.2209328999743,178.72079870000016,None,174.7392667599488,None,176.72143340998446,None,178.7208693099965,None,180.2203693999909,None,1,['rightCL'],181.22008299996378,None,181.22008299996378,None,181.22008299996378,None,181.22008299996378,None,181.22008299996378,None,0.130859375,-0.2958984375,1,0,0,0.23631559999193996,rightCL,0.016386609931942075,None,181.45344730999204,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
7,0,7,0,,,,,,,182.10480929998448,None,LMR,images/OBJ_141.png,images/OBJ_31.png,images/OBJ_120.png,183.6998955999734,185.20272259996273,185.702625099977,187.2021473000059,187.7015056000091,None,183.70294155995362,None,185.70264930996927,None,187.70153630999266,None,189.20159889996285,None,same,MLR,190.7765944999992,192.28352930000983,192.76669439999387,194.26675619999878,194.76661250001052,None,190.78463035996538,None,192.7670902099635,None,194.76665150999906,None,196.2657033999567,None,0,['leftCL'],197.26580669998657,None,197.26580669998657,None,197.26580669998657,None,197.26580669998657,None,197.26580669998657,None,-0.1630859375,-0.3544921875,1,0,0,0.28288439998868853,leftCL,0.016402810055296868,None,197.54875190995517,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
8,0,8,0,,,,,,,198.20243509998545,None,MLR,images/OBJ_99.png,images/OBJ_19.png,images/OBJ_73.png,199.79087839997374,201.29759799997555,201.7812315999763,203.28083020000486,203.7806683999952,None,199.79827075998764,None,201.7807918099861,None,203.78077121000388,None,205.27970809995895,None,same,MLR,206.85785569995642,208.36218289996032,208.84541660000104,210.3454055999755,210.8448381999624,None,206.8627917599515,None,208.8454460099747,None,210.8448791099654,None,212.34436659998028,None,0,['leftCL'],213.34406569995917,None,213.34406569995917,None,213.34406569995917,None,213.34406569995917,None,213.34406569995917,None,-0.1337890625,-0.3369140625,1,0,0,0.2496386999846436,leftCL,0.01640861004125327,None,213.59405570998206,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
9,0,9,0,,,,,,,214.24277620000066,None,LMR,images/OBJ_29.png,images/OBJ_72.png,images/OBJ_38.png,215.81879230000777,217.32663309999043,217.80977659998462,219.30904039996676,219.8089137999923,None,215.82740875997115,None,217.80987351000658,None,219.8089700099954,None,221.30848050001077,None,same,MLR,222.88449609995587,224.39085219998378,224.8740418999805,226.37362309999298,226.87379669997608,None,222.89150385995163,None,224.8745672100049,None,226.87398631000542,None,228.37308039999334,None,0,['leftCL'],229.37277819996234,None,229.37277819996234,None,229.37277819996234,None,229.37277819996234,None,229.37277819996234,None,-0.1337890625,-0.3369140625,1,0,0,0.21954099996946752,leftCL,0.016405710019171238,None,229.58939340998768,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
