EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,9.37691430002451,None,9.890572499949485,None,LRM,images/OBJ_80.png,images/OBJ_125.png,images/OBJ_168.png,11.761920199962333,13.261104100034572,13.760946800000966,15.260522600030527,15.760412300005555,None,11.7620901698363,None,13.761001690023113,None,15.760419890016783,None,17.25993960001506,None,same,None,18.898844999959692,20.409534299978986,20.89273189997766,22.391785299987532,22.89215279999189,None,18.909704999881797,None,20.89223669000203,None,22.891629190032837,None,24.391246899962425,None,1,['leftCL'],25.390933400020003,None,25.390933400020003,None,25.390933400020003,None,25.390933400020003,None,25.390933400020003,None,-0.1806640625,-0.2294921875,1,0,0,1.5797740999842063,leftCL,0.013208590098656714,None,26.973792389931624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gfhdgh,2023-09-20_13h17.52.859,exp,2021.1.4,60.01478765846649,
1,0,1,0,,,,,,,,,,,,,,,27.699178399983793,None,RML,images/OBJ_152.png,images/OBJ_95.png,images/OBJ_115.png,29.47810930002015,30.98930609994568,31.47252509999089,32.972037700004876,33.471899900003336,None,29.49063971983269,None,31.47247658992419,None,33.472428390022834,None,34.97195699997246,None,same,None,36.5178626999259,38.02060629997868,38.520409899996594,40.01999890001025,40.519865899928845,None,36.52150425999425,None,38.520464990020265,None,40.51987128992332,None,42.01986779994331,None,1,['leftCL'],43.01914480002597,None,43.01914480002597,None,43.01914480002597,None,43.01914480002597,None,43.01914480002597,None,-0.181640625,-0.2294921875,1,0,0,6.981380200013518,leftCL,0.01639579003676772,None,50.00098759002285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gfhdgh,2023-09-20_13h17.52.859,exp,2021.1.4,60.01478765846649,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.549202589981725,None,2,old,50.78193429997191,None,50.78394581989851,None,52.283591700019315,None,1,53.28328790003434,None,54.24919709993992,None,54.24919709993992,None,54.24919709993992,None,54.24919709993992,None,54.24919709993992,None,54.24919709993992,None,-0.03515625,-0.0810546875,1,0,0,second_middle,0.9991098900791258,None,,,,,,,,,,,,gfhdgh,2023-09-20_13h17.52.859,exp,2021.1.4,60.01478765846649,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.29574568996904,None,,old,55.28798090002965,None,55.29928033987526,None,56.79894569993485,None,2,57.79865230002906,None,58.78167970001232,None,58.78167970001232,None,58.78167970001232,None,58.78167970001232,None,58.78167970001232,None,58.78167970001232,None,-0.056640625,-0.0322265625,1,0,0,second_middle,1.015947990003042,None,,,,,,,,,,,,gfhdgh,2023-09-20_13h17.52.859,exp,2021.1.4,60.01478765846649,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,images/OBJ_168.png,66.79751469998155,None,None,None,space,58.956059999996796,None,None,,gfhdgh,2023-09-20_13h17.52.859,exp,2021.1.4,60.01478765846649,
,,,,,,,,0,0,0,0,,,,,,,68.32409090001602,None,,images/OBJ_166.png,images/OBJ_92.png,images/OBJ_133.png,69.87910669995472,71.39420849992894,71.87741710001137,73.37745199992787,73.87731799995527,None,69.87812515997793,None,71.87739968994865,None,73.8768101900001,None,75.37688669993076,None,same,None,76.92537239997182,78.42549970000982,78.9253426999785,80.42492200003471,80.9252805999713,None,76.92597415994386,None,78.9253694900195,None,80.9252848899574,None,82.42435879993718,None,1,['leftCL'],83.42418069997802,None,83.42418069997802,None,83.42418069997802,None,83.42418069997802,None,83.42418069997802,None,-0.2060546875,-0.23046875,1,0,0,0.7662035000976175,leftCL,0.016213490045629442,None,84.19102208999684,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMR,gfhdgh,2023-09-20_13h17.52.859,exp,2021.1.4,60.01478765846649,
,,,,,,,,1,0,1,0,,,,,,,84.93999959994107,None,,images/OBJ_205.png,images/OBJ_183.png,images/OBJ_28.png,86.48684879997745,87.98938959999941,88.4892335999757,89.988817299949,90.48863459995482,None,86.4903953599045,None,88.48928148994455,None,90.48869549002265,None,91.98820849996991,None,diff,RML,93.53288169996813,95.0373350000009,95.520544399973,97.02009290002752,97.51995450002141,None,93.53826196000445,None,95.52057888995623,None,97.51995668999152,None,99.01952319999691,None,0,['leftCL'],100.0192384000402,None,100.0192384000402,None,100.0192384000402,None,100.0192384000402,None,100.0192384000402,None,-0.2001953125,-0.2294921875,1,0,0,0.41612219996750355,leftCL,0.016390389995649457,None,100.43583578997058,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRM,gfhdgh,2023-09-20_13h17.52.859,exp,2021.1.4,60.01478765846649,
,,,,,,,,2,0,2,0,,,,,,,101.16295439994428,None,,images/OBJ_158.png,images/OBJ_82.png,images/OBJ_84.png,102.72131870000158,104.23516899999231,104.71783460001461,106.21741629997268,106.71726689999923,None,102.71854145997203,None,104.7178913899348,None,106.71727719003101,None,108.21681040001567,None,same,RML,109.76528809999581,111.26597820001189,111.76626479998231,113.26538430002984,113.76523130002897,None,109.7663686600048,None,111.76584879002766,None,113.76524899000069,None,115.26478029997088,None,1,['leftCL'],116.26498039998114,None,116.26498039998114,None,116.26498039998114,None,116.26498039998114,None,116.26498039998114,None,-0.2158203125,-0.333984375,1,0,0,4.8986889000516385,leftCL,0.01639579003676772,None,121.16313488999148,None,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RML,gfhdgh,2023-09-20_13h17.52.859,exp,2021.1.4,60.01478765846649,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,old,121.69379519997165,None,121.696349669958,None,123.19583780004177,None,3,124.1955601000227,None,125.16193539998494,None,125.16193539998494,None,125.16193539998494,None,125.16193539998494,None,125.16193539998494,None,125.16193539998494,None,-0.0283203125,-0.1142578125,1,0,0,second_middle,0.9991101900814101,None,,images/OBJ_125.png,,,,,,,,,,,,,,,
