EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,52.89900570001919,None,55.141617299988866,None,RML,images/OBJ_92.png,images/OBJ_59.png,images/OBJ_205.png,56.784132300061174,58.29307370004244,58.776742100017145,60.27585159998853,60.775617900071666,None,56.79354330012575,None,58.77673258997966,None,60.776172990025955,None,62.27578140003607,None,diff,MLR,63.914050100021996,65.42481940006837,65.90756399999373,67.40712670003995,67.90744930005167,None,63.92518680007197,None,65.90758878998459,None,67.90695079001598,None,69.40651970007457,None,0,['leftCL'],70.40657120000105,None,70.40657120000105,None,70.40657120000105,None,70.40657120000105,None,70.40657120000105,None,-0.2421875,-0.3125,1,0,0,0.946521700010635,leftCL,0.01297039003111422,None,71.35591268998105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1001,2023-09-21_13h25.58.634,exp,2021.1.4,59.993724678456964,
1,0,1,0,,,,,,,,,,,,,,,72.10467340005562,None,LMR,images/OBJ_183.png,images/OBJ_125.png,images/OBJ_5.png,73.65065109997522,75.15486530005,75.63804340001661,77.13759210007265,77.63744520000182,None,73.65581775999162,None,75.63801978998818,None,77.63797518999782,None,79.13706600002479,None,same,MLR,80.6789390000049,82.18612580001354,82.66931420005858,84.16893050004728,84.66873699997086,None,80.68694916001986,None,82.66932928997558,None,84.66869579004124,None,86.16830989997834,None,1,['leftCL'],87.16804590006359,None,87.16804590006359,None,87.16804590006359,None,87.16804590006359,None,87.16804590006359,None,-0.2158203125,-0.3173828125,1,0,0,1.6158460999140516,leftCL,0.016369689954444766,None,88.78420679008123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1001,2023-09-21_13h25.58.634,exp,2021.1.4,59.993724678456964,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.73142449003645,None,2,old,89.58828899997752,None,89.58394981008023,None,91.10021060006693,None,1,92.09998080006335,None,93.08294970006682,None,93.08294970006682,None,93.08294970006682,None,93.08294970006682,None,93.08294970006682,None,93.08294970006682,None,-0.05078125,0.12109375,1,0,0,first_left,1.0156495899427682,None,,,,,,,,,,,,BS_1001,2023-09-21_13h25.58.634,exp,2021.1.4,59.993724678456964,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.57851648998913,None,,old,99.50266070000362,None,99.49770383010619,None,101.01403309998568,None,2,102.01371019997168,None,102.98059619998094,None,102.98059619998094,None,102.98059619998094,None,102.98059619998094,None,102.98059619998094,None,102.98059619998094,None,0.037109375,-0.134765625,1,0,0,second_middle,0.9997127898968756,None,,,,,,,,,,,,BS_1001,2023-09-21_13h25.58.634,exp,2021.1.4,59.993724678456964,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,images/OBJ_125.png,109.07737439998891,None,None,None,space,63.53159460006282,None,None,,BS_1001,2023-09-21_13h25.58.634,exp,2021.1.4,59.993724678456964,
,,,,,,,,0,0,0,0,,,,,,,116.43487760005519,None,,images/OBJ_208.png,images/OBJ_144.png,images/OBJ_88.png,117.98867620003875,119.49198920000345,119.9751354000764,121.47475060005672,121.97455519996583,None,117.99239886000287,None,119.97563049003948,None,121.97455589000602,None,123.47417429997586,None,same,MLR,125.01676909998059,126.52328750002198,127.0064454000676,128.50602480000816,129.00586719997227,None,125.02362326004076,None,127.00644779000432,None,129.00583739001303,None,130.5054483000422,None,1,['leftCL'],131.50516609998886,None,131.50516609998886,None,131.50516609998886,None,131.50516609998886,None,131.50516609998886,None,-0.2001953125,-0.2861328125,1,0,0,6.298744000028819,leftCL,0.016291689942590892,None,137.80384499002247,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMR,BS_1001,2023-09-21_13h25.58.634,exp,2021.1.4,59.993724678456964,
,,,,,,,,1,0,1,0,,,,,,,138.53102600004058,None,,images/OBJ_130.png,images/OBJ_134.png,images/OBJ_57.png,140.0815234000329,141.58557200001087,142.06873110006563,143.56835179997142,144.06816899997648,None,140.0859748600749,None,142.06871099006383,None,144.06814199003855,None,145.5677414999809,None,same,MLR,147.10693190002348,148.61681809998117,149.10004110005684,150.59999909996986,151.099844600074,None,147.11718186009674,None,149.10002479008398,None,151.09995709003414,None,152.59904620004818,None,1,['leftCL'],153.59871739998925,None,153.59871739998925,None,153.59871739998925,None,153.59871739998925,None,153.59871739998925,None,-0.13671875,-0.26953125,1,0,0,1.6334284000331536,leftCL,0.01636939006857574,None,155.23204869001637,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMR,BS_1001,2023-09-21_13h25.58.634,exp,2021.1.4,59.993724678456964,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.06206378997302,None,4,old,156.44759390002582,None,156.44831696019972,None,157.94794250000268,None,3,158.94718600006308,None,159.93073740007821,None,159.93073740007821,None,159.93073740007821,None,159.93073740007821,None,159.93073740007821,None,159.93073740007821,None,-0.029296875,-0.146484375,1,0,0,second_middle,0.9990123899187893,None,,images/OBJ_144.png,,,,,,,,,,BS_1001,2023-09-21_13h25.58.634,exp,2021.1.4,59.993724678456964,
