EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,12.824524900177494,None,13.070039700018242,None,LMR,images/OBJ_144.png,images/OBJ_78.png,images/OBJ_59.png,14.710866400040686,16.210463399998844,16.710324400104582,18.209870500024408,18.70973960007541,None,14.710894290124997,None,16.71033201017417,None,18.70978091005236,None,20.209299999987707,None,same,None,21.838721600128338,23.341553000034764,23.8419894000981,25.357851800043136,25.840762000065297,None,21.841810390120372,None,23.84139991016127,None,25.8407543101348,None,27.340332900173962,None,1,['leftCL'],28.34007030003704,None,28.34007030003704,None,28.34007030003704,None,28.34007030003704,None,28.34007030003704,None,-0.232421875,-0.28515625,1,0,0,0.3134344001300633,leftCL,0.012980910018086433,None,28.656650910153985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1004,2023-09-25_09h37.16.572,exp,2021.1.4,60.02382946006488,
1,0,1,0,,,,,,,,,,,,,,,29.379702400183305,None,MLR,images/OBJ_188.png,images/OBJ_84.png,images/OBJ_111.png,30.944549600128084,32.45555349998176,32.938989700051025,34.43829290010035,34.93839740008116,None,30.956025350140408,None,32.93899261020124,None,34.93845391017385,None,36.437696899985895,None,same,None,37.98890100000426,39.50349590019323,39.98668440012261,41.48624080000445,41.98610860016197,None,37.98704744013958,None,39.98699091002345,None,41.986359710106626,None,43.485905200010166,None,1,['leftCL'],44.48535790015012,None,44.48535790015012,None,44.48535790015012,None,44.48535790015012,None,44.48535790015012,None,-0.2421875,-0.240234375,1,0,0,0.9829168999567628,leftCL,0.01634730980731547,None,45.46839271020144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1004,2023-09-25_09h37.16.572,exp,2021.1.4,60.02382946006488,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.06704291002825,None,2,old,46.24752920004539,None,46.25181928020902,None,47.75133670005016,None,1,48.750791400205344,None,49.73407520004548,None,49.73407520004548,None,49.73407520004548,None,49.73407520004548,None,49.73407520004548,None,49.73407520004548,None,0.01953125,-0.2841796875,1,0,0,third_right,0.9991631100419909,None,,,,,,,,,,,,BS_1004,2023-09-25_09h37.16.572,exp,2021.1.4,60.02382946006488,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63239901000634,None,,old,50.83032579999417,None,50.833550970070064,None,52.333088600076735,None,2,53.33277259999886,None,54.29916990012862,None,54.29916990012862,None,54.29916990012862,None,54.29916990012862,None,54.29916990012862,None,54.29916990012862,None,-0.0185546875,0.05859375,1,0,0,first_left,0.9991909100208431,None,,,,,,,,,,,,BS_1004,2023-09-25_09h37.16.572,exp,2021.1.4,60.02382946006488,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,images/OBJ_144.png,55.14021800016053,None,None,None,space,43.68066219985485,None,None,,BS_1004,2023-09-25_09h37.16.572,exp,2021.1.4,60.02382946006488,
,,,,,,,,0,0,0,0,,,,,,,56.51155020017177,None,,images/OBJ_173.png,images/OBJ_164.png,images/OBJ_33.png,58.06195650016889,59.564328000182286,60.06413469999097,61.56372079998255,62.06353250006214,None,58.06471784017049,None,60.064451810205355,None,62.063903809990734,None,63.563598700100556,None,diff,RLM,65.10482990019955,66.61221420019865,67.09537930018269,68.5950064000208,69.09482340002432,None,65.11295574018732,None,67.09593241009861,None,69.09511441015638,None,70.59496900020167,None,1,['rightCL'],71.59440609999001,None,71.59440609999001,None,71.59440609999001,None,71.59440609999001,None,71.59440609999001,None,0.1123046875,-0.2392578125,1,0,0,0.5165455001406372,rightCL,0.01621781033463776,None,72.11064371000975,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRM,BS_1004,2023-09-25_09h37.16.572,exp,2021.1.4,60.02382946006488,
,,,,,,,,1,0,1,0,,,,,,,72.8336593999993,None,,images/OBJ_134.png,images/OBJ_92.png,images/OBJ_31.png,74.39517160016112,75.9095545001328,76.39271570020355,77.89229850005358,78.39212400000542,None,74.39331354014575,None,76.39301161002368,None,78.39241971005686,None,79.89195469999686,None,same,RLM,81.43802300002426,82.94076580018736,83.44062540004961,84.94024300016463,85.44009400019422,None,81.44107144000009,None,83.4406304100994,None,85.44012531009503,None,86.93965130019933,None,1,['leftCL'],87.93935390003026,None,87.93935390003026,None,87.93935390003026,None,87.93935390003026,None,87.93935390003026,None,-0.3427734375,-0.2294921875,1,0,0,0.5831819998566061,leftCL,0.016329609788954258,None,88.98927241005003,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RML,BS_1004,2023-09-25_09h37.16.572,exp,2021.1.4,60.02382946006488,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.17100981017575,None,4,old,90.24209040007554,None,90.2387931603007,None,91.75491600017995,None,3,92.7546442002058,None,93.7376720001921,None,93.7376720001921,None,93.7376720001921,None,93.7376720001921,None,93.7376720001921,None,93.7376720001921,None,-0.0654296875,-0.1123046875,1,0,0,second_middle,1.01556160999462,None,,images/OBJ_92.png,,,,,,,,,,BS_1004,2023-09-25_09h37.16.572,exp,2021.1.4,60.02382946006488,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
