EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,16.681569200000013,None,17.214120900000125,None,LMR,images/OBJ_10.png,images/OBJ_49.png,images/OBJ_4.png,19.086818000000676,20.601831500000117,21.084964200000286,22.584531600000446,23.084793900000477,None,19.085556890000863,None,21.08497653000004,None,23.084397929999888,None,24.583959500000674,None,same,None,1,26.212802600000032,27.71639640000012,28.216215999999804,29.715772100000322,30.215627000000495,None,26.216660970000614,None,28.216217330000383,None,30.21563123000042,None,31.715351800000462,None,1,['leftCL'],32.714930600000116,None,32.714930600000116,None,32.714930600000116,None,32.714930600000116,None,32.714930600000116,None,-0.208984375,-0.2890625,1,0,0,2.279987400000209,leftCL,0.01327512999978353,None,34.99800083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1007,2023-07-18_15h08.14.408,exp,2021.1.4,59.97523022992985,
1,0,1,0,,,,,,,35.75326070000028,None,LMR,images/OBJ_12.png,images/OBJ_31.png,images/OBJ_78.png,37.53451070000028,39.04687379999996,39.529654400000254,41.02963379999983,41.54613960000006,None,37.530642810000884,None,39.52956013000048,None,41.54614752999996,None,43.04526570000053,None,same,None,2,44.579993500000455,46.0943384000002,46.57754600000044,48.07757260000017,48.57743550000032,None,44.57807559000076,None,46.57752833000004,None,48.5769413300005,None,50.07689120000032,None,1,['leftCL'],51.07623280000007,None,51.07623280000007,None,51.07623280000007,None,51.07623280000007,None,51.07623280000007,None,-0.208984375,-0.2099609375,1,0,0,0.7007895000006101,leftCL,0.01637252999989869,None,51.77605463000064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1007,2023-07-18_15h08.14.408,exp,2021.1.4,59.97523022992985,
2,0,2,0,,,,,,,52.526940200000354,None,RML,images/OBJ_18.png,images/OBJ_53.png,images/OBJ_98.png,54.316709400000036,55.82485540000016,56.308089300000574,57.80795500000022,58.30795980000039,None,54.32525664000132,None,56.308008430000065,None,58.30742103000021,None,59.807002399999874,None,same,None,3,61.34364840000035,62.856104000000414,63.339300399999956,64.83885120000014,65.33873510000012,None,61.339800590000145,None,63.33930203000009,None,65.33871362999989,None,66.83883160000005,None,1,['leftCL'],67.83806039999945,None,67.83806039999945,None,67.83806039999945,None,67.83806039999945,None,67.83806039999945,None,-0.208984375,-0.2099609375,1,0,0,0.3165004999991652,leftCL,0.016321630000675214,None,68.15456273000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1007,2023-07-18_15h08.14.408,exp,2021.1.4,59.97523022992985,
3,0,3,0,,,,,,,68.88690680000036,None,LRM,images/OBJ_85.png,images/OBJ_40.png,images/OBJ_61.png,70.6669896000003,72.17006440000114,72.6699062000007,74.16948090000005,74.6693307000005,None,70.67053604000084,None,72.67040002999974,None,74.66933443000025,None,76.1693852999997,None,same,None,4,77.7321050999999,79.23467600000004,79.73452870000074,81.23459460000049,81.73442020000039,None,77.7350125199995,None,79.73453813000023,None,81.73442493000047,None,83.23352049999994,None,1,['leftCL'],84.23321810000016,None,84.23321810000016,None,84.23321810000016,None,84.23321810000016,None,84.23321810000016,None,-0.208984375,-0.2099609375,1,0,0,0.2500213999992411,leftCL,0.01639763000093808,None,84.48316813000028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1007,2023-07-18_15h08.14.408,exp,2021.1.4,59.97523022992985,
4,0,4,0,,,,,,,85.2063347000003,None,MRL,images/OBJ_29.png,images/OBJ_151.png,images/OBJ_32.png,87.00013129999934,88.5153332000009,88.9984968000008,90.49804790000053,90.99799019999955,None,86.99906314000127,None,88.99848582999957,None,90.99790833000051,None,92.49747940000088,None,same,None,5,94.04238179999993,95.54656459999933,96.02977930000088,97.52935369999977,98.02966070000002,None,94.04693652000095,None,96.03028473000094,None,98.02914532999975,None,99.52875180000046,None,1,['leftCL'],100.52846230000068,None,100.52846230000068,None,100.52846230000068,None,100.52846230000068,None,100.52846230000068,None,-0.208984375,-0.2099609375,1,0,0,0.2998435999998037,leftCL,0.016403729998273775,None,100.8283944300002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1007,2023-07-18_15h08.14.408,exp,2021.1.4,59.97523022992985,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.3437269299994,None,old,images/OBJ_49.png,101.60455899999943,None,101.61194814000173,None,103.11153840000043,None,1,104.11124080000081,None,105.09426800000074,None,105.09426800000074,None,105.09426800000074,None,105.09426800000074,None,105.09426800000074,None,105.09426800000074,None,0.0107421875,-0.1220703125,1,0,0,second_middle,0.9990919299980305,None,BS1007,2023-07-18_15h08.14.408,exp,2021.1.4,59.97523022992985,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.45891463000052,None,old,images/OBJ_12.png,106.11129559999972,None,106.1101428100007,None,107.62638549999974,None,2,108.62606950000009,None,109.59247289999985,None,109.59247289999985,None,109.59247289999985,None,109.59247289999985,None,109.59247289999985,None,109.59247289999985,None,0.0263671875,0.0546875,1,0,0,first_left,0.9992376299996977,None,BS1007,2023-07-18_15h08.14.408,exp,2021.1.4,59.97523022992985,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.95809732999996,None,old,images/OBJ_29.png,111.20751469999959,None,111.20914978000073,None,112.70826169999964,None,3,113.70797630000015,None,114.67431080000097,None,114.67431080000097,None,114.67431080000097,None,114.67431080000097,None,114.67431080000097,None,114.67431080000097,None,0.0146484375,-0.1298828125,1,0,0,second_middle,0.9992285299995274,None,BS1007,2023-07-18_15h08.14.408,exp,2021.1.4,59.97523022992985,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.5395945300007,None,old,images/OBJ_61.png,115.71159059999991,None,115.70735128000123,None,117.22407360000034,None,4,118.22378539999954,None,119.18964869999945,None,119.18964869999945,None,119.18964869999945,None,119.18964869999945,None,119.18964869999945,None,119.18964869999945,None,-0.029296875,-0.31640625,1,0,0,third_right,0.9992538299993612,None,BS1007,2023-07-18_15h08.14.408,exp,2021.1.4,59.97523022992985,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.07130753000101,None,old,images/OBJ_10.png,120.29040770000029,None,120.28935638000038,None,121.80559639999956,None,5,122.80532420000054,None,123.77217759999985,None,123.77217759999985,None,123.77217759999985,None,123.77217759999985,None,123.77217759999985,None,123.77217759999985,None,0.060546875,0.0390625,1,0,0,first_left,0.9997339300007297,None,BS1007,2023-07-18_15h08.14.408,exp,2021.1.4,59.97523022992985,
