EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,23.53698080033064,None,RLM,images/OBJ_179.png,images/OBJ_178.png,images/OBJ_153.png,24.45028469990939,25.956609300337732,26.439863599836826,27.939408600330353,28.439217099919915,None,24.45706839952618,None,26.439832809567452,None,28.439231009408832,None,29.93878520000726,None,same,None,1,31.567314599640667,33.071230500005186,33.55441110022366,35.05397539958358,35.55384160019457,None,31.571522189117967,None,33.55439860951155,None,35.55382571015507,None,37.053413399495184,None,1,['leftCL'],38.05311459954828,None,38.05311459954828,None,38.05311459954828,None,38.05311459954828,None,38.05311459954828,None,-0.169921875,-0.30859375,1,0,0,1.5292087998241186,leftCL,0.012657509185373783,None,39.58599170967936,None,,,,2022_Mar_30_1253,exp,2021.1.4,60.13106167998107,
1,0,1,0,,,,,,,LRM,images/OBJ_184.png,images/OBJ_92.png,images/OBJ_143.png,40.1445688996464,41.652098399586976,42.135240100324154,43.63480169977993,44.13472079951316,None,40.15250214934349,None,42.1352729100734,None,44.134662210196254,None,45.63423589989543,None,same,None,2,47.186274900101125,48.70003500021994,49.18327630031854,50.68276350013912,51.182630999945104,None,47.18365803994238,None,49.183235509507355,None,51.18264930993318,None,52.68224039953202,None,1,['leftCL'],53.68195499945432,None,53.68195499945432,None,53.68195499945432,None,53.68195499945432,None,53.68195499945432,None,-0.16015625,-0.3017578125,1,0,0,0.3654439002275467,leftCL,0.015328009612858295,None,54.04847790971398,None,,,,2022_Mar_30_1253,exp,2021.1.4,60.13106167998107,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,images/OBJ_179.png,,,,,,
