EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,slider.response,slider.rt,slider.started,slider.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,52.1289919000119,None,LMR,images/OBJ_7.png,images/OBJ_63.png,images/OBJ_47.png,56.23398989997804,57.73973400006071,58.223377499962226,59.722519000060856,60.22268869983964,None,56.24011859996244,None,58.222927589924076,None,60.22231609004084,None,61.721910499967635,None,same,None,1,63.35305709997192,64.85434719990008,65.3541931998916,66.85373199987225,67.35360609996133,None,63.35466410985682,None,65.35418788997922,None,67.35362688989844,None,68.85316759999841,None,1,['leftCL'],69.85285239992663,None,69.85285239992663,None,69.85285239992663,None,69.85285239992663,None,69.85285239992663,None,-0.25,-0.27441406,1,0,0,1.813431499991566,leftCL,0.013666290091350675,None,71.66896988989319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_13h57.54.288,exp,2021.1.4,60.130338450072095,
1,0,1,0,,,,,,,LRM,images/OBJ_145.png,images/OBJ_135.png,images/OBJ_115.png,72.22488179989159,73.7350359999109,74.21825519995764,75.71782729984261,76.21765819983557,None,72.23553035000805,None,74.21823588993865,None,76.21765348992776,None,77.71722980006598,None,same,None,2,79.26316979993135,80.76633759983815,81.26619009999558,82.76577229984105,83.26565119996667,None,79.26666665994561,None,81.26628758993465,None,83.26562499001156,None,84.76521109999157,None,1,['leftCL'],85.76488039991818,None,85.76488039991818,None,85.76488039991818,None,85.76488039991818,None,85.76488039991818,None,-0.22949219,-0.2705078,1,0,0,1.283029600046575,leftCL,0.016443890053778887,None,87.04787928985897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_13h57.54.288,exp,2021.1.4,60.130338450072095,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.26331018984783,None,old,images/OBJ_115.png,87.58314549992792,None,87.58104267001617,None,89.09725479991175,None,1,90.09695699997246,None,90.09695699997246,None,90.09695699997246,None,90.09695699997246,None,90.09695699997246,None,90.09695699997246,None,90.09695699997246,None,-0.02734375,-0.2734375,1,0,0,third_right,0.012863490032032132,None,None,None,90.09695699997246,None,,2022-03-03_13h57.54.288,exp,2021.1.4,60.130338450072095,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.46211008985992,None,old,images/OBJ_63.png,91.76722979987971,None,91.76312448994722,None,93.27937410003506,None,2,94.27904030005448,None,94.27904030005448,None,94.27904030005448,None,94.27904030005448,None,94.27904030005448,None,94.27904030005448,None,94.27904030005448,None,-0.025390625,-0.140625,1,0,0,second_middle,0.01295078988187015,None,None,None,94.27904030005448,None,,2022-03-03_13h57.54.288,exp,2021.1.4,60.130338450072095,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9277502899291,None,old,images/OBJ_145.png,95.96603999985382,None,95.96194709001574,None,97.47819319996051,None,3,98.47785479994491,None,98.47785479994491,None,98.47785479994491,None,98.47785479994491,None,98.47785479994491,None,98.47785479994491,None,98.47785479994491,None,-0.0068359375,0.0625,1,0,0,first_left,0.012933589983731508,None,None,None,98.47785479994491,None,,2022-03-03_13h57.54.288,exp,2021.1.4,60.130338450072095,
