EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,28.966916599994875,None,LRM,images/OBJ_39.png,images/OBJ_178.png,images/OBJ_171.png,30.426002699998207,31.936282700000447,32.41950439999346,33.91950659999566,34.41886279999744,None,30.436841699985962,None,32.41945353999763,None,34.41886914000061,None,35.91844989999663,None,same,None,1,37.57165260000329,39.084685199995874,39.567855000001146,41.066915799994604,41.56714990000182,None,37.56838629998674,None,39.56783163999644,None,41.567269239992314,None,43.06684709999536,None,1,['leftCL'],44.06616789998952,None,44.06616789998952,None,44.06616789998952,None,44.06616789998952,None,44.06616789998952,None,-0.193359375,-0.234375,1,0,0,1.3453155999886803,leftCL,0.012066640018019825,None,45.41569183999236,None,,,,,baharro,2023-04-26_15h29.56.126,exp,2021.1.4,59.90613905970848,
1,0,1,0,,,,,,,LMR,images/OBJ_172.png,images/OBJ_84.png,images/OBJ_36.png,46.24789929999679,47.74831959999574,48.248152499989374,49.74772819998907,50.24805569999444,None,46.249320739977705,None,48.24865183999209,None,50.248053839993375,None,51.747158400001354,None,same,None,2,53.32165919999534,54.82954169998993,55.31272590000299,56.81230510000023,57.31216889999632,None,53.33039733999176,None,55.31277063999296,None,57.31212653999246,None,58.8117254999961,None,1,['leftCL'],59.81193299998995,None,59.81193299998995,None,59.81193299998995,None,59.81193299998995,None,59.81193299998995,None,-0.2021484375,-0.2529296875,1,0,0,1.0164122999995016,leftCL,0.016411439995863475,None,60.82782693999907,None,,,,,baharro,2023-04-26_15h29.56.126,exp,2021.1.4,59.90613905970848,
2,0,2,0,,,,,,,LMR,images/OBJ_139.png,images/OBJ_18.png,images/OBJ_96.png,61.67344879999291,63.17709979999927,63.660667399992235,65.15986499999417,65.6764109999931,None,61.67766617998714,None,63.66033283998986,None,65.67690334000072,None,67.17595259999507,None,same,None,3,68.7556845999934,70.25889420000021,70.758754399998,72.25815120000334,72.75820820000081,None,68.75875113999355,None,70.75873673999304,None,72.7576706399952,None,74.25721070000145,None,1,['leftCL'],75.25693899999897,None,75.25693899999897,None,75.25693899999897,None,75.25693899999897,None,75.25693899999897,None,-0.2021484375,-0.2529296875,1,0,0,1.033359399996698,leftCL,0.016352740000002086,None,76.29044323999115,None,,,,,baharro,2023-04-26_15h29.56.126,exp,2021.1.4,59.90613905970848,
3,0,3,0,,,,,,,RML,images/OBJ_105.png,images/OBJ_109.png,images/OBJ_154.png,77.10742349999782,78.62268580000091,79.1062871000031,80.60537540000223,81.1057129999972,None,77.10699189998559,None,79.10580083999521,None,81.1056901399963,None,82.60479269998905,None,diff,LMR,4,84.17587269999785,85.6872122999921,86.17089169999235,87.67048699999577,88.16987149999477,None,84.18802233999595,None,86.17089423999569,None,88.16979393999937,None,89.66940089999116,None,1,['rightCL'],90.66943619999802,None,90.66943619999802,None,90.66943619999802,None,90.66943619999802,None,90.66943619999802,None,0.1103515625,-0.3427734375,1,0,0,0.9493267000070773,rightCL,0.016412140015745535,None,91.618821139996,None,,,,,baharro,2023-04-26_15h29.56.126,exp,2021.1.4,59.90613905970848,
4,0,4,0,,,,,,,LMR,images/OBJ_158.png,images/OBJ_191.png,images/OBJ_68.png,92.4432558999979,93.95194689999335,94.43465409999772,95.9346993999934,96.43453430000227,None,92.45199023998721,None,94.43513733999426,None,96.43406424000132,None,97.93362149999302,None,same,LMR,5,99.50540529999125,101.01602819999971,101.4997457999998,102.99929409999459,103.49913319999177,None,99.51641323999793,None,101.49971533999924,None,103.49868473999523,None,104.99823759999708,None,1,['leftCL'],105.99796379999316,None,105.99796379999316,None,105.99796379999316,None,105.99796379999316,None,105.99796379999316,None,-0.1298828125,-0.2685546875,1,0,0,1.1825221000035526,leftCL,0.01638554000237491,None,107.18093143999722,None,,,,,baharro,2023-04-26_15h29.56.126,exp,2021.1.4,59.90613905970848,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,images/OBJ_191.png,107.96743039999274,None,,,,,,
