EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,slider.response,slider.rt,slider.started,slider.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,60.47036429983564,None,LMR,images/OBJ_113.png,images/OBJ_100.png,images/OBJ_146.png,66.42415759991854,67.92860739980824,68.41180079989135,69.91131549980491,70.41122149978764,None,66.42877470003441,None,68.41178490987514,None,70.41119490980637,None,71.91077129985206,None,diff,RML,1,73.54342869995162,75.04322099988349,75.54307019989938,77.04263409995474,77.54264539992437,None,73.54337278988679,None,75.54309750997928,None,77.54251300983597,None,79.04206559993327,None,1,['rightCL'],80.04179449984804,None,80.04179449984804,None,80.04179449984804,None,80.04179449984804,None,80.04179449984804,None,0.20019531,-0.37109375,1,0,0,1.9631652000825852,rightCL,0.013324409956112504,None,82.00782210982871,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h06.05.791,exp,2021.1.4,60.0126987278537,
1,0,1,0,,,,,,,RLM,images/OBJ_9.png,images/OBJ_64.png,images/OBJ_89.png,82.55122759984806,84.05724499979988,84.54042289988138,86.03998849983327,86.53985529998317,None,82.55756503986196,None,84.54039120997768,None,86.5398266098695,None,88.03942669997923,None,same,RML,2,89.57742899982259,91.08854189980775,91.57173659978434,93.07130109984428,93.57116019981913,None,89.58875883989968,None,91.57172810982448,None,93.57111530981493,None,95.07071279990487,None,1,['leftCL'],96.07041389984079,None,96.07041389984079,None,96.07041389984079,None,96.07041389984079,None,96.07041389984079,None,-0.27539062,-0.22070312,1,0,0,1.9162062001414597,leftCL,0.01639641006477177,None,97.98650120988023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h06.05.791,exp,2021.1.4,60.0126987278537,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.68543870977592,None,old,images/OBJ_89.png,98.52051559998654,None,98.5196430298267,None,100.0359444997739,None,1,101.0357157997787,None,101.0357157997787,None,101.0357157997787,None,101.0357157997787,None,101.0357157997787,None,101.0357157997787,None,101.0357157997787,None,0.0048828125,-0.10253906,1,0,0,second_middle,0.012699610088020563,None,None,None,101.0357157997787,None,,2022-03-03_14h06.05.791,exp,2021.1.4,60.0126987278537,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.71762460980099,None,old,images/OBJ_64.png,102.19016059977002,None,102.20191991999747,None,103.7015572998207,None,2,104.70123119978234,None,104.70123119978234,None,104.70123119978234,None,104.70123119978234,None,104.70123119978234,None,104.70123119978234,None,104.70123119978234,None,-0.026367188,-0.29882812,1,0,0,third_right,0.012640709988772869,None,None,None,104.70123119978234,None,,2022-03-03_14h06.05.791,exp,2021.1.4,60.0126987278537,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.61650200977456,None,old,images/OBJ_9.png,106.22485439991578,None,106.23410801980646,None,107.73372059990652,None,3,108.73339829989709,None,108.73339829989709,None,108.73339829989709,None,108.73339829989709,None,108.73339829989709,None,108.73339829989709,None,108.73339829989709,None,-0.013671875,0.057617188,1,0,0,first_left,0.01268231007270515,None,None,None,108.73339829989709,None,,2022-03-03_14h06.05.791,exp,2021.1.4,60.0126987278537,
