EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,59.9856235999614,None,60.84860489994753,None,LMR,images/OBJ_184.png,images/OBJ_136.png,images/OBJ_196.png,62.49062980001327,63.99910090002231,64.48227419995237,65.98184899997432,66.4816910000518,None,62.49950200004969,None,64.48275188001571,None,66.48215187998721,None,67.98126869997941,None,same,None,69.61742040002719,71.13080439995974,71.61403639998753,73.11306889995467,73.61297869996633,None,69.61405822000233,None,71.61400498001603,None,73.612967580033,None,75.11250709998421,None,1,['leftCL'],76.1122294999659,None,76.1122294999659,None,76.1122294999659,None,76.1122294999659,None,76.1122294999659,None,-0.126953125,-0.2841796875,1,0,0,1.3463266000617296,leftCL,0.01299447997007519,None,77.46182338002836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1001,2023-09-21_12h51.42.723,exp,2021.1.4,60.00718886007892,
1,0,1,0,,,,,,,,,,,,,,,78.18934319994878,None,RLM,images/OBJ_83.png,images/OBJ_131.png,images/OBJ_35.png,79.7430223999545,81.24454460002016,81.74391089996789,83.24350940005388,83.74334749998525,None,79.74452642002143,None,81.74426478001988,None,83.7438504800084,None,85.24292530003004,None,same,None,86.78611590003129,88.29202709998935,88.77524780004751,90.27477070002351,90.77516950003337,None,86.79283361998387,None,88.77521008002805,None,90.77505207998911,None,92.27419070003089,None,0,['rightCL'],93.27390210004523,None,93.27390210004523,None,93.27390210004523,None,93.27390210004523,None,93.27390210004523,None,0.2060546875,-0.2822265625,1,0,0,0.533419799990952,rightCL,0.016358780092559755,None,93.80716088000918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1001,2023-09-21_12h51.42.723,exp,2021.1.4,60.00718886007892,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.82240227999864,None,2,old,94.58515559998341,None,94.59019774000626,None,96.08974930003751,None,1,97.08945500000846,None,98.07253080001101,None,98.07253080001101,None,98.07253080001101,None,98.07253080001101,None,98.07253080001101,None,98.07253080001101,None,0.0302734375,-0.302734375,1,0,0,third_right,0.999049779959023,None,,,,,,,,,,,,BS_1001,2023-09-21_12h51.42.723,exp,2021.1.4,60.00718886007892,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.63754157995572,None,,old,99.57547539996449,None,99.5720701799728,None,101.08828459994402,None,2,102.08802429994103,None,103.05438520002645,None,103.05438520002645,None,103.05438520002645,None,103.05438520002645,None,103.05438520002645,None,103.05438520002645,None,0.025390625,0.0302734375,1,0,0,first_left,0.9991355799138546,None,,,,,,,,,,,,BS_1001,2023-09-21_12h51.42.723,exp,2021.1.4,60.00718886007892,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,images/OBJ_184.png,104.14282840001397,None,None,None,space,45.68482540000696,None,None,,BS_1001,2023-09-21_12h51.42.723,exp,2021.1.4,60.00718886007892,
,,,,,,,,0,0,0,0,,,,,,,105.68688050005585,None,,images/OBJ_206.png,images/OBJ_103.png,images/OBJ_158.png,107.22357769997325,108.73607570002787,109.21928780002054,110.71881610003766,111.21871339995414,None,107.21984354004962,None,109.219268380024,None,111.21868167998036,None,112.7182512000436,None,same,None,114.25036369997542,115.75117790000513,116.25055060000159,117.75007830001414,118.24996589997318,None,114.25106933998177,None,116.25103888002923,None,118.25044278003043,None,119.74953150004148,None,1,['leftCL'],120.74925009999424,None,120.74925009999424,None,120.74925009999424,None,120.74925009999424,None,120.74925009999424,None,-0.125,-0.2958984375,1,0,0,0.6171707999892533,leftCL,0.01630857994314283,None,121.36622318002628,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRM,BS_1001,2023-09-21_12h51.42.723,exp,2021.1.4,60.00718886007892,
,,,,,,,,1,0,1,0,,,,,,,122.09781209996436,None,,images/OBJ_138.png,images/OBJ_167.png,images/OBJ_49.png,123.6435542999534,125.14844829996582,125.63116200000513,127.13069360004738,127.63053550000768,None,123.64840251998976,None,125.63163907994749,None,127.63053248001961,None,129.13066799996886,None,same,None,130.6865678000031,132.1963870000327,132.67915730003733,134.17870479996782,134.67903340002522,None,130.6962350200629,None,132.6790806799545,None,134.67850878002355,None,136.1780987000093,None,1,['leftCL'],137.17826519999653,None,137.17826519999653,None,137.17826519999653,None,137.17826519999653,None,137.17826519999653,None,-0.1953125,-0.271484375,1,0,0,0.3161543000023812,leftCL,0.01636388013139367,None,137.49438588001067,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RML,BS_1001,2023-09-21_12h51.42.723,exp,2021.1.4,60.00718886007892,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.39284857996972,None,4,old,138.26039780001156,None,138.26088486000663,None,139.7603927999735,None,3,140.76013860001694,None,141.74313139996957,None,141.74313139996957,None,141.74313139996957,None,141.74313139996957,None,141.74313139996957,None,141.74313139996957,None,0.0,-0.14453125,1,0,0,second_middle,1.015652579953894,None,,images/OBJ_131.png,,,,,,,,,,BS_1001,2023-09-21_12h51.42.723,exp,2021.1.4,60.00718886007892,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.2248120799777,None,,old,145.1521541000111,None,145.1592688600649,None,146.65837850002572,None,4,147.65808209998067,None,148.64118689997122,None,148.64118689997122,None,148.64118689997122,None,148.64118689997122,None,148.64118689997122,None,148.64118689997122,None,0.033203125,0.0361328125,1,0,0,first_left,1.0154181799152866,None,,images/OBJ_83.png,,,,,,,,,,BS_1001,2023-09-21_12h51.42.723,exp,2021.1.4,60.00718886007892,
