EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Trial_Order,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,13.249573799781501,None,14.478684899862856,None,RML,images/OBJ_16.png,images/OBJ_6.png,images/OBJ_173.png,RML,16.176149199716747,17.687090300023556,18.17077469965443,19.66986859962344,20.169702099636197,None,16.171223899628966,None,18.17068319967948,None,20.17007889985107,None,21.669857899658382,None,same,None,23.322238999884576,24.834925099741668,25.31832439964637,26.817652499768883,27.31770189991221,None,23.3189535996411,None,25.318329299939798,None,27.317654499923812,None,28.817333299666643,None,0,['leftCL'],29.817158400081098,None,29.817158400081098,None,29.817158400081098,None,29.817158400081098,None,29.817158400081098,None,-0.14453125,-0.2421875,1,0,0,1.0134196998551488,leftCL,0.013182700145989656,None,30.833501499751584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,2024-01-10_18h10.41.056,exp,2021.1.4,59.87783729598026,
1,0,1,0,,,,,,,,,,,,,,,31.512468999717385,None,LMR,images/OBJ_88.png,images/OBJ_183.png,images/OBJ_177.png,LMR,33.107841399963945,34.6155807999894,35.09880039980635,36.597985699772835,37.098269099835306,None,33.11625459981151,None,35.09862729967572,None,37.09811959988438,None,38.59776749974117,None,same,None,40.13514379970729,41.64688069978729,42.13008169969544,43.62946739979088,44.12949279975146,None,40.147324700001626,None,42.12992939972319,None,44.12933439961635,None,45.62908379966393,None,0,['leftCL'],46.62881049979478,None,46.62881049979478,None,46.62881049979478,None,46.62881049979478,None,46.62881049979478,None,-0.2958984375,-0.3408203125,1,0,0,0.5998516003601253,leftCL,0.016349599696695805,None,47.228684900002555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,2024-01-10_18h10.41.056,exp,2021.1.4,59.87783729598026,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47.732838300056756,None,None,None,space,36.0058854999952,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,2024-01-10_18h10.41.056,exp,2021.1.4,59.87783729598026,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.32688809991814,None,,,,,,,,,,old,49.25121059967205,None,49.26164129991084,None,50.760925999842584,None,1,51.76064609969035,None,52.727023399900645,None,52.727023399900645,None,52.727023399900645,None,52.727023399900645,None,52.727023399900645,None,52.727023399900645,None,-0.0244140625,-0.1181640625,1,0,0,second_middle,0.9994004997424781,None,,,wwww,2024-01-10_18h10.41.056,exp,2021.1.4,59.87783729598026,
,,,,,,,,0,0,0,0,,,,,53.832385499961674,None,55.052615699823946,None,,images/OBJ_15.png,images/OBJ_54.png,images/OBJ_187.png,LMR,56.60678929975256,58.10856289975345,58.60862399963662,60.107995099853724,60.60811490006745,None,56.60947009976953,None,58.60845819967799,None,60.60796599988826,None,62.10763979982585,None,diff,MRL,63.648300499655306,65.15651209978387,65.63990890001878,67.13929079985246,67.63929739966989,None,63.65693049980327,None,65.63992419992573,None,67.63913889988325,None,69.138939099852,None,0,['leftCL'],70.13856479991227,None,70.13856479991227,None,70.13856479991227,None,70.13856479991227,None,70.13856479991227,None,-0.1640625,-0.2314453125,1,0,0,0.5830757999792695,leftCL,0.016301299910992384,None,70.72178849964402,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,images/OBJ_177.png,wwww,2024-01-10_18h10.41.056,exp,2021.1.4,59.87783729598026,
,,,,,,,,1,0,1,0,,,,,,,71.39252129988745,None,,images/OBJ_123.png,images/OBJ_4.png,images/OBJ_55.png,LRM,72.95673389965668,74.47045459970832,74.95391849987209,76.4534216998145,76.95328449970111,None,72.9542775997892,None,74.95395139991305,None,76.95328899999149,None,78.45283979969099,None,same,MRL,79.99800449982285,81.50197249976918,81.98516939999536,83.48467849986628,83.98448969982564,None,80.00222349967807,None,81.98496359973214,None,83.98456679997034,None,85.48417469998822,None,1,['rightCL'],86.48389949975535,None,86.48389949975535,None,86.48389949975535,None,86.48389949975535,None,86.48389949975535,None,0.2900390625,-0.365234375,1,0,0,1.199773899745196,rightCL,0.016369599848985672,None,87.68354999986477,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,2024-01-10_18h10.41.056,exp,2021.1.4,59.87783729598026,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,88.19507859973237,None,None,None,space,76.42977789975703,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,2024-01-10_18h10.41.056,exp,2021.1.4,59.87783729598026,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
