EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,222.862124199979,None,LMR,images/OBJ_58.png,images/OBJ_80.png,images/OBJ_93.png,224.40626709995558,225.91471569996793,226.39797519997228,227.89798579999479,228.39739709999412,None,224.41573827995452,None,226.39847736998345,None,228.39787567000022,None,229.89692560001276,None,same,RLM,231.43397579999873,232.946426599985,233.4292543999618,234.92928449995816,235.42911999998614,None,231.4298000099545,None,233.42973486998235,None,235.42860776995659,None,236.92872359999456,None,1,['leftCL'],237.9279692999553,None,237.9279692999553,None,237.9279692999553,None,237.9279692999553,None,237.9279692999553,None,-0.13671875,-0.287109375,1,0,0,0.5994078999501653,leftCL,0.016323269985150546,None,238.5278256699734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
11,0,11,0,,,,,,,239.17232379998313,None,RLM,images/OBJ_111.png,images/OBJ_3.png,images/OBJ_143.png,240.7232221000013,242.22710109996842,242.72699960001046,244.22656849998748,244.72595749999164,None,240.7276784799993,None,242.72701716999873,None,244.72645506996778,None,246.2255637999624,None,same,RLM,247.76802919997135,249.2746125999838,249.75827930000378,251.2574098999612,251.75776919996133,None,247.77503427999326,None,249.75830677000923,None,251.7577557700046,None,253.2568125000107,None,1,['leftCL'],254.25696420000168,None,254.25696420000168,None,254.25696420000168,None,254.25696420000168,None,254.25696420000168,None,-0.203125,-0.3369140625,1,0,0,0.33283620001748204,leftCL,0.016373770020436496,None,254.58978396998137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
12,0,12,0,,,,,,,255.24319000000833,None,LMR,images/OBJ_14.png,images/OBJ_177.png,images/OBJ_36.png,256.7973512999597,258.30583399999887,258.78899739996996,260.2881144999992,260.7884231999633,None,256.8058422800037,None,258.7890139700088,None,260.7879379699647,None,262.28751569997985,None,same,RLM,263.8301031999872,265.3371042999788,265.82032219995745,267.31984020001255,267.81922050000867,None,263.8375133799505,None,265.820294970012,None,267.81976216997134,None,269.318819099979,None,1,['leftCL'],270.31852659996366,None,270.31852659996366,None,270.31852659996366,None,270.31852659996366,None,270.31852659996366,None,-0.1875,-0.353515625,1,0,0,0.3164743999950588,leftCL,0.01636846998007968,None,270.63511696999774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
13,0,13,0,,,,,,,271.28449039999396,None,MLR,images/OBJ_40.png,images/OBJ_52.png,images/OBJ_33.png,272.8314364000107,274.33401759999106,274.83382130000973,276.3339287999552,276.83379020000575,None,272.8350218799547,None,274.8342923699587,None,276.8337826699775,None,278.33284970000386,None,diff,RLM,279.8769217999652,281.3819371999707,281.86514859995805,283.36468369996874,283.86503859999357,None,279.88284417995015,None,281.86516657000755,None,283.86462036998125,None,285.3641212999937,None,1,['rightCL'],286.36384869995527,None,286.36384869995527,None,286.36384869995527,None,286.36384869995527,None,286.36384869995527,None,0.123046875,-0.3212890625,1,0,0,0.516496800002642,rightCL,0.01628536998759955,None,286.88040187000877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
14,0,14,0,,,,,,,287.5229562000022,None,LMR,images/OBJ_13.png,images/OBJ_11.png,images/OBJ_81.png,289.06489899998996,290.57974730001297,291.0624424999696,292.5620496000047,293.062391799991,None,289.06313390996655,None,291.06296596996833,None,293.06193976995417,None,294.56150559999514,None,same,RLM,296.0941224999842,297.5939013999887,298.0937463999726,299.59328749997076,300.09367360000033,None,296.0943592099531,None,298.0942688699637,None,300.0937242700078,None,301.59326629998395,None,1,['leftCL'],302.59247539995704,None,302.59247539995704,None,302.59247539995704,None,302.59247539995704,None,302.59247539995704,None,-0.1416015625,-0.373046875,1,0,0,0.3161062999861315,leftCL,0.016328370023984462,None,302.9090743699984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
15,0,15,0,,,,,,,303.5560599999735,None,RML,images/OBJ_61.png,images/OBJ_77.png,images/OBJ_54.png,305.1033972000005,306.60844370000996,307.09115250001196,308.5907622000086,309.09102419996634,None,305.10895957997997,None,307.09116946999563,None,309.09058056999345,None,310.59011839999584,None,same,RLM,312.1318818999571,313.6396390000009,314.122922999959,315.62236290000146,316.1218629999785,None,312.1397261799662,None,314.1229359699704,None,316.1223568699846,None,317.62141059996793,None,1,['leftCL'],318.6211317999987,None,318.6211317999987,None,318.6211317999987,None,318.6211317999987,None,318.6211317999987,None,-0.1650390625,-0.3818359375,1,0,0,0.39994279999518767,leftCL,0.01637597003718838,None,319.02103826997916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
16,0,16,0,,,,,,,319.6749495000113,None,RML,images/OBJ_120.png,images/OBJ_105.png,images/OBJ_97.png,321.23386459995527,322.736565899977,323.23642219998874,324.7360010999837,325.23585269995965,None,321.23713757996444,None,323.23647296999695,None,325.2363022699777,None,326.735961999977,None,same,RLM,328.29474399995524,329.8016149000032,330.28442489996087,331.7844455000013,332.28430900000967,None,328.3016018799622,None,330.28439216997356,None,332.28380727000183,None,333.7838692999794,None,1,['leftCL'],334.78358049999224,None,334.78358049999224,None,334.78358049999224,None,334.78358049999224,None,334.78358049999224,None,-0.18359375,-0.3759765625,1,0,0,0.41605040000285953,leftCL,0.016317670058924705,None,335.1996790699835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
17,0,17,0,,,,,,,335.843795599998,None,RML,images/OBJ_173.png,images/OBJ_119.png,images/OBJ_16.png,337.38884789997246,338.89861719997134,339.38178549997974,340.88134199997876,341.38165090000257,None,337.39956517997194,None,339.38226416998657,None,341.3817036699678,None,342.880775299971,None,same,RLM,344.4159432000015,345.9302456000005,346.4130623000092,347.9126073999796,348.41296559997136,None,344.41407160998205,None,346.41306216997907,None,348.41249947000176,None,349.9121626999695,None,1,['leftCL'],350.91178069997113,None,350.91178069997113,None,350.91178069997113,None,350.91178069997113,None,350.91178069997113,None,-0.1796875,-0.3544921875,1,0,0,0.299957400013227,leftCL,0.01637616998050362,None,351.21160606999763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
18,0,18,0,,,,,,,351.85244879999664,None,LMR,images/OBJ_121.png,images/OBJ_194.png,images/OBJ_107.png,353.4082473999588,354.9111275000032,355.41085649997694,356.91048129997216,357.41038169997046,None,353.4110726799932,None,355.41096606996723,None,357.4099043699738,None,358.9094250999624,None,same,RLM,360.45646759995725,361.9590423000045,362.4585426999838,363.958444399992,364.45780629996443,None,360.458939579979,None,362.45837377000714,None,364.45782156999337,None,365.95740959997056,None,1,['leftCL'],366.9571432999801,None,366.9571432999801,None,366.9571432999801,None,366.9571432999801,None,366.9571432999801,None,-0.158203125,-0.353515625,1,0,0,0.282775399973616,leftCL,0.016345869982615113,None,367.240370269987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
19,0,19,0,,,,,,,367.88897859997815,None,RML,images/OBJ_209.png,images/OBJ_30.png,images/OBJ_130.png,369.4358494000044,370.9392326999805,371.4224101,372.92199830000754,373.4385178000084,None,369.4402903800015,None,371.4229531699733,None,373.43852766999623,None,374.93807430000743,None,same,RLM,376.4761688999715,377.9871922999737,378.4703811999643,379.96994310000446,380.46983919997,None,376.4877057799836,None,378.4704018699762,None,380.46985916997653,None,381.969880699995,None,1,['leftCL'],382.9691015999997,None,382.9691015999997,None,382.9691015999997,None,382.9691015999997,None,382.9691015999997,None,-0.158203125,-0.353515625,1,0,0,0.31660960003500804,leftCL,0.016358970024157315,None,383.28572746995485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
