EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,229.01067409996176,None,LMR,images/OBJ_126.png,images/OBJ_33.png,images/OBJ_40.png,230.59369529999094,232.09310589998495,232.59297479997622,234.09253479994368,234.59240209998097,None,230.59418365997263,None,232.5929607099446,None,234.59243180999184,None,236.09249809995526,None,same,MLR,237.67141089995857,239.1749170999974,239.67476929997792,241.17397099995287,241.6737175999442,None,237.67500245999545,None,239.67432670994313,None,241.67373390996946,None,243.1732834999566,None,1,['leftCL'],244.17298719997052,None,244.17298719997052,None,244.17298719997052,None,244.17298719997052,None,244.17298719997052,None,-0.130859375,-0.2109375,1,0,0,0.8665101999649778,leftCL,0.016385210037697107,None,245.0394802099967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
11,0,11,0,,,,,,,245.68445419997443,None,RLM,images/OBJ_61.png,images/OBJ_53.png,images/OBJ_107.png,247.2663051999989,248.77161489997525,249.25484319997486,250.75439629994798,251.25427319994196,None,247.27277185998392,None,249.2548621099617,None,251.25429980998743,None,252.75382719998015,None,diff,RML,254.33265869994648,255.83676999999443,256.31951829994796,257.81906119995983,258.31938819994684,None,254.33679725995754,None,256.31996470998854,None,258.318908409978,None,259.8184431999689,None,0,['leftCL'],260.81818999996176,None,260.81818999996176,None,260.81818999996176,None,260.81818999996176,None,260.81818999996176,None,-0.1328125,-0.2119140625,1,0,0,1.1162261000135913,leftCL,0.016328910016454756,None,261.93448940996893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
12,0,12,0,,,,,,,262.5844611999928,None,LMR,images/OBJ_102.png,images/OBJ_39.png,images/OBJ_198.png,264.17064119997667,265.68342359998496,266.166623899946,267.6666372999898,268.1660398999811,None,264.1673780599725,None,266.16664370999786,None,268.1664237099525,None,269.6660880999989,None,diff,RML,271.2492152999621,272.7479795999825,273.24783299997216,274.7474126999732,275.24728579999646,None,271.2486073599779,None,273.2478603099647,None,275.2477841099666,None,276.74685349996435,None,1,['rightCL'],277.7465700999601,None,277.7465700999601,None,277.7465700999601,None,277.7465700999601,None,277.7465700999601,None,0.14453125,-0.2841796875,1,0,0,1.2664067999576218,rightCL,0.016392610035836697,None,279.0129534099891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
13,0,13,0,,,,,,,279.65372599998955,None,LMR,images/OBJ_115.png,images/OBJ_208.png,images/OBJ_44.png,281.24875249998877,282.76229689997854,283.24544209998567,284.7450065999874,285.24473449995276,None,281.24620185999663,None,283.2454711099912,None,285.24477150996097,None,286.743947299954,None,diff,MLR,288.3330262999516,289.8435150999576,290.326777499984,291.82576729997527,292.3423075999599,None,288.32743175994835,None,290.32625920995486,None,292.3428680099954,None,293.8424050999456,None,1,['rightCL'],294.8415702999919,None,294.8415702999919,None,294.8415702999919,None,294.8415702999919,None,294.8415702999919,None,0.1484375,-0.283203125,1,0,0,1.2163890000083484,rightCL,0.016383409965783358,None,296.05795510998576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
14,0,14,0,,,,,,,296.7024775999598,None,RLM,images/OBJ_73.png,images/OBJ_145.png,images/OBJ_113.png,298.28781509998953,299.7906610999489,300.27335869998205,301.77292119996855,302.2727841999731,None,298.2907830599928,None,300.2738794099481,None,302.27278720995525,None,303.77234289998887,None,same,MLR,305.3419867999619,306.85516899998765,307.33796599996276,308.8375355999451,309.33737409999594,None,305.3386329499481,None,307.3379483099619,None,309.33793710999305,None,310.836983199988,None,1,['leftCL'],311.8366890999605,None,311.8366890999605,None,311.8366890999605,None,311.8366890999605,None,311.8366890999605,None,-0.15625,-0.248046875,1,0,0,0.9664752000244334,leftCL,0.016374010010622442,None,312.8031052099599,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
15,0,15,0,,,,,,,313.45458769996185,None,LMR,images/OBJ_13.png,images/OBJ_42.png,images/OBJ_23.png,315.0421029999852,316.5524323999998,317.03517549997196,318.5347205999424,319.0345746999956,None,315.0531040599802,None,317.0356600099534,None,319.034600809979,None,320.53413079999154,None,diff,RML,322.1020568999811,323.61657079996075,324.09980359999463,325.59977869997965,326.09974139998667,None,322.1004056499514,None,324.09976790997314,None,326.09921270999473,None,327.598758899956,None,0,['leftCL'],328.59894409996923,None,328.59894409996923,None,328.59894409996923,None,328.59894409996923,None,328.59894409996923,None,-0.130859375,-0.3017578125,1,0,0,3.4490340999909677,leftCL,0.01636100996984169,None,332.0479666099476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
16,0,16,0,,,,,,,332.69345679995604,None,RML,images/OBJ_47.png,images/OBJ_2.png,images/OBJ_25.png,334.27798629994504,335.77971659996547,336.2628663999494,337.76246999995783,338.2789457999752,None,334.2807030599564,None,336.2634051099943,None,338.2789836099895,None,339.77851749997353,None,same,RML,341.35515809996286,342.86101209995104,343.344176899991,344.8442617999972,345.34360959997866,None,341.3615019599441,None,343.3441772099526,None,345.3435886099527,None,346.84317469998496,None,1,['leftCL'],347.84294699999737,None,347.84294699999737,None,347.84294699999737,None,347.84294699999737,None,347.84294699999737,None,-0.1875,-0.3232421875,1,0,0,0.3660321999923326,leftCL,0.0163611100288108,None,348.20949290996066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
17,0,17,0,,,,,,,348.8555434999871,None,LMR,images/OBJ_114.png,images/OBJ_179.png,images/OBJ_182.png,350.4314920999459,351.9421502999612,352.42481809994206,353.9245025999844,354.42430149996653,None,350.4422562599997,None,352.424882209982,None,354.42433590995495,None,355.9238593999762,None,same,RML,357.49915849999525,359.006290099991,359.4895321999793,360.98955259996,361.4889235999435,None,357.507299759984,None,359.4895447099756,None,361.4890618099656,None,362.9885106999427,None,1,['leftCL'],363.98821569996653,None,363.98821569996653,None,363.98821569996653,None,363.98821569996653,None,363.98821569996653,None,-0.154296875,-0.298828125,1,0,0,0.6326411999762058,leftCL,0.016370109980925918,None,364.6213712099765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
18,0,18,0,,,,,,,365.2674927999615,None,RML,images/OBJ_49.png,images/OBJ_20.png,images/OBJ_128.png,366.8369045999716,368.3373166999663,368.83725089998916,370.3363526999601,370.8361883999896,None,366.837545449991,None,368.8368079099513,None,370.83617440995874,None,372.33577519998653,None,diff,LMR,373.9069290999905,375.41867649997585,375.9019157999428,377.40098349994514,377.90129959996557,None,373.9020581499499,None,375.9014237099967,None,377.90132300998664,None,379.4003755999729,None,1,['rightCL'],380.4000917999656,None,380.4000917999656,None,380.4000917999656,None,380.4000917999656,None,380.4000917999656,None,0.1220703125,-0.185546875,1,0,0,0.6331076999776997,rightCL,0.01631640997948125,None,381.50029950996975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
19,0,19,0,,,,,,,382.14877369999886,None,RML,images/OBJ_164.png,images/OBJ_146.png,images/OBJ_89.png,383.7182969999849,385.23198919999413,385.7152411999996,387.21477399999276,387.71460839995416,None,383.7164548499568,None,385.7157553099736,None,387.71513190999974,None,389.2146998999524,None,same,LMR,390.78227749996586,392.29674699995667,392.78039059997536,394.2799358999473,394.7797656999901,None,390.7805007499701,None,392.78040130995794,None,394.77987860999417,None,396.2788091999828,None,1,['leftCL'],397.2790016999934,None,397.2790016999934,None,397.2790016999934,None,397.2790016999934,None,397.2790016999934,None,-0.1416015625,-0.3359375,1,0,0,0.30038700002478436,leftCL,0.01632681000046432,None,397.57895750995374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
