EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,LMR,images/OBJ_66.png,images/OBJ_163.png,images/OBJ_70.png,209.7637248999672,211.27990239998326,211.7630855999887,213.26219769997988,213.7625313999597,None,209.76267157986294,None,211.76257216003722,None,213.76247626000549,None,215.2615591000067,None,same,RLM,11,216.7952964999713,218.31069690000731,218.79388580005616,220.29399499995634,220.7938024000032,None,216.7947599799605,None,218.7943520599976,None,220.79329315996728,None,222.292845100048,None,1,['leftCL'],223.29256420000456,None,223.29256420000456,None,223.29256420000456,None,223.29256420000456,None,223.29256420000456,None,-0.236328125,-0.240234375,1,0,0,0.2999773999908939,leftCL,0.016369560034945607,None,223.59246966002974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
11,0,11,0,,,,,,,LMR,images/OBJ_2.png,images/OBJ_16.png,images/OBJ_200.png,224.37575310003012,225.87564900005236,226.37550359999295,227.87508859997615,228.37491839996073,None,224.3755976798944,None,226.37538266000337,None,228.3748819600325,None,229.8745652999496,None,same,RLM,12,231.40981690003537,232.9235967999557,233.40679200005252,234.90635960001964,235.40621259994805,None,231.4071925799595,None,233.4067523599835,None,235.40615956000983,None,236.90567130001727,None,1,['leftCL'],237.90532240003813,None,237.90532240003813,None,237.90532240003813,None,237.90532240003813,None,237.90532240003813,None,-0.236328125,-0.240234375,1,0,0,0.4166345000267029,leftCL,0.016377059975638986,None,238.32200565997044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
12,0,12,0,,,,,,,RML,images/OBJ_68.png,images/OBJ_128.png,images/OBJ_189.png,239.1319692999823,240.6380028000567,241.1206872999901,242.62022220005747,243.12009440001566,None,239.13785979989916,None,241.120639059972,None,243.1200737599749,None,244.61965949996375,None,same,RLM,13,246.1616957000224,247.66927810001653,248.15196579997428,249.65151490003336,250.15136300004087,None,246.16893964000045,None,248.15197306002955,None,250.15136785996145,None,251.6509526000591,None,1,['leftCL'],252.6506465000566,None,252.6506465000566,None,252.6506465000566,None,252.6506465000566,None,252.6506465000566,None,-0.236328125,-0.240234375,1,0,0,0.3000039999606088,leftCL,0.01638076000381261,None,252.95055866001638,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
13,0,13,0,,,,,,,RML,images/OBJ_94.png,images/OBJ_174.png,images/OBJ_171.png,253.80925000004936,255.3170590000227,255.8002558000153,257.31647179997526,257.79965719999745,None,253.81682947978842,None,255.80020425997208,None,257.79964756004046,None,259.2992225999478,None,same,RLM,14,260.8951479999814,262.398337700055,262.89822390000336,264.3977318999823,264.89760170003865,None,260.8983908199938,None,262.8981579599669,None,264.8975137599511,None,266.39668660005555,None,1,['leftCL'],267.3967373999767,None,267.3967373999767,None,267.3967373999767,None,267.3967373999767,None,267.3967373999767,None,-0.1494140625,-0.3359375,1,0,0,3.115934000001289,leftCL,0.01638106000609696,None,270.51265505997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
14,0,14,0,,,,,,,LMR,images/OBJ_198.png,images/OBJ_140.png,images/OBJ_147.png,271.35041439998895,272.8619366999483,273.328445799998,274.8280157999834,275.34452339995187,None,271.3612146198051,None,273.32842186004854,None,275.34437275996896,None,276.84359259996563,None,diff,MRL,15,278.4218681999482,279.926540400018,280.4262697000522,281.92542770004366,282.42582670005504,None,278.4261876600096,None,280.4263431600295,None,282.4256761599565,None,283.9248546999879,None,1,['rightCL'],284.9245979000116,None,284.9245979000116,None,284.9245979000116,None,284.9245979000116,None,284.9245979000116,None,0.26171875,-0.2998046875,1,0,0,1.149644499993883,rightCL,0.016362059861421585,None,286.07418336002155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
15,0,15,0,,,,,,,MRL,images/OBJ_131.png,images/OBJ_188.png,images/OBJ_107.png,286.8899593000533,288.39073330000974,288.890566600021,290.39012480003294,290.89004069997463,None,286.8900425998727,None,288.8900658600498,None,290.88996115995104,None,292.3890713000437,None,same,MRL,16,293.9649397999747,295.471986599965,295.95505370001774,297.45424360001925,297.9541145999683,None,293.9721236599609,None,295.9546275600325,None,297.9541119599482,None,299.4540181000484,None,1,['leftCL'],300.45339469995815,None,300.45339469995815,None,300.45339469995815,None,300.45339469995815,None,300.45339469995815,None,-0.1884765625,-0.3076171875,1,0,0,0.3499537999741733,leftCL,0.016365059884265065,None,300.803269860032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
16,0,16,0,,,,,,,RML,images/OBJ_157.png,images/OBJ_141.png,images/OBJ_143.png,301.65633939998224,303.1697198000038,303.6191245999653,305.1186349999625,305.6185018999968,None,301.63626385985407,None,303.6195837599691,None,305.6190002599498,None,307.11861680005677,None,same,MRL,17,308.6934268999612,310.20102939999197,310.68368859996554,312.1837723000208,312.6830986000132,None,308.7012119599851,None,310.68367265996056,None,312.68361085995565,None,314.18267230002675,None,1,['leftCL'],315.18237139994744,None,315.18237139994744,None,315.18237139994744,None,315.18237139994744,None,315.18237139994744,None,-0.1845703125,-0.3046875,1,0,0,0.6165394999552518,leftCL,0.016342559945769608,None,315.79887265996075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
17,0,17,0,,,,,,,LRM,images/OBJ_110.png,images/OBJ_97.png,images/OBJ_161.png,316.6341633000411,318.1487159000244,318.6319137000246,320.13147170003504,320.63132080005016,None,316.6318421598291,None,318.6318561600521,None,320.63127206002827,None,322.1308739000233,None,same,MRL,18,323.70251870003995,325.2127779000439,325.6964770000195,327.19563990004826,327.69541949999984,None,323.7133668599883,None,325.6964813600527,None,327.69540876003447,None,329.19497469998896,None,1,['leftCL'],330.1947071000468,None,330.1947071000468,None,330.1947071000468,None,330.1947071000468,None,330.1947071000468,None,-0.181640625,-0.3037109375,1,0,0,0.5504423000384122,leftCL,0.01638655993156135,None,330.74501485999207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
18,0,18,0,,,,,,,RLM,images/OBJ_145.png,images/OBJ_109.png,images/OBJ_164.png,331.5560249000555,333.0610082000494,333.54420740006026,335.0437736000167,335.5602950999746,None,331.5603625999065,None,333.54367795998695,None,335.5602565600304,None,337.05987800005823,None,same,MRL,19,338.641690999968,340.14227660000324,340.64163470000494,342.14176919998135,342.6415527999634,None,338.64243669994175,None,340.6421047599753,None,342.64154246000106,None,344.14098060003016,None,1,['leftCL'],345.1407719999552,None,345.1407719999552,None,345.1407719999552,None,345.1407719999552,None,345.1407719999552,None,-0.181640625,-0.3037109375,1,0,0,0.449418600066565,leftCL,0.01638515992090106,None,345.5901473600417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
19,0,19,0,,,,,,,RML,images/OBJ_206.png,images/OBJ_29.png,images/OBJ_168.png,346.40862420003396,347.9233517999528,348.40647569997236,349.90609519998543,350.40546210005414,None,346.40602269989904,None,348.4064957600087,None,350.4059479600284,None,351.90551399998367,None,diff,MLR,20,353.47459190001246,354.98747389996424,355.4706290999893,356.9706903999904,357.4701048999559,None,353.4714495999506,None,355.4709645599825,None,357.4705553600099,None,358.9701064999681,None,1,['rightCL'],359.96973280003294,None,359.96973280003294,None,359.96973280003294,None,359.96973280003294,None,359.96973280003294,None,0.2509765625,-0.30859375,1,0,0,1.249204899999313,rightCL,0.016382759902626276,None,361.2189450599719,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
