EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,34.06102409999585,None,RML,images/OBJ_85.png,images/OBJ_75.png,images/OBJ_99.png,35.420470899989596,36.93099150000489,37.414194899989525,38.91371229998185,39.413607099995716,None,35.414696069990164,None,37.41419888999953,None,39.41356228998338,None,40.913127400010126,None,same,None,1,42.546278699999675,44.045561999984784,44.54539169999771,46.04495139999199,46.54481520000263,None,42.54584200998361,None,44.54539438999782,None,46.54481119000993,None,48.04440290000639,None,1,['leftCL'],49.04459139998653,None,49.04459139998653,None,49.04459139998653,None,49.04459139998653,None,49.04459139998653,None,-0.18359375,-0.32128906,1,0,0,0.2975854999967851,leftCL,0.013486490002833307,None,49.344463289997655,None,006600,2022-08-11_14h33.02.153,exp,2021.1.4,60.11457839459159,
1,0,1,0,,,RML,images/OBJ_184.png,images/OBJ_5.png,images/OBJ_102.png,49.90620939998189,51.410100399982184,51.89322120000725,53.3927907999896,53.90933239998412,None,49.91048395000689,None,51.89373798999295,None,53.909830990005865,None,55.408904199983226,None,same,None,2,56.94822630000999,58.45804179998231,58.94119049998699,60.44076979998499,60.940644099988276,None,56.958800260000864,None,58.941232389994546,None,60.940606590002425,None,62.44019449999905,None,1,['leftCL'],63.43986779998522,None,63.43986779998522,None,63.43986779998522,None,63.43986779998522,None,63.43986779998522,None,-0.18164062,-0.27441406,1,0,0,0.2661943999992218,leftCL,0.016445389977889135,None,63.706464490000506,None,006600,2022-08-11_14h33.02.153,exp,2021.1.4,60.11457839459159,
