EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,11.780139900001814,None,12.355992700002389,None,RLM,images/OBJ_99.png,images/OBJ_146.png,images/OBJ_40.png,14.216959699988365,15.721179699990898,16.204343899997184,17.704328299994813,18.22094769999967,None,14.222286950024136,None,16.204868149991672,None,18.22048024999531,None,19.72003539999423,None,same,None,1,21.354806599993026,22.869057099989732,23.352258599989,24.851829699997324,25.351680899999337,None,21.353075350004655,None,23.352296549991298,None,25.35219295000279,None,26.85128740000073,None,1,['leftCL'],27.851009399993927,None,27.851009399993927,None,27.851009399993927,None,27.851009399993927,None,27.851009399993927,None,-0.24609375,-0.326171875,1,0,0,0.2792367999936687,leftCL,0.012293749998207204,None,28.134289450001962,None,1005,2023-07-13_11h41.17.754,exp,2021.1.4,59.93428804509888,
1,0,1,0,,,28.638213599988376,None,LRM,images/OBJ_42.png,images/OBJ_45.png,images/OBJ_51.png,30.43592180000269,31.949752699991222,32.43291619999218,33.93250999999873,34.43236759999127,None,30.434158100010247,None,32.43297004999913,None,34.43288284998998,None,35.93233789999795,None,same,None,2,37.468952099996386,38.981004399989615,39.46428809998906,40.964268299998366,41.463644799994654,None,37.481505699997065,None,39.46427054999076,None,41.463992249996224,None,42.9632028999913,None,1,['leftCL'],43.962931000001845,None,43.962931000001845,None,43.962931000001845,None,43.962931000001845,None,43.962931000001845,None,-0.2470703125,-0.3232421875,1,0,0,0.26660300001094583,leftCL,0.016430450006737374,None,44.229514950003065,None,1005,2023-07-13_11h41.17.754,exp,2021.1.4,59.93428804509888,
,,,,,,44.73740379999799,None,LRM,images/OBJ_119.png,images/OBJ_157.png,images/OBJ_148.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
