EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Trial_Order,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,29.422863200015854,None,30.873552399978507,None,RML,images/OBJ_166.png,images/OBJ_190.png,images/OBJ_119.png,RML,32.56560959998751,34.065614000021014,34.56543119996786,36.06504319998203,36.5648900999804,None,32.56566206000279,None,34.565437980002024,None,36.5653469800076,None,38.06445279996842,None,diff,RLM,39.69184139999561,41.19692740001483,41.68006709998008,43.17963119997876,43.679973000020254,None,39.696956520021196,None,41.68004418002092,None,43.67946098000393,None,45.179039800015744,None,0,['leftCL'],46.22194119996857,None,46.22194119996857,None,46.22194119996857,None,46.22194119996857,None,46.22194119996857,None,-0.1826171875,-0.271484375,1,0,0,7.011442899995018,leftCL,0.013122079952154309,None,53.19337947999011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jjj,2024-01-16_17h23.44.898,exp,2021.1.4,59.93285123150484,
1,0,1,0,,,,,,,,,,,,,,,53.86684689996764,None,RML,images/OBJ_205.png,images/OBJ_8.png,images/OBJ_149.png,RML,55.49050660000648,56.992295900010504,57.4926245000097,58.991994499985594,59.49159300001338,None,55.4929526399821,None,57.49258888001204,None,59.49154268002021,None,60.99116869998397,None,same,RLM,62.5396066000103,64.04026259999955,64.5401612999849,66.04014789999928,66.53952599997865,None,62.54035491999239,None,64.54007117997972,None,66.53950387996738,None,68.03908429999137,None,0,['leftCL'],69.03881130000809,None,69.03881130000809,None,69.03881130000809,None,69.03881130000809,None,69.03881130000809,None,-0.2412109375,-0.32421875,1,0,0,0.29995819996111095,leftCL,0.016346679942216724,None,69.33870188001893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jjj,2024-01-16_17h23.44.898,exp,2021.1.4,59.93285123150484,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,69.84775590000208,None,None,None,space,42.13792100001592,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jjj,2024-01-16_17h23.44.898,exp,2021.1.4,59.93285123150484,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.37028068001965,None,,,,,,,,,,old,71.56505400000606,None,71.57091521997937,None,73.07104489998892,None,1,74.07070139999269,None,75.05421989999013,None,75.05421989999013,None,75.05421989999013,None,75.05421989999013,None,75.05421989999013,None,75.05421989999013,None,0.00390625,-0.1005859375,1,0,0,second_middle,0.999488880042918,None,,,jjj,2024-01-16_17h23.44.898,exp,2021.1.4,59.93285123150484,
,,,,,,,,0,0,0,0,,,,,75.87786130001768,None,77.32907049998175,None,,images/OBJ_55.png,images/OBJ_182.png,images/OBJ_18.png,RLM,78.88475650001783,80.38550490001217,80.88536099996418,82.38490619999357,82.8847738999757,None,78.88618951997488,None,80.88534447999555,None,82.88512807997759,None,84.38437599997269,None,same,RLM,85.92578059999505,87.43346289999317,87.91663839999819,89.41620899998816,89.91606030002004,None,85.933690319967,None,87.91702777997708,None,89.9160621800169,None,91.41613129997859,None,0,['leftCL'],92.41537190001691,None,92.41537190001691,None,92.41537190001691,None,92.41537190001691,None,92.41537190001691,None,-0.19140625,-0.255859375,1,0,0,0.3661265000118874,leftCL,0.01629548001801595,None,92.78191597998958,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,images/OBJ_149.png,jjj,2024-01-16_17h23.44.898,exp,2021.1.4,59.93285123150484,
,,,,,,,,1,0,1,0,,,,,,,93.4620231000008,None,,images/OBJ_173.png,images/OBJ_209.png,images/OBJ_87.png,LRM,95.01421140000457,96.51419020001777,97.01452959998278,98.51360790000763,99.01394410000648,None,95.0145177199971,None,97.01404397999286,None,99.01340887998813,None,100.51297889999114,None,same,RLM,102.05644479999319,103.56214019999607,104.04533619998256,105.54533320001792,106.04522420000285,None,102.06284042001936,None,104.04528968001833,None,106.04467537999736,None,107.54428329999791,None,0,['leftCL'],108.54401519999374,None,108.54401519999374,None,108.54401519999374,None,108.54401519999374,None,108.54401519999374,None,-0.19140625,-0.255859375,1,0,0,0.2506095999851823,leftCL,0.01636637997580692,None,108.79444138002,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jjj,2024-01-16_17h23.44.898,exp,2021.1.4,59.93285123150484,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,109.29936720000114,None,None,None,space,81.95392020000145,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jjj,2024-01-16_17h23.44.898,exp,2021.1.4,59.93285123150484,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.67525758001139,None,,,,,,,,,,old,111.5482570999884,None,111.55952182001202,None,113.05986189999385,None,1,114.05956789996708,None,115.02600439998787,None,115.02600439998787,None,115.02600439998787,None,115.02600439998787,None,115.02600439998787,None,115.02600439998787,None,0.005859375,-0.154296875,1,0,0,second_middle,0.9997049799421802,None,,,jjj,2024-01-16_17h23.44.898,exp,2021.1.4,59.93285123150484,
