EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.started,start2.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,11.169009000062943,None,LMR,images/OBJ_161.png,images/OBJ_134.png,images/OBJ_29.png,11.85878520004917,13.373876300058328,13.857113600010052,15.356683299993165,15.856541700079106,None,11.858167080068961,None,13.857112320046872,None,15.856571820005774,None,17.35609470005147,None,same,None,1,18.989120300044306,20.488490500021726,20.988378099980764,22.487931100069545,22.98774560005404,None,18.988901480077768,None,20.988364720041865,None,22.98818841998,None,24.487340399995446,None,1,['leftCL'],25.487080299993977,None,25.487080299993977,None,25.487080299993977,None,25.487080299993977,None,25.487080299993977,None,-0.1396484375,-0.2412109375,1,0,0,0.9145493000978604,leftCL,0.01331121998373419,None,26.40348502006382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223332,2022-11-02_16h21.13.761,exp,2021.1.4,60.024405927607134,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.035753819998355,None,old,images/OBJ_134.png,27.169844800024293,None,27.169932640087794,None,28.669483400066383,None,1,29.669192400062457,None,29.669192400062457,None,29.669192400062457,None,29.669192400062457,None,29.669192400062457,None,29.669192400062457,None,29.669192400062457,None,-0.0341796875,-0.099609375,1,0,0,second_middle,0.016365519841201603,None,,,,,,,,223332,2022-11-02_16h21.13.761,exp,2021.1.4,60.024405927607134,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.535588500089943,None,None,None,None,None,None,223332,2022-11-02_16h21.13.761,exp,2021.1.4,60.024405927607134,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.85156472006347,None,old,images/OBJ_161.png,31.870634000049904,None,31.868519200012088,None,33.38481239997782,None,2,34.38459320005495,None,34.38459320005495,None,34.38459320005495,None,34.38459320005495,None,34.38459320005495,None,34.38459320005495,None,34.38459320005495,None,-0.02734375,-0.1396484375,1,0,0,second_middle,0.01624011993408203,None,,,,,,,,223332,2022-11-02_16h21.13.761,exp,2021.1.4,60.024405927607134,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.633276520087385,None,old,images/OBJ_29.png,35.5816820000764,None,35.58408150007017,None,37.0842214000877,None,3,38.08340090001002,None,38.08340090001002,None,38.08340090001002,None,38.08340090001002,None,38.08340090001002,None,38.08340090001002,None,38.08340090001002,None,-0.02734375,-0.1416015625,1,0,0,second_middle,0.016366120078600943,None,,,,,,,,223332,2022-11-02_16h21.13.761,exp,2021.1.4,60.024405927607134,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
