EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,9.776477542000066,None,LMR,images/OBJ_88.png,images/OBJ_67.png,images/OBJ_123.png,62.966326916999606,64.47037095800079,64.95119137500114,66.45825120799964,66.9518327500009,None,62.950266159600865,None,64.95054011290067,None,66.95223211290049,None,68.45699866700124,None,same,None,1,70.11511324999992,71.62003716700019,72.11307516700072,73.62089612500131,74.11439045800034,None,70.11336497580086,None,72.11347602890037,None,74.11409477890065,None,75.62127854200116,None,1,['leftCL'],76.65240083299977,None,76.65240083299977,None,76.65240083299977,None,76.65240083299977,None,76.65240083299977,None,-0.2074074074074074,-0.33425925925925926,1,0,0,5.851899666999088,leftCL,0.006398779902156093,None,82.47729844590121,None,,2022_Feb_08_1625,exp,2021.1.4,75.24011018974883,
1,0,1,0,,,RLM,images/OBJ_115.png,images/OBJ_146.png,images/OBJ_137.png,83.1288110000005,84.6377890420008,85.13135595800122,86.63920129200051,87.13228775000061,None,83.13159126780155,None,85.13194673789967,None,87.13227277890091,None,88.63949008300006,None,same,None,2,90.27735112499977,91.78722579200075,92.28056108300007,93.78790454200134,94.26813804199992,None,90.28055048790138,None,92.28117427889974,None,94.2685086959007,None,95.7752443749996,None,1,['leftCL'],96.77553029200135,None,96.77553029200135,None,96.77553029200135,None,96.77553029200135,None,96.77553029200135,None,-0.2074074074074074,-0.33425925925925926,1,0,0,211.35811699999977,leftCL,0.012488737900639535,None,308.1340585709002,None,,2022_Feb_08_1625,exp,2021.1.4,75.24011018974883,
2,0,2,0,,,LMR,images/OBJ_74.png,images/OBJ_160.png,images/OBJ_104.png,308.78334429200004,310.2952800000003,310.77569787500033,312.28253566700005,312.77575783300017,None,308.7889072258,None,310.7754734878998,None,312.7760391129012,None,314.28324087500005,None,same,None,3,315.92141116700077,317.4310413330004,317.9244247919996,319.4317202500006,319.91187487500065,None,315.92443507190166,None,317.9244301129,None,319.9119561129008,None,321.4168625830007,None,1,['leftCL'],322.4191790830009,None,322.4191790830009,None,322.4191790830009,None,322.4191790830009,None,322.4191790830009,None,-0.2074074074074074,-0.33425925925925926,1,0,0,3.2296595419993537,leftCL,0.012399569897752372,None,325.6476678208999,None,,2022_Feb_08_1625,exp,2021.1.4,75.24011018974883,
