EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,29.196369799785316,None,LRM,images/OBJ_206.png,images/OBJ_188.png,images/OBJ_57.png,31.744148399680853,33.24805889977142,33.73130779992789,35.23080349992961,35.73068880010396,None,31.748480499722064,None,33.731257219891994,None,35.730648619681595,None,37.23018829990178,None,same,None,1,38.8601653999649,40.36265049967915,40.86249030008912,42.362049099989235,42.861918199807405,None,38.86292997971177,None,40.86252461988479,None,42.861893619969486,None,44.36148889968172,None,1,['leftCL'],45.3612146996893,None,45.3612146996893,None,45.3612146996893,None,45.3612146996893,None,45.3612146996893,None,-0.203125,-0.3056640625,1,0,0,0.46289960015565157,leftCL,0.01275191968306899,None,45.827717220038174,None,,,,,,,,,,2022_Mar_09_1536,exp,2021.1.4,59.90832831724543,
1,0,1,0,,,,,,,LMR,images/OBJ_79.png,images/OBJ_101.png,images/OBJ_190.png,46.381849399767816,47.89379289979115,48.37698910012841,49.87654219986871,50.376397599931806,None,46.37757657971233,None,48.37695861989632,None,50.376414419710635,None,51.875943100079894,None,same,None,2,53.42074099974707,54.92508600000292,55.40827200002968,56.907837899867445,57.40773329976946,None,53.425372779741885,None,55.40831642001867,None,57.407709719706325,None,58.90725940000266,None,1,['leftCL'],59.906986999791116,None,59.906986999791116,None,59.906986999791116,None,59.906986999791116,None,59.906986999791116,None,-0.1865234375,-0.265625,1,0,0,0.3320033997297287,leftCL,0.01512522017583251,None,60.240231319889425,None,,,,,,,,,,2022_Mar_09_1536,exp,2021.1.4,59.90832831724543,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,images/OBJ_79.png,60.777524299919605,None,60.77340765977278,None,62.28961300011724,None,,,,,,
