EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.started,start2.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,35.1861717000138,None,RLM,images/OBJ_140.png,images/OBJ_14.png,images/OBJ_199.png,36.283897300018,37.78824949997943,38.28809450007975,39.78773830004502,40.28759490000084,None,36.28878898978001,None,38.288171629968566,None,40.28757223006105,None,41.78713150008116,None,same,None,1,43.42255360004492,44.9361963000847,45.41983230004553,46.91898570000194,47.41881750000175,None,43.4199605699745,None,45.41941192998784,None,47.419317029963715,None,48.91839320003055,None,1,['leftCL'],49.91811410000082,None,49.91811410000082,None,49.91811410000082,None,49.91811410000082,None,49.91811410000082,None,-0.189453125,-0.41015625,1,0,0,1.0795580999692902,leftCL,0.013340330100618303,None,51.417736830038486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,2022-11-02_16h11.50.728,exp,2021.1.4,60.02332506004838,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.24996482996503,None,old,images/OBJ_14.png,52.19702680001501,None,52.20081313985866,None,53.70034460001625,None,1,54.70014600001741,None,54.70014600001741,None,54.70014600001741,None,54.70014600001741,None,54.70014600001741,None,54.70014600001741,None,54.70014600001741,None,-0.015625,-0.2529296875,1,0,0,third_right,0.016368830110877752,None,,,,,,,,123,2022-11-02_16h11.50.728,exp,2021.1.4,60.02332506004838,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.74974410003051,None,None,None,None,None,None,123,2022-11-02_16h11.50.728,exp,2021.1.4,60.02332506004838,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.448429829988164,None,old,images/OBJ_199.png,56.95065130002331,None,56.94947857994121,None,58.4656339000212,None,2,59.46534160000738,None,59.46534160000738,None,59.46534160000738,None,59.46534160000738,None,59.46534160000738,None,59.46534160000738,None,59.46534160000738,None,0.0595703125,-0.267578125,1,0,0,third_right,0.0162876300746575,None,,,,,,,,123,2022-11-02_16h11.50.728,exp,2021.1.4,60.02332506004838,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.01403723001712,None,old,images/OBJ_140.png,61.198982700007036,None,61.19818457986694,None,62.697753700078465,None,3,63.69742250000127,None,63.69742250000127,None,63.69742250000127,None,63.69742250000127,None,63.69742250000127,None,63.69742250000127,None,63.69742250000127,None,-0.0078125,-0.25,1,0,0,third_right,0.016375330043956637,None,,,,,,,,123,2022-11-02_16h11.50.728,exp,2021.1.4,60.02332506004838,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
